"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7118627962","15087","22 Apr 2023 02:31","1345","22:25","Team B","The Cut","Broodmother  Io  Troll Warlord  Ember Spirit  Hoodwink","Ravens","Templar Assassin  Nature's Prophet  Batrider  Silencer  Earth Spirit","Team B"
"7118661066","15087","22 Apr 2023 03:25","2448","40:48","Team B","SAND KING GÓMEZ","Phantom Assassin  Ogre Magi  Skywrath Mage  Void Spirit  Mars","ALPHA","Bloodseeker  Riki  Batrider  Meepo  Disruptor","Team B"
"7118787769","15141","22 Apr 2023 05:56","1597","26:37","Team B","iG.Vitality","Lion  Alchemist  Abaddon  Monkey King  Pangolier","孤独摇滚","Night Stalker  Batrider  Rubick  Tusk  Muerta","Team A"
"7119885413","15196","22 Apr 2023 05:22","3604","1:00:04","Team A","Tundra Esports","Bounty Hunter  Abaddon  Legion Commander  Techies  Terrorblade","Shopify Rebellion","Mirana  Enigma  Batrider  Spirit Breaker  Muerta","Team B"
"7120410176","15136","22 Apr 2023 10:20","2593","43:13","Team B","x5 Gaming","Mirana  Puck  Weaver  Alchemist  Dawnbreaker","NoLimitsGaming","Dragon Knight  Batrider  Disruptor  Tusk  Marci","Team A"
"7120502848","15136","22 Apr 2023 11:30","1802","30:02","Team A","x5 Gaming","Phantom Lancer  Storm Spirit  Skywrath Mage  Legion Commander  Dawnbreaker","NoLimitsGaming","Crystal Maiden  Batrider  Tusk  Underlord  Monkey King","Team A"
"7120859639","15126","23 Apr 2023 07:00","1430","23:50","Team B","Made in Philippines","Luna  Bounty Hunter  Doom  Ember Spirit  Oracle","IHC","Morphling  Nature's Prophet  Batrider  Tusk  Skywrath Mage","Team A"
"7120965232","15126","23 Apr 2023 08:46","2125","35:25","Team A","IHC","Death Prophet  Enchantress  Tusk  Legion Commander  Muerta","Made in Philippines","Batrider  Undying  Rubick  Troll Warlord  Dawnbreaker","Team B"
"7121064365","15126","23 Apr 2023 10:00","2499","41:39","Team A","Myth Avenue Gaming","Riki  Clockwerk  Jakiro  Keeper of the Light  Terrorblade","Vision","Batrider  Undying  Earth Spirit  Arc Warden  Snapfire","Team B"
"7121144918","15126","23 Apr 2023 11:05","2751","45:51","Team A","Myth Avenue Gaming","Puck  Riki  Luna  Clockwerk  Dark Willow","Vision","Bounty Hunter  Jakiro  Batrider  Spectre  Snapfire","Team B"
"7122467503","15267","24 Apr 2023 12:50","2801","46:41","Team A","Balrogs Esports™","Crystal Maiden  Storm Spirit  Templar Assassin  Underlord  Primal Beast","Hokori","Batrider  Disruptor  Tusk  Terrorblade  Muerta","Team A"
"7123798209","15138","24 Apr 2023 08:24","1619","26:59","Team B","Moneymakers","Death Prophet  Clockwerk  Slark  Legion Commander  Phoenix","Nemiga Gaming","Phantom Lancer  Bounty Hunter  Batrider  Rubick  Primal Beast","Team B"
"7124103976","15087","25 Apr 2023 01:21","1321","22:01","Team A","The Oversight","Mirana  Bounty Hunter  Alchemist  Visage  Void Spirit","ALPHA","Crystal Maiden  Batrider  Meepo  Slark  Earth Spirit","Team A"
"7124115083","15267","25 Apr 2023 01:39","2199","36:39","Team A","Mad Kings Esports","Crystal Maiden  Weaver  Tusk  Ember Spirit  Monkey King","Hokori","Bloodseeker  Mirana  Beastmaster  Batrider  Disruptor","Team A"
"7125450945","15267","25 Apr 2023 10:01","3119","51:59","Team A","Hokori","Bloodseeker  Mirana  Witch Doctor  Tusk  Underlord","Thunder Awaken","Enchantress  Batrider  Alchemist  Rubick  Pangolier","Team B"
"7125590814","15267","26 Apr 2023 12:54","2444","40:44","Team B","Hokori","Doom  Disruptor  Abaddon  Dark Willow  Void Spirit","Thunder Awaken","Phantom Lancer  Death Prophet  Batrider  Earth Spirit  Oracle","Team B"
"7126127390","15088","26 Apr 2023 01:09","4690","1:18:10","Team A","Luna Galaxy","Anti-Mage  Tiny  Death Prophet  Dark Seer  Rubick","Ancient Tribe","Phantom Lancer  Batrider  Visage  Grimstroke  Primal Beast","Team A"
"7126196223","15126","26 Apr 2023 02:03","2488","41:28","Team B","Vision","Undying  Slark  Tusk  Earth Spirit  Snapfire","IHC","Mirana  Batrider  Alchemist  Pangolier  Marci","Team B"
"7126226626","15251","26 Apr 2023 02:30","1916","31:56","Team A","Team Aster","Storm Spirit  Beastmaster  Pugna  Clockwerk  Terrorblade","Team Liquid","Night Stalker  Batrider  Disruptor  Nyx Assassin  Monkey King","Team A"
"7126289022","15126","26 Apr 2023 03:07","2856","47:36","Team A","IHC","Mirana  Queen of Pain  Venomancer  Nyx Assassin  Troll Warlord","Myth Avenue Gaming","Sven  Dark Seer  Bounty Hunter  Batrider  Disruptor","Team A"
"7126332974","15251","26 Apr 2023 03:45","2234","37:14","Team A","Evil Geniuses","Faceless Void  Disruptor  Legion Commander  Monkey King  Snapfire","Execration","Clockwerk  Batrider  Rubick  Underlord  Muerta","Team A"
"7126704159","15136","26 Apr 2023 07:33","1311","21:51","Team B","NoPing Esports","Riki  Death Prophet  Pugna  Bounty Hunter  Medusa","noMERCY","Phantom Lancer  Batrider  Doom  Disruptor  Skywrath Mage","Team A"
"7126982132","15267","26 Apr 2023 11:24","2981","49:41","Team B","Infamous Gaming","Puck  Disruptor  Naga Siren  Skywrath Mage  Underlord","Vivo Keyd Stars","Enigma  Enchantress  Batrider  Slark  Earth Spirit","Team A"
"7127475361","15251","27 Apr 2023 12:00","3149","52:29","Team B","Team Aster","Mirana  Storm Spirit  Pugna  Monkey King  Dawnbreaker","Execration","Lich  Enchantress  Batrider  Doom  Slark","Team A"
"7127660778","15251","27 Apr 2023 02:33","1304","21:44","Team B","Gaimin Gladiators","Lone Druid  Rubick  Disruptor  Underlord  Pangolier","Execration","Crystal Maiden  Dark Seer  Bounty Hunter  Batrider  Slark","Team A"
"7127927613","15251","27 Apr 2023 05:15","3993","1:06:33","Team B","Xtreme Gaming","Sven  Pugna  Dragon Knight  Rubick  Underlord","Talon","Bloodseeker  Batrider  Alchemist  Disruptor  Nyx Assassin","Team A"
"7128022008","15251","27 Apr 2023 06:18","2606","43:26","Team A","Tundra Esports","Weaver  Alchemist  Disruptor  Keeper of the Light  Underlord","Shopify Rebellion","Lifestealer  Batrider  Chen  Skywrath Mage  Legion Commander","Team A"
"7128497901","15267","28 Apr 2023 01:57","1699","28:19","Team A","Balrogs Esports™","Clockwerk  Dark Seer  Chen  Slark  Tusk","Thunder Awaken","Crystal Maiden  Necrophos  Faceless Void  Batrider  Earth Spirit","Team B"
"7129095661","15251","28 Apr 2023 02:30","2830","47:10","Team A","Team Aster","Doom  Rubick  Keeper of the Light  Ember Spirit  Terrorblade","PSG.LGD","Clockwerk  Batrider  Disruptor  Magnus  Muerta","Team A"
"7131292702","15251","29 Apr 2023 08:04","2279","37:59","Team B","beastcoast","Bloodseeker  Crystal Maiden  Slark  Skywrath Mage  Underlord","Tundra Esports","Pugna  Batrider  Ursa  Keeper of the Light  Medusa","Team B"
"7132789617","15251","30 Apr 2023 05:55","2740","45:40","Team A","Team Aster","Shadow Fiend  Pugna  Alchemist  Disruptor  Mars","Evil Geniuses","Bloodseeker  Crystal Maiden  Batrider  Keeper of the Light  Monkey King","Team A"
"7134156892","15251","01 May 2023 02:42","2228","37:08","Team A","Team Liquid","Crystal Maiden  Phantom Lancer  Doom  Ember Spirit  Monkey King","OG","Batrider  Ursa  Alchemist  Io  Phoenix","Team B"
"7134773328","15251","01 May 2023 08:54","2500","41:40","Team B","PSG.LGD","Mirana  Storm Spirit  Ancient Apparition  Naga Siren  Pangolier","Tundra Esports","Phantom Assassin  Batrider  Doom  Alchemist  Rubick","Team A"
"7137654773","15251","03 May 2023 08:12","1347","22:27","Team A","Tundra Esports","Venomancer  Bounty Hunter  Rubick  Naga Siren  Medusa","9Pandas","Sand King  Batrider  Nyx Assassin  Slark  Skywrath Mage","Team A"
"7137723266","15251","03 May 2023 09:05","2821","47:01","Team A","Tundra Esports","Crystal Maiden  Windranger  Venomancer  Underlord  Terrorblade","9Pandas","Tinker  Enchantress  Bounty Hunter  Batrider  Monkey King","Team B"
"7139987891","15251","05 May 2023 03:47","3321","55:21","Team A","Talon","Pugna  Keeper of the Light  Magnus  Terrorblade  Void Spirit","Evil Geniuses","Lich  Faceless Void  Batrider  Rubick  Underlord","Team B"
"7141402305","15251","06 May 2023 01:40","2125","35:25","Team B","Evil Geniuses","Bloodseeker  Queen of Pain  Silencer  Keeper of the Light  Monkey King","OG","Phantom Lancer  Windranger  Batrider  Disruptor  Earth Spirit","Team B"
"7143198847","15251","07 May 2023 01:15","2500","41:40","Team B","Team Liquid","Alchemist  Shadow Demon  Medusa  Skywrath Mage  Pangolier","9Pandas","Storm Spirit  Bounty Hunter  Batrider  Terrorblade  Oracle","Team A"
"7144402319","15128","08 May 2023 05:18","2101","35:01","Team A","Virgo","Windranger  Rubick  Keeper of the Light  Ember Spirit  Underlord","We Own","Crystal Maiden  Clockwerk  Leshrac  Batrider  Legion Commander","Team B"
"7145678244","15268","08 May 2023 09:59","1902","31:42","Team B","Universitario eSports","Templar Assassin  Doom  Undying  Rubick  Ember Spirit","Mad Kings Esports","Sven  Batrider  Keeper of the Light  Underlord  Oracle","Team A"
"7145849004","15268","09 May 2023 01:00","2698","44:58","Team A","Hokori","Alchemist  Disruptor  Keeper of the Light  Ember Spirit  Pangolier","Infamous Gaming","Crystal Maiden  Storm Spirit  Sven  Bounty Hunter  Batrider","Team B"
"7146119443","15128","09 May 2023 08:05","2959","49:19","Team B","EV GaminG","Rubick  Slark  Underlord  Monkey King  Void Spirit","UD VESSUWAN","Crystal Maiden  Storm Spirit  Batrider  Medusa  Skywrath Mage","Team A"
"7147568479","15128","10 May 2023 06:09","2318","38:38","Team B","Hashtag.Reaper","Crystal Maiden  Alchemist  Rubick  Underlord  Void Spirit","MIRACLE ESPORT","Bloodseeker  Lich  Tinker  Bounty Hunter  Batrider","Team B"
"7148680651","15268","10 May 2023 10:00","1318","21:58","Team B","Mad Kings Esports","Pugna  Omniknight  Alchemist  Undying  Ember Spirit","Balrogs Esports™","Bloodseeker  Crystal Maiden  Batrider  Rubick  Underlord","Team A"
"7148892432","15268","11 May 2023 03:35","1289","21:29","Team B","Universitario eSports","Leshrac  Enchantress  Alchemist  Io  Legion Commander","Vivo Keyd Stars","Crystal Maiden  Shadow Fiend  Bounty Hunter  Batrider  Doom","Team B"
"7151674930","15268","12 May 2023 11:28","2694","44:54","Team A","Balrogs Esports™","Riki  Pugna  Medusa  Ember Spirit  Earth Spirit","Universitario eSports","Crystal Maiden  Batrider  Ursa  Keeper of the Light  Pangolier","Team B"
"7151771936","15268","13 May 2023 01:45","2613","43:33","Team A","Thunder Awaken","Enchantress  Doom  Keeper of the Light  Tusk  Terrorblade","Infamous Gaming","Beastmaster  Batrider  Treant Protector  Techies  Muerta","Team A"
"7151877733","15268","13 May 2023 04:40","1350","22:30","Team B","Thunder Awaken","Anti-Mage  Keeper of the Light  Underlord  Oracle  Pangolier","Infamous Gaming","Pugna  Dark Seer  Bounty Hunter  Batrider  Muerta","Team A"
