"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116943970","15126","21 Apr 2023 10:00","1223","20:23","Team A","BOOM Esports","Earthshaker  Beastmaster  Templar Assassin  Enchantress  Bounty Hunter","Vision","Disruptor  Visage  Terrorblade  Marci  Primal Beast","Team A"
"7118560271","15087","22 Apr 2023 12:59","3466","57:46","Team B","The Cut","Beastmaster  Treant Protector  Troll Warlord  Hoodwink  Void Spirit","Ravens","Templar Assassin  Disruptor  Tusk  Legion Commander  Snapfire","Team B"
"7118795304","15128","22 Apr 2023 05:54","1343","22:23","Team B","We Own","Anti-Mage  Beastmaster  Queen of Pain  Disruptor  Hoodwink","Outsiders From CN","Shadow Fiend  Tiny  Ogre Magi  Rubick  Timbersaw","Team B"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team B","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Team A"
"7119259890","15141","22 Apr 2023 12:01","1896","31:36","Team B","Team Bright","Mirana  Beastmaster  Clockwerk  Slark  Legion Commander","Big brain","Puck  Templar Assassin  Bounty Hunter  Monkey King  Snapfire","Team B"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team B","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","Team B"
"7119765928","15138","22 Apr 2023 04:18","1991","33:11","Team A","NAVI Junior","Mirana  Beastmaster  Templar Assassin  Bounty Hunter  Slark","UALEIKUMNIHAO","Puck  Jakiro  Doom  Rubick  Troll Warlord","Team B"
"7121524512","15088","23 Apr 2023 02:55","1617","26:57","Team A","Team Secret","Beastmaster  Centaur Warrunner  Skywrath Mage  Monkey King  Snapfire","IVY","Phantom Assassin  Leshrac  Jakiro  Doom  Rubick","Team A"
"7121657776","15088","23 Apr 2023 03:52","4677","1:17:57","Team B","Team Secret","Beastmaster  Death Prophet  Silencer  Rubick  Terrorblade","IVY","Drow Ranger  Mirana  Dark Seer  Ember Spirit  Snapfire","Team B"
"7121890931","15088","23 Apr 2023 05:41","1572","26:12","Team A","Team Secret","Warlock  Beastmaster  Dragon Knight  Slark  Dark Willow","IVY","Viper  Lycan  Rubick  Ember Spirit  Snapfire","Team A"
"7122404291","15267","23 Apr 2023 11:20","3152","52:32","Team B","Hokori","Riki  Beastmaster  Undying  Rubick  Slark","Balrogs Esports™","Puck  Skywrath Mage  Earth Spirit  Underlord  Muerta","Team A"
"7122593344","15267","24 Apr 2023 04:11","1903","31:43","Team B","Mad Kings Esports","Beastmaster  Jakiro  Alchemist  Rubick  Muerta","Thunder Awaken","Storm Spirit  Disruptor  Bristleback  Earth Spirit  Monkey King","Team B"
"7122632975","15128","24 Apr 2023 04:59","1374","22:54","Team A","MIRACLE ESPORT","Crystal Maiden  Beastmaster  Pugna  Leshrac  Bounty Hunter","Team Virgo","Sniper  Phantom Assassin  Clockwerk  Snapfire  Mars","Team B"
"7122812986","15128","24 Apr 2023 09:06","1466","24:26","Team B","Dino Esports","Crystal Maiden  Beastmaster  Luna  Rubick  Monkey King","UD VESSUWAN","Leshrac  Bounty Hunter  Chen  Lone Druid  Ember Spirit","Team A"
"7122859797","15128","24 Apr 2023 10:02","2264","37:44","Team B","Manta Esports","Tiny  Beastmaster  Bounty Hunter  Rubick  Monkey King","UD VESSUWAN","Morphling  Puck  Chen  Timbersaw  Tusk","Team B"
"7123163670","14691","24 Apr 2023 02:18","2282","38:02","Team B","Ancient Tribe","Bane  Beastmaster  Rubick  Timbersaw  Muerta","HF","Mirana  Riki  Doom  Ember Spirit  Hoodwink","Team B"
"7123227632","15138","24 Apr 2023 03:02","1585","26:25","Team B","Team Sexy","Windranger  Beastmaster  Viper  Luna  Chen","No Sorry","Lich  Riki  Death Prophet  Legion Commander  Techies","Team A"
"7123333836","15138","24 Apr 2023 03:55","1753","29:13","Team B","No Sorry","Bloodseeker  Zeus  Beastmaster  Jakiro  Techies","Team Sexy","Lich  Enigma  Death Prophet  Alchemist  Monkey King","Team B"
"7123439106","14691","24 Apr 2023 04:58","1358","22:38","Team A","IVY","Beastmaster  Alchemist  Silencer  Rubick  Void Spirit","KZ TEAM","Anti-Mage  Clockwerk  Timbersaw  Tusk  Skywrath Mage","Team A"
"7123695093","14691","24 Apr 2023 07:10","3364","56:04","Team B","HF","Beastmaster  Enchantress  Alchemist  Nyx Assassin  Keeper of the Light","Ionut Cercel","Shadow Shaman  Faceless Void  Pugna  Underlord  Void Spirit","Team B"
"7123923335","15087","24 Apr 2023 09:53","4441","1:14:01","Team B","TiltedBoys","Phantom Lancer  Beastmaster  Disruptor  Ember Spirit  Snapfire","Ravens","Storm Spirit  Templar Assassin  Nature's Prophet  Undying  Earth Spirit","Team B"
"7124045912","15087","24 Apr 2023 11:59","2958","49:18","Team A","ALPHA","Beastmaster  Undying  Rubick  Naga Siren  Ember Spirit","The Oversight","Mirana  Venomancer  Bounty Hunter  Alchemist  Nyx Assassin","Team B"
"7124083544","15267","25 Apr 2023 12:51","875","14:35","Team A","Infamous Gaming","Mirana  Beastmaster  Meepo  Treant Protector  Muerta","Ravens","Crystal Maiden  Doom  Disruptor  Slark  Void Spirit","Team B"
"7124115083","15267","25 Apr 2023 01:39","2199","36:39","Team B","Hokori","Bloodseeker  Mirana  Beastmaster  Batrider  Disruptor","Mad Kings Esports","Crystal Maiden  Weaver  Tusk  Ember Spirit  Monkey King","Team B"
"7124148968","15267","25 Apr 2023 02:44","2068","34:28","Team B","Mad Kings Esports","Beastmaster  Enchantress  Bounty Hunter  Slark  Pangolier","Hokori","Tidehunter  Huskar  Disruptor  Naga Siren  Hoodwink","Team B"
"7124761494","15138","25 Apr 2023 03:00","2245","37:25","Team B","cybercats","Beastmaster  Alchemist  Disruptor  Keeper of the Light  Snapfire","UALEIKUMNIHAO","Death Prophet  Bounty Hunter  Doom  Rubick  Naga Siren","Team A"
"7125171264","15138","25 Apr 2023 06:41","1494","24:54","Team B","Team Sexy","Crystal Maiden  Storm Spirit  Beastmaster  Keeper of the Light  Bristleback","NAVI Junior","Mirana  Phantom Lancer  Riki  Jakiro  Underlord","Team A"
"7125209990","15136","25 Apr 2023 07:03","2989","49:49","Team B","Lava Esports","Sven  Beastmaster  Rubick  Disruptor  Pangolier","Mad Kings Esports","Crystal Maiden  Dragon Knight  Monkey King  Void Spirit  Snapfire","Team B"
"7125236705","14691","25 Apr 2023 07:21","3113","51:53","Team A","Luna Galaxy","Beastmaster  Viper  Bounty Hunter  Alchemist  Silencer","Please dont gank my carry","Templar Assassin  Nature's Prophet  Doom  Rubick  Phoenix","Team B"
"7125327787","15136","25 Apr 2023 08:19","1481","24:41","Team A","Lava Esports","Bloodseeker  Lich  Beastmaster  Rubick  Pangolier","Mad Kings Esports","Crystal Maiden  Kunkka  Weaver  Earth Spirit  Monkey King","Team A"
"7125355254","14691","25 Apr 2023 08:43","1881","31:21","Team A","Ionut Cercel","Shadow Shaman  Beastmaster  Queen of Pain  Spectre  Io","KZ TEAM","Tinker  Doom  Skywrath Mage  Monkey King  Muerta","Team B"
"7125399393","15136","25 Apr 2023 09:11","1348","22:28","Team B","Lava Esports","Sven  Beastmaster  Chen  Tusk  Dark Willow","Mad Kings Esports","Night Stalker  Undying  Slark  Ember Spirit  Snapfire","Team B"
"7125542217","15267","25 Apr 2023 11:24","2919","48:39","Team B","Hokori","Drow Ranger  Beastmaster  Undying  Tusk  Techies","Thunder Awaken","Bloodseeker  Storm Spirit  Rubick  Disruptor  Underlord","Team A"
"7125860523","15128","26 Apr 2023 08:03","677","11:17","Team A","We Own","Shadow Fiend  Sven  Beastmaster  Ogre Magi  Skywrath Mage","EV GaminG","Rubick  Disruptor  Naga Siren  Ember Spirit  Dawnbreaker","Team B"
"7126050749","15251","26 Apr 2023 12:00","2746","45:46","Team B","PSG.LGD","Mirana  Beastmaster  Wraith King  Phoenix  Void Spirit","Execration","Puck  Templar Assassin  Doom  Rubick  Snapfire","Team A"
"7126052070","15251","26 Apr 2023 12:00","1082","18:02","Team A","Gaimin Gladiators","Beastmaster  Chen  Rubick  Pangolier  Muerta","Evil Geniuses","Crystal Maiden  Pudge  Disruptor  Underlord  Void Spirit","Team A"
