"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116943970","15126","21 Apr 2023 10:00","1223","20:23","Team B","Vision","Disruptor  Visage  Terrorblade  Marci  Primal Beast","BOOM Esports","Earthshaker  Beastmaster  Templar Assassin  Enchantress  Bounty Hunter","Team B"
"7118560271","15087","22 Apr 2023 12:59","3466","57:46","Team A","Ravens","Templar Assassin  Disruptor  Tusk  Legion Commander  Snapfire","The Cut","Beastmaster  Treant Protector  Troll Warlord  Hoodwink  Void Spirit","Team A"
"7118795304","15128","22 Apr 2023 05:54","1343","22:23","Team A","Outsiders From CN","Shadow Fiend  Tiny  Ogre Magi  Rubick  Timbersaw","We Own","Anti-Mage  Beastmaster  Queen of Pain  Disruptor  Hoodwink","Team A"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team A","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","Team B"
"7119259890","15141","22 Apr 2023 12:01","1896","31:36","Team A","Big brain","Puck  Templar Assassin  Bounty Hunter  Monkey King  Snapfire","Team Bright","Mirana  Beastmaster  Clockwerk  Slark  Legion Commander","Team A"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team A","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","Team A"
"7119765928","15138","22 Apr 2023 04:18","1991","33:11","Team B","UALEIKUMNIHAO","Puck  Jakiro  Doom  Rubick  Troll Warlord","NAVI Junior","Mirana  Beastmaster  Templar Assassin  Bounty Hunter  Slark","Team A"
"7121524512","15088","23 Apr 2023 02:55","1617","26:57","Team B","IVY","Phantom Assassin  Leshrac  Jakiro  Doom  Rubick","Team Secret","Beastmaster  Centaur Warrunner  Skywrath Mage  Monkey King  Snapfire","Team B"
"7121657776","15088","23 Apr 2023 03:52","4677","1:17:57","Team A","IVY","Drow Ranger  Mirana  Dark Seer  Ember Spirit  Snapfire","Team Secret","Beastmaster  Death Prophet  Silencer  Rubick  Terrorblade","Team A"
"7121890931","15088","23 Apr 2023 05:41","1572","26:12","Team B","IVY","Viper  Lycan  Rubick  Ember Spirit  Snapfire","Team Secret","Warlock  Beastmaster  Dragon Knight  Slark  Dark Willow","Team B"
"7122404291","15267","23 Apr 2023 11:20","3152","52:32","Team A","Balrogs Esports™","Puck  Skywrath Mage  Earth Spirit  Underlord  Muerta","Hokori","Riki  Beastmaster  Undying  Rubick  Slark","Team B"
"7122593344","15267","24 Apr 2023 04:11","1903","31:43","Team A","Thunder Awaken","Storm Spirit  Disruptor  Bristleback  Earth Spirit  Monkey King","Mad Kings Esports","Beastmaster  Jakiro  Alchemist  Rubick  Muerta","Team A"
"7122632975","15128","24 Apr 2023 04:59","1374","22:54","Team B","Team Virgo","Sniper  Phantom Assassin  Clockwerk  Snapfire  Mars","MIRACLE ESPORT","Crystal Maiden  Beastmaster  Pugna  Leshrac  Bounty Hunter","Team A"
