"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7118661066","15087","22 Apr 2023 03:25","2448","40:48","Team A","ALPHA","Bloodseeker  Riki  Batrider  Meepo  Disruptor","SAND KING GÓMEZ","Phantom Assassin  Ogre Magi  Skywrath Mage  Void Spirit  Mars","Team A"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team B","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","Team A"
"7120769506","15128","23 Apr 2023 05:11","1395","23:15","Team B","Dino Esports","Bloodseeker  Storm Spirit  Bounty Hunter  Disruptor  Primal Beast","MIRACLE ESPORT","Crystal Maiden  Nature's Prophet  Night Stalker  Hoodwink  Snapfire","Team A"
"7120906564","15126","23 Apr 2023 07:51","1821","30:21","Team B","IHC","Bloodseeker  Death Prophet  Chen  Legion Commander  Hoodwink","Made in Philippines","Luna  Dragon Knight  Brewmaster  Phoenix  Pangolier","Team A"
"7121091529","15141","23 Apr 2023 10:20","1156","19:16","Team B","Team Disillusion","Bloodseeker  Mirana  Pudge  Templar Assassin  Disruptor","Team Bright","Clockwerk  Weaver  Brewmaster  Void Spirit  Muerta","Team B"
"7123333836","15138","24 Apr 2023 03:55","1753","29:13","Team B","No Sorry","Bloodseeker  Zeus  Beastmaster  Jakiro  Techies","Team Sexy","Lich  Enigma  Death Prophet  Alchemist  Monkey King","Team B"
"7124115083","15267","25 Apr 2023 01:39","2199","36:39","Team B","Hokori","Bloodseeker  Mirana  Beastmaster  Batrider  Disruptor","Mad Kings Esports","Crystal Maiden  Weaver  Tusk  Ember Spirit  Monkey King","Team B"
"7124892177","15138","25 Apr 2023 04:08","2736","45:36","Team B","cybercats","Bloodseeker  Storm Spirit  Lich  Rubick  Underlord","UALEIKUMNIHAO","Windranger  Viper  Jakiro  Alchemist  Treant Protector","Team B"
"7125327787","15136","25 Apr 2023 08:19","1481","24:41","Team A","Lava Esports","Bloodseeker  Lich  Beastmaster  Rubick  Pangolier","Mad Kings Esports","Crystal Maiden  Kunkka  Weaver  Earth Spirit  Monkey King","Team A"
"7125450945","15267","25 Apr 2023 10:01","3119","51:59","Team A","Hokori","Bloodseeker  Mirana  Witch Doctor  Tusk  Underlord","Thunder Awaken","Enchantress  Batrider  Alchemist  Rubick  Pangolier","Team B"
"7125542217","15267","25 Apr 2023 11:24","2919","48:39","Team A","Thunder Awaken","Bloodseeker  Storm Spirit  Rubick  Disruptor  Underlord","Hokori","Drow Ranger  Beastmaster  Undying  Tusk  Techies","Team B"
"7125633102","15267","26 Apr 2023 02:05","3361","56:01","Team B","Acatsuki","Bloodseeker  Templar Assassin  Enchantress  Centaur Warrunner  Skywrath Mage","Infamous Gaming","Mirana  Wraith King  Gyrocopter  Void Spirit  Dawnbreaker","Team A"
"7125813501","15126","26 Apr 2023 07:00","2026","33:46","Team B","UD VESSUWAN","Bloodseeker  Viper  Enchantress  Naga Siren  Tusk","BOOM Esports","Mirana  Nature's Prophet  Disruptor  Ember Spirit  Pangolier","Team B"
"7126054805","15251","26 Apr 2023 12:00","1946","32:26","Team A","Team Aster","Bloodseeker  Storm Spirit  Rubick  Io  Underlord","BetBoom Team","Crystal Maiden  Death Prophet  Dragon Knight  Bounty Hunter  Ursa","Team A"
"7126110974","15251","26 Apr 2023 12:54","1328","22:08","Team A","Evil Geniuses","Bloodseeker  Leshrac  Dark Seer  Disruptor  Nyx Assassin","Gaimin Gladiators","Riki  Doom  Rubick  Io  Slark","Team A"
"7126120830","15138","26 Apr 2023 01:13","2232","37:12","Team A","NAVI Junior","Bloodseeker  Mirana  Beastmaster  Keeper of the Light  Oracle","Moneymakers","Vengeful Spirit  Doom  Disruptor  Slark  Medusa","Team B"
"7126125913","15251","26 Apr 2023 01:10","2654","44:14","Team A","9Pandas","Bloodseeker  Tiny  Chen  Alchemist  Skywrath Mage","TSM","Enchantress  Ancient Apparition  Medusa  Pangolier  Primal Beast","Team A"
"7126205270","15138","26 Apr 2023 02:13","2322","38:42","Team A","Moneymakers","Bloodseeker  Beastmaster  Dazzle  Alchemist  Rubick","NAVI Junior","Mirana  Dragon Knight  Naga Siren  Timbersaw  Skywrath Mage","Team B"
"7126320840","15251","26 Apr 2023 03:32","1924","32:04","Team A","Team Liquid","Bloodseeker  Crystal Maiden  Io  Monkey King  Void Spirit","Team Aster","Leshrac  Alchemist  Disruptor  Troll Warlord  Techies","Team A"
"7126506219","15251","26 Apr 2023 05:15","2432","40:32","Team A","beastcoast","Bloodseeker  Leshrac  Dark Seer  Chen  Nyx Assassin","Talon","Jakiro  Doom  Tusk  Monkey King  Muerta","Team A"
"7127055059","15136","27 Apr 2023 01:15","1332","22:12","Team A","Lava Esports","Bloodseeker  Silencer  Tusk  Ember Spirit  Snapfire","x5 Gaming","Anti-Mage  Mirana  Clockwerk  Leshrac  Visage","Team A"
"7127562163","15251","27 Apr 2023 01:25","1550","25:50","Team A","Team Aster","Bloodseeker  Storm Spirit  Rubick  Io  Terrorblade","Execration","Kunkka  Undying  Disruptor  Underlord  Muerta","Team A"
"7127927613","15251","27 Apr 2023 05:15","3993","1:06:33","Team A","Talon","Bloodseeker  Batrider  Alchemist  Disruptor  Nyx Assassin","Xtreme Gaming","Sven  Pugna  Dragon Knight  Rubick  Underlord","Team B"
"7128238477","15251","27 Apr 2023 08:55","1590","26:30","Team A","INVICTUS GAMING","Bloodseeker  Sven  Enchantress  Undying  Void Spirit","Team Spirit","Crystal Maiden  Queen of Pain  Silencer  Slark  Primal Beast","Team B"
"7128325881","15267","27 Apr 2023 10:00","2768","46:08","Team A","Acatsuki","Bloodseeker  Puck  Ancient Apparition  Disruptor  Centaur Warrunner","Vivo Keyd Stars","Sven  Leshrac  Rubick  Io  Primal Beast","Team A"
"7128914194","15251","28 Apr 2023 12:00","2234","37:14","Team B","Team Liquid","Bloodseeker  Crystal Maiden  Rubick  Underlord  Pangolier","TSM","Storm Spirit  Shadow Shaman  Brewmaster  Slark  Phoenix","Team A"
"7128986012","15251","28 Apr 2023 01:07","2270","37:50","Team B","TSM","Bloodseeker  Death Prophet  Alchemist  Rubick  Keeper of the Light","Team Liquid","Crystal Maiden  Sven  Doom  Earth Spirit  Pangolier","Team B"
"7129187672","15251","28 Apr 2023 03:29","1693","28:13","Team B","Gaimin Gladiators","Bloodseeker  Leshrac  Spirit Breaker  Io  Terrorblade","Team Liquid","Shadow Fiend  Chen  Alchemist  Skywrath Mage  Pangolier","Team A"
"7129480762","15251","28 Apr 2023 06:31","2571","42:51","Team B","Talon","Bloodseeker  Crystal Maiden  Wraith King  Leshrac  Rubick","Tundra Esports","Enchantress  Doom  Slark  Techies  Void Spirit","Team B"
"7129667054","14691","28 Apr 2023 08:23","2665","44:25","Team B","Please dont gank my carry","Bloodseeker  Tiny  Undying  Rubick  Mars","Luna Galaxy","Anti-Mage  Dark Seer  Bounty Hunter  Silencer  Void Spirit","Team A"
"7129967727","15267","29 Apr 2023 12:59","1231","20:31","Team A","Mad Kings Esports","Bloodseeker  Chen  Doom  Keeper of the Light  Primal Beast","Balrogs Esports™","Wraith King  Alchemist  Rubick  Disruptor  Dawnbreaker","Team A"
"7130749852","15251","29 Apr 2023 02:36","2824","47:04","Team B","Evil Geniuses","Bloodseeker  Crystal Maiden  Doom  Rubick  Underlord","Team Aster","Tiny  Beastmaster  Chen  Skywrath Mage  Muerta","Team A"
"7130844154","15251","29 Apr 2023 03:42","2176","36:16","Team B","TSM","Bloodseeker  Storm Spirit  Alchemist  Rubick  Keeper of the Light","PSG.LGD","Beastmaster  Medusa  Elder Titan  Pangolier  Hoodwink","Team B"
"7131156650","15251","29 Apr 2023 06:34","2243","37:23","Team B","Xtreme Gaming","Bloodseeker  Doom  Disruptor  Ember Spirit  Phoenix","Tundra Esports","Crystal Maiden  Wraith King  Omniknight  Underlord  Snapfire","Team B"
"7131292702","15251","29 Apr 2023 08:04","2279","37:59","Team B","beastcoast","Bloodseeker  Crystal Maiden  Slark  Skywrath Mage  Underlord","Tundra Esports","Pugna  Batrider  Ursa  Keeper of the Light  Medusa","Team B"
"7131296102","15251","29 Apr 2023 08:04","2577","42:57","Team A","Shopify Rebellion","Bloodseeker  Crystal Maiden  Doom  Ember Spirit  Grimstroke","OG","Phantom Lancer  Enigma  Invoker  Rubick  Techies","Team A"
"7131430596","15251","29 Apr 2023 09:40","3811","1:03:31","Team B","Team Spirit","Bloodseeker  Crystal Maiden  Disruptor  Underlord  Pangolier","Xtreme Gaming","Jakiro  Ogre Magi  Keeper of the Light  Slark  Ember Spirit","Team A"
"7131939577","15128","30 Apr 2023 07:59","893","14:53","Team B","EV GaminG","Bloodseeker  Pudge  Pugna  Monkey King  Primal Beast","Team Tough","Riki  Chen  Alchemist  Lone Druid  Hoodwink","Team A"
