"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116809609","15126","21 Apr 2023 08:12","1820","30:20","Team A","SPAWN Team","Crystal Maiden  Templar Assassin  Brewmaster  Tusk  Primal Beast","Made in Philippines","Morphling  Clockwerk  Doom  Rubick  Earth Spirit","Team B"
"7117011841","15126","21 Apr 2023 10:44","1654","27:34","Team A","Vision","Crystal Maiden  Shadow Shaman  Venomancer  Timbersaw  Muerta","BOOM Esports","Shadow Fiend  Death Prophet  Bounty Hunter  Ogre Magi  Oracle","Team B"
"7117225221","15126","21 Apr 2023 01:00","2239","37:19","Team A","Team Tough","Crystal Maiden  Bounty Hunter  Rubick  Dawnbreaker  Primal Beast","UD VESSUWAN","Mirana  Silencer  Lycan  Ember Spirit  Monkey King","Team B"
"7117336146","15126","21 Apr 2023 02:04","2462","41:02","Team B","UD VESSUWAN","Crystal Maiden  Storm Spirit  Lifestealer  Bounty Hunter  Marci","Team Tough","Death Prophet  Templar Assassin  Enchantress  Earth Spirit  Primal Beast","Team A"
"7118719303","15087","22 Apr 2023 04:37","2377","39:37","Team B","ALPHA","Crystal Maiden  Leshrac  Nyx Assassin  Slark  Ember Spirit","SAND KING GÓMEZ","Phantom Lancer  Gyrocopter  Legion Commander  Techies  Void Spirit","Team A"
"7119197773","14691","22 Apr 2023 11:09","2506","41:46","Team B","HAVU","Crystal Maiden  Dragon Knight  Naga Siren  Timbersaw  Monkey King","Ionut Cercel","Venomancer  Pugna  Clockwerk  Enchantress  Ursa","Team B"
"7120502848","15136","22 Apr 2023 11:30","1802","30:02","Team B","NoLimitsGaming","Crystal Maiden  Batrider  Tusk  Underlord  Monkey King","x5 Gaming","Phantom Lancer  Storm Spirit  Skywrath Mage  Legion Commander  Dawnbreaker","Team B"
"7120769506","15128","23 Apr 2023 05:11","1395","23:15","Team A","MIRACLE ESPORT","Crystal Maiden  Nature's Prophet  Night Stalker  Hoodwink  Snapfire","Dino Esports","Bloodseeker  Storm Spirit  Bounty Hunter  Disruptor  Primal Beast","Team B"
"7121001446","15141","23 Apr 2023 09:14","2494","41:34","Team A","Team Bright","Anti-Mage  Crystal Maiden  Sand King  Leshrac  Monkey King","Team Disillusion","Mirana  Riki  Invoker  Naga Siren  Skywrath Mage","Team A"
"7121740499","15196","23 Apr 2023 04:26","3134","52:14","Team B","Team Liquid","Crystal Maiden  Lich  Timbersaw  Primal Beast  Muerta","Gaimin Gladiators","Puck  Chen  Doom  Slark  Snapfire","Team B"
"7122163122","15196","23 Apr 2023 08:29","1705","28:25","Team A","Team Liquid","Crystal Maiden  Storm Spirit  Sven  Rubick  Underlord","Gaimin Gladiators","Queen of Pain  Disruptor  Centaur Warrunner  Monkey King  Dark Willow","Team A"
"7122259749","15196","23 Apr 2023 09:31","2460","41:00","Team A","Gaimin Gladiators","Crystal Maiden  Templar Assassin  Doom  Slark  Skywrath Mage","Team Liquid","Shadow Fiend  Keeper of the Light  Bristleback  Underlord  Hoodwink","Team A"
"7122307683","15267","23 Apr 2023 10:00","2764","46:04","Team A","Balrogs Esports™","Crystal Maiden  Templar Assassin  Invoker  Earth Spirit  Underlord","Hokori","Death Prophet  Clockwerk  Chen  Ursa  Snapfire","Team A"
"7122467503","15267","24 Apr 2023 12:50","2801","46:41","Team A","Balrogs Esports™","Crystal Maiden  Storm Spirit  Templar Assassin  Underlord  Primal Beast","Hokori","Batrider  Disruptor  Tusk  Terrorblade  Muerta","Team A"
"7122632975","15128","24 Apr 2023 04:59","1374","22:54","Team A","MIRACLE ESPORT","Crystal Maiden  Beastmaster  Pugna  Leshrac  Bounty Hunter","Team Virgo","Sniper  Phantom Assassin  Clockwerk  Snapfire  Mars","Team B"
"7122638320","15141","24 Apr 2023 05:09","1312","21:52","Team A","Team Disillusion","Crystal Maiden  Pudge  Sven  Enchantress  Monkey King","Holy Grail","Windranger  Chen  Doom  Medusa  Earth Spirit","Team A"
"7122812986","15128","24 Apr 2023 09:06","1466","24:26","Team B","Dino Esports","Crystal Maiden  Beastmaster  Luna  Rubick  Monkey King","UD VESSUWAN","Leshrac  Bounty Hunter  Chen  Lone Druid  Ember Spirit","Team A"
"7123030776","15138","24 Apr 2023 12:59","1567","26:07","Team B","YNT","Crystal Maiden  Phantom Lancer  Storm Spirit  Skywrath Mage  Primal Beast","UALEIKUMNIHAO","Necrophos  Warlock  Queen of Pain  Doom  Alchemist","Team B"
"7123059679","14691","24 Apr 2023 01:21","2193","36:33","Team A","Ancient Tribe","Crystal Maiden  Mirana  Necrophos  Dragon Knight  Underlord","HF","Phantom Lancer  Enchantress  Gyrocopter  Centaur Warrunner  Timbersaw","Team A"
"7124083544","15267","25 Apr 2023 12:51","875","14:35","Team B","Ravens","Crystal Maiden  Doom  Disruptor  Slark  Void Spirit","Infamous Gaming","Mirana  Beastmaster  Meepo  Treant Protector  Muerta","Team A"
"7124103976","15087","25 Apr 2023 01:21","1321","22:01","Team B","ALPHA","Crystal Maiden  Batrider  Meepo  Slark  Earth Spirit","The Oversight","Mirana  Bounty Hunter  Alchemist  Visage  Void Spirit","Team B"
"7124115083","15267","25 Apr 2023 01:39","2199","36:39","Team A","Mad Kings Esports","Crystal Maiden  Weaver  Tusk  Ember Spirit  Monkey King","Hokori","Bloodseeker  Mirana  Beastmaster  Batrider  Disruptor","Team A"
"7124647148","14691","25 Apr 2023 01:06","1514","25:14","Team B","Ancient Tribe","Crystal Maiden  Slark  Ember Spirit  Snapfire  Primal Beast","KZ TEAM","Enchantress  Earth Spirit  Underlord  Monkey King  Void Spirit","Team A"
"7124698067","14691","25 Apr 2023 02:15","1448","24:08","Team A","Ancient Tribe","Crystal Maiden  Mirana  Tiny  Alchemist  Timbersaw","KZ TEAM","Pugna  Dark Seer  Chen  Nyx Assassin  Monkey King","Team B"
"7124774067","14691","25 Apr 2023 03:05","3209","53:29","Team B","Ancient Tribe","Crystal Maiden  Death Prophet  Visage  Terrorblade  Monkey King","KZ TEAM","Mirana  Shadow Fiend  Viper  Rubick  Centaur Warrunner","Team A"
"7125171264","15138","25 Apr 2023 06:41","1494","24:54","Team B","Team Sexy","Crystal Maiden  Storm Spirit  Beastmaster  Keeper of the Light  Bristleback","NAVI Junior","Mirana  Phantom Lancer  Riki  Jakiro  Underlord","Team A"
"7125209990","15136","25 Apr 2023 07:03","2989","49:49","Team A","Mad Kings Esports","Crystal Maiden  Dragon Knight  Monkey King  Void Spirit  Snapfire","Lava Esports","Sven  Beastmaster  Rubick  Disruptor  Pangolier","Team A"
"7125249249","15138","25 Apr 2023 07:32","2700","45:00","Team A","Team Sexy","Crystal Maiden  Death Prophet  Night Stalker  Alchemist  Keeper of the Light","NAVI Junior","Tiny  Ancient Apparition  Doom  Ursa  Rubick","Team A"
"7125327787","15136","25 Apr 2023 08:19","1481","24:41","Team B","Mad Kings Esports","Crystal Maiden  Kunkka  Weaver  Earth Spirit  Monkey King","Lava Esports","Bloodseeker  Lich  Beastmaster  Rubick  Pangolier","Team B"
"7125372580","15088","25 Apr 2023 08:55","1996","33:16","Team B","Alliance","Crystal Maiden  Storm Spirit  Rubick  Underlord  Terrorblade","Old G","Lifestealer  Enchantress  Nyx Assassin  Void Spirit  Snapfire","Team A"
"7125434145","14691","25 Apr 2023 09:39","2157","35:57","Team A","Ionut Cercel","Crystal Maiden  Clockwerk  Naga Siren  Timbersaw  Muerta","KZ TEAM","Shadow Fiend  Enigma  Gyrocopter  Slark  Primal Beast","Team A"
"7125457650","15088","25 Apr 2023 09:59","2686","44:46","Team B","Alliance","Crystal Maiden  Silencer  Centaur Warrunner  Terrorblade  Void Spirit","Old G","Omniknight  Ursa  Alchemist  Rubick  Phoenix","Team A"
"7125857500","15126","26 Apr 2023 08:00","1653","27:33","Team A","UD VESSUWAN","Crystal Maiden  Storm Spirit  Lifestealer  Tusk  Dawnbreaker","BOOM Esports","Puck  Enchantress  Bounty Hunter  Disruptor  Muerta","Team B"
"7126009355","15128","26 Apr 2023 11:06","1582","26:22","Team B","Hashtag.Reaper","Crystal Maiden  Doom  Slark  Oracle  Void Spirit","Team Virgo","Clockwerk  Lone Druid  Rubick  Pangolier  Mars","Team B"
"7126027509","15126","26 Apr 2023 11:30","2013","33:33","Team A","Myth Avenue Gaming","Crystal Maiden  Sven  Magnus  Skywrath Mage  Primal Beast","IHC","Broodmother  Undying  Rubick  Ember Spirit  Monkey King","Team A"
"7126052070","15251","26 Apr 2023 12:00","1082","18:02","Team B","Evil Geniuses","Crystal Maiden  Pudge  Disruptor  Underlord  Void Spirit","Gaimin Gladiators","Beastmaster  Chen  Rubick  Pangolier  Muerta","Team B"
"7126054805","15251","26 Apr 2023 12:00","1946","32:26","Team B","BetBoom Team","Crystal Maiden  Death Prophet  Dragon Knight  Bounty Hunter  Ursa","Team Aster","Bloodseeker  Storm Spirit  Rubick  Io  Underlord","Team B"
"7126062384","15088","26 Apr 2023 12:03","2360","39:20","Team B","Ancient Tribe","Crystal Maiden  Chen  Alchemist  Visage  Medusa","Luna Galaxy","Mirana  Sven  Ancient Apparition  Underlord  Void Spirit","Team B"
"7126118055","15126","26 Apr 2023 01:00","1781","29:41","Team A","Myth Avenue Gaming","Crystal Maiden  Sven  Leshrac  Doom  Skywrath Mage","Vision","Omniknight  Undying  Rubick  Tusk  Arc Warden","Team B"
"7126132755","15251","26 Apr 2023 01:17","2786","46:26","Team B","Execration","Crystal Maiden  Mirana  Templar Assassin  Ember Spirit  Underlord","PSG.LGD","Storm Spirit  Chen  Ursa  Rubick  Pangolier","Team B"
"7126142185","15251","26 Apr 2023 01:20","1467","24:27","Team B","BetBoom Team","Crystal Maiden  Phantom Lancer  Storm Spirit  Pugna  Dawnbreaker","Team Aster","Riki  Enchantress  Doom  Alchemist  Rubick","Team A"
"7126249762","15251","26 Apr 2023 02:44","2200","36:40","Team B","TSM","Crystal Maiden  Sven  Chen  Timbersaw  Void Spirit","BetBoom Team","Phantom Lancer  Pudge  Enchantress  Jakiro  Ember Spirit","Team B"
"7126320840","15251","26 Apr 2023 03:32","1924","32:04","Team A","Team Liquid","Bloodseeker  Crystal Maiden  Io  Monkey King  Void Spirit","Team Aster","Leshrac  Alchemist  Disruptor  Troll Warlord  Techies","Team A"
"7126508226","15251","26 Apr 2023 05:16","2085","34:45","Team B","Tundra Esports","Crystal Maiden  Beastmaster  Keeper of the Light  Terrorblade  Pangolier","Team Spirit","Leshrac  Night Stalker  Rubick  Io  Magnus","Team A"
"7126660986","14691","26 Apr 2023 07:03","2039","33:59","Team A","Luna Galaxy","Crystal Maiden  Mirana  Kunkka  Bristleback  Underlord","IVY","Beastmaster  Chen  Techies  Pangolier  Muerta","Team A"
"7126746550","15251","26 Apr 2023 07:59","3360","56:00","Team A","Shopify Rebellion","Crystal Maiden  Storm Spirit  Sven  Doom  Techies","Team Spirit","Shadow Fiend  Shadow Demon  Disruptor  Underlord  Monkey King","Team A"
"7126763736","14691","26 Apr 2023 08:08","2145","35:45","Team B","Luna Galaxy","Crystal Maiden  Enchantress  Meepo  Underlord  Void Spirit","IVY","Clockwerk  Dark Seer  Chen  Slark  Winter Wyvern","Team A"
"7126861027","15251","26 Apr 2023 09:27","2464","41:04","Team B","Shopify Rebellion","Crystal Maiden  Phantom Assassin  Leshrac  Techies  Underlord","Team Spirit","Riki  Chen  Slark  Magnus  Skywrath Mage","Team B"
"7127264836","15128","27 Apr 2023 07:24","1331","22:11","Team A","Outsiders From CN","Crystal Maiden  Riki  Rubick  Naga Siren  Void Spirit","Manta Esports","Phantom Lancer  Beastmaster  Leshrac  Silencer  Snapfire","Team A"
"7127378516","15128","27 Apr 2023 09:59","1164","19:24","Team B","Outsiders From CN","Crystal Maiden  Storm Spirit  Bounty Hunter  Skywrath Mage  Monkey King","Hashtag.Reaper","Jakiro  Rubick  Slark  Legion Commander  Void Spirit","Team A"
"7127476400","15251","27 Apr 2023 12:00","2505","41:45","Team B","Team Liquid","Crystal Maiden  Mirana  Pudge  Templar Assassin  Nyx Assassin","9Pandas","Riki  Dark Seer  Enchantress  Alchemist  Techies","Team B"
"7127660778","15251","27 Apr 2023 02:33","1304","21:44","Team A","Execration","Crystal Maiden  Dark Seer  Bounty Hunter  Batrider  Slark","Gaimin Gladiators","Lone Druid  Rubick  Disruptor  Underlord  Pangolier","Team B"
"7127758479","15251","27 Apr 2023 03:35","2577","42:57","Team B","BetBoom Team","Crystal Maiden  Pudge  Death Prophet  Ursa  Ember Spirit","Team Liquid","Venomancer  Chen  Alchemist  Rubick  Magnus","Team A"
"7127790926","14691","27 Apr 2023 04:01","1643","27:23","Team A","Luna Galaxy","Crystal Maiden  Beastmaster  Rubick  Magnus  Monkey King","Ancient Tribe","Phantom Lancer  Enchantress  Bounty Hunter  Ember Spirit  Primal Beast","Team A"
"7127904846","14691","27 Apr 2023 04:57","2222","37:02","Team B","Ancient Tribe","Crystal Maiden  Dazzle  Alchemist  Rubick  Underlord","Luna Galaxy","Mirana  Dragon Knight  Ursa  Silencer  Monkey King","Team B"
"7127927995","15251","27 Apr 2023 05:16","1617","26:57","Team B","Tundra Esports","Crystal Maiden  Wraith King  Alchemist  Keeper of the Light  Underlord","Shopify Rebellion","Storm Spirit  Sven  Pugna  Doom  Nyx Assassin","Team A"
"7128037181","15251","27 Apr 2023 06:31","2498","41:38","Team B","Team Spirit","Crystal Maiden  Phantom Lancer  Viper  Rubick  Underlord","OG","Sand King  Tinker  Enchantress  Slark  Phoenix","Team A"
"7128062737","15251","27 Apr 2023 06:42","2163","36:03","Team B","Team SMG","Crystal Maiden  Mirana  Kunkka  Slark  Timbersaw","INVICTUS GAMING","Phantom Lancer  Disruptor  Keeper of the Light  Ember Spirit  Underlord","Team A"
"7128171641","15251","27 Apr 2023 07:58","1567","26:07","Team A","Team Spirit","Crystal Maiden  Phantom Lancer  Doom  Disruptor  Underlord","INVICTUS GAMING","Kunkka  Luna  Enchantress  Visage  Monkey King","Team A"
"7128187321","15251","27 Apr 2023 08:13","1604","26:44","Team A","Shopify Rebellion","Crystal Maiden  Beastmaster  Wraith King  Keeper of the Light  Pangolier","beastcoast","Faceless Void  Chen  Disruptor  Tusk  Phoenix","Team A"
"7128195080","15251","27 Apr 2023 08:15","2485","41:25","Team A","Team SMG","Crystal Maiden  Mirana  Morphling  Kunkka  Centaur Warrunner","Xtreme Gaming","Storm Spirit  Pugna  Alchemist  Brewmaster  Phoenix","Team B"
"7128238477","15251","27 Apr 2023 08:55","1590","26:30","Team B","Team Spirit","Crystal Maiden  Queen of Pain  Silencer  Slark  Primal Beast","INVICTUS GAMING","Bloodseeker  Sven  Enchantress  Undying  Void Spirit","Team A"
"7128263914","15251","27 Apr 2023 09:11","991","16:31","Team B","Shopify Rebellion","Crystal Maiden  Rubick  Timbersaw  Underlord  Terrorblade","beastcoast","Alchemist  Disruptor  Troll Warlord  Earth Spirit  Snapfire","Team A"
"7128280383","15251","27 Apr 2023 09:25","2285","38:05","Team A","OG","Crystal Maiden  Phantom Assassin  Leshrac  Io  Timbersaw","Talon","Beastmaster  Omniknight  Enchantress  Alchemist  Silencer","Team A"
"7128286493","15251","27 Apr 2023 09:29","2812","46:52","Team A","Xtreme Gaming","Crystal Maiden  Alchemist  Keeper of the Light  Underlord  Pangolier","Team SMG","Death Prophet  Enchantress  Disruptor  Slark  Muerta","Team A"
"7128469655","15267","28 Apr 2023 01:00","1570","26:10","Team A","Balrogs Esports™","Crystal Maiden  Faceless Void  Earth Spirit  Underlord  Void Spirit","Thunder Awaken","Enchantress  Alchemist  Rubick  Tusk  Dawnbreaker","Team B"
"7128497901","15267","28 Apr 2023 01:57","1699","28:19","Team B","Thunder Awaken","Crystal Maiden  Necrophos  Faceless Void  Batrider  Earth Spirit","Balrogs Esports™","Clockwerk  Dark Seer  Chen  Slark  Tusk","Team A"
"7128898528","15251","28 Apr 2023 12:00","1710","28:30","Team B","Team Aster","Crystal Maiden  Queen of Pain  Io  Legion Commander  Monkey King","Gaimin Gladiators","Doom  Rubick  Keeper of the Light  Ember Spirit  Terrorblade","Team B"
"7128912985","15251","28 Apr 2023 12:00","2633","43:53","Team A","9Pandas","Crystal Maiden  Storm Spirit  Faceless Void  Doom  Skywrath Mage","PSG.LGD","Clockwerk  Keeper of the Light  Medusa  Magnus  Void Spirit","Team A"
"7128914194","15251","28 Apr 2023 12:00","2234","37:14","Team B","Team Liquid","Bloodseeker  Crystal Maiden  Rubick  Underlord  Pangolier","TSM","Storm Spirit  Shadow Shaman  Brewmaster  Slark  Phoenix","Team A"
"7128915285","15251","28 Apr 2023 12:00","1830","30:30","Team B","BetBoom Team","Crystal Maiden  Pudge  Kunkka  Alchemist  Snapfire","Evil Geniuses","Tiny  Dark Seer  Enchantress  Chaos Knight  Tusk","Team A"
"7128986012","15251","28 Apr 2023 01:07","2270","37:50","Team A","Team Liquid","Crystal Maiden  Sven  Doom  Earth Spirit  Pangolier","TSM","Bloodseeker  Death Prophet  Alchemist  Rubick  Keeper of the Light","Team A"
"7128988799","15251","28 Apr 2023 01:09","1511","25:11","Team B","Evil Geniuses","Crystal Maiden  Brewmaster  Rubick  Troll Warlord  Underlord","BetBoom Team","Dark Seer  Bounty Hunter  Jakiro  Ursa  Ember Spirit","Team A"
"7128990704","15251","28 Apr 2023 01:13","1962","32:42","Team B","9Pandas","Crystal Maiden  Tinker  Bounty Hunter  Doom  Alchemist","PSG.LGD","Enchantress  Ursa  Underlord  Phoenix  Void Spirit","Team A"
"7129384529","15251","28 Apr 2023 05:27","1656","27:36","Team B","OG","Crystal Maiden  Necrophos  Ursa  Alchemist  Keeper of the Light","INVICTUS GAMING","Morphling  Tiny  Chen  Timbersaw  Ember Spirit","Team A"
"7129388346","15251","28 Apr 2023 05:27","1830","30:30","Team B","Talon","Crystal Maiden  Drow Ranger  Pudge  Doom  Monkey King","Tundra Esports","Windranger  Dark Seer  Enchantress  Ursa  Alchemist","Team B"
"7129400559","15251","28 Apr 2023 05:29","1226","20:26","Team A","Shopify Rebellion","Crystal Maiden  Templar Assassin  Rubick  Ember Spirit  Underlord","Team SMG","Storm Spirit  Vengeful Spirit  Beastmaster  Keeper of the Light  Terrorblade","Team A"
"7129480762","15251","28 Apr 2023 06:31","2571","42:51","Team B","Talon","Bloodseeker  Crystal Maiden  Wraith King  Leshrac  Rubick","Tundra Esports","Enchantress  Doom  Slark  Techies  Void Spirit","Team B"
