"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team B","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","Team B"
"7116943970","15126","21 Apr 2023 10:00","1223","20:23","Team B","Vision","Disruptor  Visage  Terrorblade  Marci  Primal Beast","BOOM Esports","Earthshaker  Beastmaster  Templar Assassin  Enchantress  Bounty Hunter","Team B"
"7117458330","15088","21 Apr 2023 02:59","3444","57:24","Team A","Ancient Tribe","Mirana  Phantom Lancer  Puck  Doom  Disruptor","Alliance","Bane  Death Prophet  Luna  Rubick  Pangolier","Team A"
"7118560271","15087","22 Apr 2023 12:59","3466","57:46","Team A","Ravens","Templar Assassin  Disruptor  Tusk  Legion Commander  Snapfire","The Cut","Beastmaster  Treant Protector  Troll Warlord  Hoodwink  Void Spirit","Team A"
"7118661066","15087","22 Apr 2023 03:25","2448","40:48","Team A","ALPHA","Bloodseeker  Riki  Batrider  Meepo  Disruptor","SAND KING GÓMEZ","Phantom Assassin  Ogre Magi  Skywrath Mage  Void Spirit  Mars","Team A"
"7118748043","15128","22 Apr 2023 05:04","1655","27:35","Team B","Outsiders From CN","Storm Spirit  Death Prophet  Clockwerk  Disruptor  Naga Siren","We Own","Templar Assassin  Bounty Hunter  Ancient Apparition  Rubick  Dawnbreaker","Team A"
"7118795304","15128","22 Apr 2023 05:54","1343","22:23","Team B","We Own","Anti-Mage  Beastmaster  Queen of Pain  Disruptor  Hoodwink","Outsiders From CN","Shadow Fiend  Tiny  Ogre Magi  Rubick  Timbersaw","Team B"
"7119155871","15128","22 Apr 2023 10:42","2915","48:35","Team B","UD VESSUWAN","Morphling  Bounty Hunter  Doom  Disruptor  Pangolier","Hashtag.Reaper","Lion  Queen of Pain  Enchantress  Slark  Legion Commander","Team A"
"7119695715","15196","22 Apr 2023 03:52","3429","57:09","Team A","Tundra Esports","Doom  Disruptor  Naga Siren  Techies  Monkey King","Shopify Rebellion","Mirana  Puck  Alchemist  Legion Commander  Earth Spirit","Team A"
"7120196116","15196","22 Apr 2023 08:12","4600","1:16:40","Team B","Gaimin Gladiators","Templar Assassin  Enchantress  Doom  Disruptor  Terrorblade","Team Liquid","Necrophos  Chen  Dark Willow  Void Spirit  Muerta","Team B"
