"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116526799","15136","21 Apr 2023 04:02","1849","30:49","Team A","noMERCY","Leshrac  Doom  Spirit Breaker  Slark  Skywrath Mage","x5 Gaming","Nature's Prophet  Visage  Ember Spirit  Snapfire  Dawnbreaker","Team B"
"7116718813","15126","21 Apr 2023 07:00","2584","43:04","Team B","Made in Philippines","Enchantress  Doom  Troll Warlord  Ember Spirit  Phoenix","SPAWN Team","Death Prophet  Templar Assassin  Chen  Marci  Primal Beast","Team A"
"7116809609","15126","21 Apr 2023 08:12","1820","30:20","Team B","Made in Philippines","Morphling  Clockwerk  Doom  Rubick  Earth Spirit","SPAWN Team","Crystal Maiden  Templar Assassin  Brewmaster  Tusk  Primal Beast","Team A"
"7117458330","15088","21 Apr 2023 02:59","3444","57:24","Team A","Ancient Tribe","Mirana  Phantom Lancer  Puck  Doom  Disruptor","Alliance","Bane  Death Prophet  Luna  Rubick  Pangolier","Team A"
"7117906782","15088","21 Apr 2023 06:08","2499","41:39","Team A","IVY","Morphling  Windranger  Queen of Pain  Enchantress  Doom","ITB.Shuffle","Mirana  Clockwerk  Ancient Apparition  Terrorblade  Primal Beast","Team B"
"7118080222","15088","21 Apr 2023 07:26","3670","1:01:10","Team A","ITB.Shuffle","Mirana  Leshrac  Doom  Slark  Legion Commander","IVY","Phantom Lancer  Sniper  Enchantress  Snapfire  Dawnbreaker","Team A"
"7118503468","15087","21 Apr 2023 11:57","1939","32:19","Team A","Ravens","Tiny  Leshrac  Enchantress  Doom  Ursa","The Cut","Sand King  Spectre  Ancient Apparition  Skywrath Mage  Ember Spirit","Team B"
"7118527355","15088","22 Apr 2023 12:17","3407","56:47","Team B","Luna Galaxy","Mirana  Death Prophet  Clockwerk  Doom  Terrorblade","Old G","Faceless Void  Dragon Knight  Enchantress  Monkey King  Snapfire","Team A"
"7119036519","15128","22 Apr 2023 09:22","2653","44:13","Team A","UD VESSUWAN","Lion  Nature's Prophet  Bounty Hunter  Doom  Pangolier","Outsiders From CN","Queen of Pain  Undying  Rubick  Monkey King  Dawnbreaker","Team B"
"7119100049","15141","22 Apr 2023 10:13","2048","34:08","Team A","Piggy Killer","Venomancer  Enchantress  Doom  Terrorblade  Dark Willow","Holy Grail","Bane  Sand King  Wraith King  Death Prophet  Earth Spirit","Team A"
"7119155871","15128","22 Apr 2023 10:42","2915","48:35","Team B","UD VESSUWAN","Morphling  Bounty Hunter  Doom  Disruptor  Pangolier","Hashtag.Reaper","Lion  Queen of Pain  Enchantress  Slark  Legion Commander","Team A"
"7119375495","15141","22 Apr 2023 12:59","2489","41:29","Team A","Big brain","Mirana  Doom  Ember Spirit  Monkey King  Muerta","Team Bright","Drow Ranger  Clockwerk  Chen  Void Spirit  Primal Beast","Team A"
"7119577917","15196","22 Apr 2023 02:55","1503","25:03","Team B","Tundra Esports","Bounty Hunter  Doom  Chaos Knight  Skywrath Mage  Phoenix","Shopify Rebellion","Death Prophet  Chen  Ursa  Earth Spirit  Underlord","Team B"
"7119695715","15196","22 Apr 2023 03:52","3429","57:09","Team A","Tundra Esports","Doom  Disruptor  Naga Siren  Techies  Monkey King","Shopify Rebellion","Mirana  Puck  Alchemist  Legion Commander  Earth Spirit","Team A"
"7119765928","15138","22 Apr 2023 04:18","1991","33:11","Team B","UALEIKUMNIHAO","Puck  Jakiro  Doom  Rubick  Troll Warlord","NAVI Junior","Mirana  Beastmaster  Templar Assassin  Bounty Hunter  Slark","Team A"
"7120085930","15196","22 Apr 2023 07:06","2101","35:01","Team A","Gaimin Gladiators","Puck  Pudge  Windranger  Enchantress  Doom","Team Liquid","Phantom Lancer  Chen  Nyx Assassin  Skywrath Mage  Monkey King","Team B"
"7120196116","15196","22 Apr 2023 08:12","4600","1:16:40","Team B","Gaimin Gladiators","Templar Assassin  Enchantress  Doom  Disruptor  Terrorblade","Team Liquid","Necrophos  Chen  Dark Willow  Void Spirit  Muerta","Team B"
"7120859470","15141","23 Apr 2023 06:57","1872","31:12","Team B","Holy Grail","Queen of Pain  Dazzle  Bounty Hunter  Doom  Ursa","Supernova","Dragon Knight  Invoker  Disruptor  Phoenix  Monkey King","Team A"
