"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116526799","15136","21 Apr 2023 04:02","1849","30:49","Team B","x5 Gaming","Nature's Prophet  Visage  Ember Spirit  Snapfire  Dawnbreaker","noMERCY","Leshrac  Doom  Spirit Breaker  Slark  Skywrath Mage","Team A"
"7116718813","15126","21 Apr 2023 07:00","2584","43:04","Team B","Made in Philippines","Enchantress  Doom  Troll Warlord  Ember Spirit  Phoenix","SPAWN Team","Death Prophet  Templar Assassin  Chen  Marci  Primal Beast","Team A"
"7117225221","15126","21 Apr 2023 01:00","2239","37:19","Team B","UD VESSUWAN","Mirana  Silencer  Lycan  Ember Spirit  Monkey King","Team Tough","Crystal Maiden  Bounty Hunter  Rubick  Dawnbreaker  Primal Beast","Team A"
"7118503468","15087","21 Apr 2023 11:57","1939","32:19","Team B","The Cut","Sand King  Spectre  Ancient Apparition  Skywrath Mage  Ember Spirit","Ravens","Tiny  Leshrac  Enchantress  Doom  Ursa","Team A"
"7118627962","15087","22 Apr 2023 02:31","1345","22:25","Team B","The Cut","Broodmother  Io  Troll Warlord  Ember Spirit  Hoodwink","Ravens","Templar Assassin  Nature's Prophet  Batrider  Silencer  Earth Spirit","Team B"
"7118719303","15087","22 Apr 2023 04:37","2377","39:37","Team B","ALPHA","Crystal Maiden  Leshrac  Nyx Assassin  Slark  Ember Spirit","SAND KING GÓMEZ","Phantom Lancer  Gyrocopter  Legion Commander  Techies  Void Spirit","Team A"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team A","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","Team A"
"7118900508","15141","22 Apr 2023 07:43","2822","47:02","Team A","孤独摇滚","Faceless Void  Clockwerk  Ember Spirit  Oracle  Muerta","iG.Vitality","Shadow Fiend  Jakiro  Chaos Knight  Monkey King  Pangolier","Team B"
"7119033460","15141","22 Apr 2023 09:20","1797","29:57","Team A","Holy Grail","Templar Assassin  Keeper of the Light  Timbersaw  Abaddon  Ember Spirit","Piggy Killer","Bane  Mirana  Luna  Dragon Knight  Outworld Devourer","Team B"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team A","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","Team B"
"7119269951","15138","22 Apr 2023 12:06","2513","41:53","Team B","cybercats","Sand King  Io  Techies  Ember Spirit  Muerta","Nemiga Gaming","Razor  Dragon Knight  Jakiro  Rubick  Underlord","Team B"
"7119375495","15141","22 Apr 2023 12:59","2489","41:29","Team A","Big brain","Mirana  Doom  Ember Spirit  Monkey King  Muerta","Team Bright","Drow Ranger  Clockwerk  Chen  Void Spirit  Primal Beast","Team A"
