"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116526799","15136","21 Apr 2023 04:02","1849","30:49","Team A","noMERCY","Leshrac  Doom  Spirit Breaker  Slark  Skywrath Mage","x5 Gaming","Nature's Prophet  Visage  Ember Spirit  Snapfire  Dawnbreaker","Team B"
"7116718813","15126","21 Apr 2023 07:00","2584","43:04","Team A","SPAWN Team","Death Prophet  Templar Assassin  Chen  Marci  Primal Beast","Made in Philippines","Enchantress  Doom  Troll Warlord  Ember Spirit  Phoenix","Team B"
"7117225221","15126","21 Apr 2023 01:00","2239","37:19","Team A","Team Tough","Crystal Maiden  Bounty Hunter  Rubick  Dawnbreaker  Primal Beast","UD VESSUWAN","Mirana  Silencer  Lycan  Ember Spirit  Monkey King","Team B"
"7118503468","15087","21 Apr 2023 11:57","1939","32:19","Team A","Ravens","Tiny  Leshrac  Enchantress  Doom  Ursa","The Cut","Sand King  Spectre  Ancient Apparition  Skywrath Mage  Ember Spirit","Team B"
"7118627962","15087","22 Apr 2023 02:31","1345","22:25","Team A","Ravens","Templar Assassin  Nature's Prophet  Batrider  Silencer  Earth Spirit","The Cut","Broodmother  Io  Troll Warlord  Ember Spirit  Hoodwink","Team A"
"7118719303","15087","22 Apr 2023 04:37","2377","39:37","Team A","SAND KING GÓMEZ","Phantom Lancer  Gyrocopter  Legion Commander  Techies  Void Spirit","ALPHA","Crystal Maiden  Leshrac  Nyx Assassin  Slark  Ember Spirit","Team B"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team B","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","Team B"
"7118900508","15141","22 Apr 2023 07:43","2822","47:02","Team B","iG.Vitality","Shadow Fiend  Jakiro  Chaos Knight  Monkey King  Pangolier","孤独摇滚","Faceless Void  Clockwerk  Ember Spirit  Oracle  Muerta","Team A"
"7119033460","15141","22 Apr 2023 09:20","1797","29:57","Team B","Piggy Killer","Bane  Mirana  Luna  Dragon Knight  Outworld Devourer","Holy Grail","Templar Assassin  Keeper of the Light  Timbersaw  Abaddon  Ember Spirit","Team A"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team B","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Team A"
"7119269951","15138","22 Apr 2023 12:06","2513","41:53","Team A","Nemiga Gaming","Razor  Dragon Knight  Jakiro  Rubick  Underlord","cybercats","Sand King  Io  Techies  Ember Spirit  Muerta","Team A"
"7119375495","15141","22 Apr 2023 12:59","2489","41:29","Team B","Team Bright","Drow Ranger  Clockwerk  Chen  Void Spirit  Primal Beast","Big brain","Mirana  Doom  Ember Spirit  Monkey King  Muerta","Team B"
