"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116718813","15126","21 Apr 2023 07:00","2584","43:04","Team B","Made in Philippines","Enchantress  Doom  Troll Warlord  Ember Spirit  Phoenix","SPAWN Team","Death Prophet  Templar Assassin  Chen  Marci  Primal Beast","Team A"
"7116943970","15126","21 Apr 2023 10:00","1223","20:23","Team A","BOOM Esports","Earthshaker  Beastmaster  Templar Assassin  Enchantress  Bounty Hunter","Vision","Disruptor  Visage  Terrorblade  Marci  Primal Beast","Team A"
"7117336146","15126","21 Apr 2023 02:04","2462","41:02","Team A","Team Tough","Death Prophet  Templar Assassin  Enchantress  Earth Spirit  Primal Beast","UD VESSUWAN","Crystal Maiden  Storm Spirit  Lifestealer  Bounty Hunter  Marci","Team B"
"7117906782","15088","21 Apr 2023 06:08","2499","41:39","Team A","IVY","Morphling  Windranger  Queen of Pain  Enchantress  Doom","ITB.Shuffle","Mirana  Clockwerk  Ancient Apparition  Terrorblade  Primal Beast","Team B"
"7118080222","15088","21 Apr 2023 07:26","3670","1:01:10","Team B","IVY","Phantom Lancer  Sniper  Enchantress  Snapfire  Dawnbreaker","ITB.Shuffle","Mirana  Leshrac  Doom  Slark  Legion Commander","Team B"
"7118503468","15087","21 Apr 2023 11:57","1939","32:19","Team A","Ravens","Tiny  Leshrac  Enchantress  Doom  Ursa","The Cut","Sand King  Spectre  Ancient Apparition  Skywrath Mage  Ember Spirit","Team B"
"7118527355","15088","22 Apr 2023 12:17","3407","56:47","Team A","Old G","Faceless Void  Dragon Knight  Enchantress  Monkey King  Snapfire","Luna Galaxy","Mirana  Death Prophet  Clockwerk  Doom  Terrorblade","Team B"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team B","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","Team A"
"7119100049","15141","22 Apr 2023 10:13","2048","34:08","Team A","Piggy Killer","Venomancer  Enchantress  Doom  Terrorblade  Dark Willow","Holy Grail","Bane  Sand King  Wraith King  Death Prophet  Earth Spirit","Team A"
"7119155871","15128","22 Apr 2023 10:42","2915","48:35","Team A","Hashtag.Reaper","Lion  Queen of Pain  Enchantress  Slark  Legion Commander","UD VESSUWAN","Morphling  Bounty Hunter  Doom  Disruptor  Pangolier","Team B"
"7119197773","14691","22 Apr 2023 11:09","2506","41:46","Team A","Ionut Cercel","Venomancer  Pugna  Clockwerk  Enchantress  Ursa","HAVU","Crystal Maiden  Dragon Knight  Naga Siren  Timbersaw  Monkey King","Team A"
"7120085930","15196","22 Apr 2023 07:06","2101","35:01","Team A","Gaimin Gladiators","Puck  Pudge  Windranger  Enchantress  Doom","Team Liquid","Phantom Lancer  Chen  Nyx Assassin  Skywrath Mage  Monkey King","Team B"
"7120196116","15196","22 Apr 2023 08:12","4600","1:16:40","Team B","Gaimin Gladiators","Templar Assassin  Enchantress  Doom  Disruptor  Terrorblade","Team Liquid","Necrophos  Chen  Dark Willow  Void Spirit  Muerta","Team B"
"7120803325","15128","23 Apr 2023 05:51","1343","22:23","Team A","Dino Esports","Pudge  Luna  Enchantress  Arc Warden  Dawnbreaker","MIRACLE ESPORT","Earthshaker  Zeus  Spectre  Disruptor  Muerta","Team A"
"7120965232","15126","23 Apr 2023 08:46","2125","35:25","Team A","IHC","Death Prophet  Enchantress  Tusk  Legion Commander  Muerta","Made in Philippines","Batrider  Undying  Rubick  Troll Warlord  Dawnbreaker","Team B"
"7121126014","15128","23 Apr 2023 10:44","2164","36:04","Team A","UD VESSUWAN","Anti-Mage  Mirana  Enchantress  Lycan  Ember Spirit","We Own","Morphling  Clockwerk  Slark  Snapfire  Primal Beast","Team B"
"7121224967","15128","23 Apr 2023 11:53","1921","32:01","Team B","UD VESSUWAN","Viper  Enchantress  Lone Druid  Tusk  Pangolier","We Own","Storm Spirit  Templar Assassin  Chen  Doom  Earth Spirit","Team A"
"7121226705","15141","23 Apr 2023 12:00","2641","44:01","Team A","Big brain","Templar Assassin  Enchantress  Doom  Tusk  Void Spirit","Piggy Killer","Mirana  Death Prophet  Ogre Magi  Slark  Legion Commander","Team A"
"7121313738","15196","23 Apr 2023 12:55","1921","32:01","Team A","Gaimin Gladiators","Dragon Knight  Enchantress  Ursa  Rubick  Centaur Warrunner","Shopify Rebellion","Morphling  Riki  Death Prophet  Chen  Underlord","Team A"
"7121327411","14691","23 Apr 2023 01:06","2814","46:54","Team A","Unity Esports","Death Prophet  Clockwerk  Enchantress  Alchemist  Ember Spirit","Luna Galaxy","Mirana  Necrophos  Weaver  Outworld Devourer  Monkey King","Team B"
"7122001867","15088","23 Apr 2023 06:46","2285","38:05","Team A","Luna Galaxy","Kunkka  Enchantress  Magnus  Terrorblade  Oracle","Ancient Tribe","Mirana  Viper  Alchemist  Shadow Demon  Primal Beast","Team B"
"7122142333","14691","23 Apr 2023 08:01","1820","30:20","Team A","IVY","Mirana  Riki  Enchantress  Alchemist  Underlord","Ionut Cercel","Phantom Lancer  Shadow Shaman  Doom  Undying  Void Spirit","Team B"
