"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team B","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","Team B"
"7122521967","15267","24 Apr 2023 02:10","2014","33:34","Team A","Thunder Awaken","Leshrac  Chen  Doom  Alchemist  Earth Spirit","Mad Kings Esports","Earthshaker  Invoker  Disruptor  Medusa  Centaur Warrunner","Team A"
"7122638320","15141","24 Apr 2023 05:09","1312","21:52","Team A","Team Disillusion","Crystal Maiden  Pudge  Sven  Enchantress  Monkey King","Holy Grail","Windranger  Chen  Doom  Medusa  Earth Spirit","Team A"
"7126062384","15088","26 Apr 2023 12:03","2360","39:20","Team A","Luna Galaxy","Mirana  Sven  Ancient Apparition  Underlord  Void Spirit","Ancient Tribe","Crystal Maiden  Chen  Alchemist  Visage  Medusa","Team A"
"7126120830","15138","26 Apr 2023 01:13","2232","37:12","Team A","NAVI Junior","Bloodseeker  Mirana  Beastmaster  Keeper of the Light  Oracle","Moneymakers","Vengeful Spirit  Doom  Disruptor  Slark  Medusa","Team B"
"7126125913","15251","26 Apr 2023 01:10","2654","44:14","Team A","9Pandas","Bloodseeker  Tiny  Chen  Alchemist  Skywrath Mage","TSM","Enchantress  Ancient Apparition  Medusa  Pangolier  Primal Beast","Team A"
"7126366142","14691","26 Apr 2023 04:01","2135","35:35","Team B","Ancient Tribe","Bounty Hunter  Alchemist  Nyx Assassin  Snapfire  Primal Beast","Please dont gank my carry","Slardar  Doom  Rubick  Medusa  Pangolier","Team B"
"7126493702","14691","26 Apr 2023 05:05","2864","47:44","Team A","Please dont gank my carry","Windranger  Doom  Rubick  Terrorblade  Mars","Ancient Tribe","Mirana  Alchemist  Keeper of the Light  Medusa  Primal Beast","Team A"
"7126704159","15136","26 Apr 2023 07:33","1311","21:51","Team A","noMERCY","Phantom Lancer  Batrider  Doom  Disruptor  Skywrath Mage","NoPing Esports","Riki  Death Prophet  Pugna  Bounty Hunter  Medusa","Team B"
"7127549430","15251","27 Apr 2023 01:10","1726","28:46","Team B","Team Liquid","Storm Spirit  Sven  Pugna  Doom  Oracle","9Pandas","Beastmaster  Enchantress  Disruptor  Medusa  Ember Spirit","Team A"
"7128912985","15251","28 Apr 2023 12:00","2633","43:53","Team A","9Pandas","Crystal Maiden  Storm Spirit  Faceless Void  Doom  Skywrath Mage","PSG.LGD","Clockwerk  Keeper of the Light  Medusa  Magnus  Void Spirit","Team A"
"7129092037","15251","28 Apr 2023 02:30","1615","26:55","Team B","Team Liquid","Storm Spirit  Sven  Pugna  Rubick  Nyx Assassin","Gaimin Gladiators","Beastmaster  Enchantress  Keeper of the Light  Medusa  Ember Spirit","Team B"
"7129645840","15251","28 Apr 2023 08:04","2950","49:10","Team A","OG","Earthshaker  Weaver  Doom  Timbersaw  Techies","Tundra Esports","Beastmaster  Dragon Knight  Enchantress  Keeper of the Light  Medusa","Team B"
"7130539747","15251","29 Apr 2023 12:00","2517","41:57","Team B","Team Liquid","Morphling  Enchantress  Rubick  Underlord  Monkey King","PSG.LGD","Beastmaster  Alchemist  Medusa  Elder Titan  Hoodwink","Team B"
"7130621723","15251","29 Apr 2023 01:03","1624","27:04","Team B","TSM","Anti-Mage  Crystal Maiden  Shadow Fiend  Beastmaster  Phoenix","Team Aster","Mirana  Keeper of the Light  Medusa  Ember Spirit  Underlord","Team B"
"7130769522","15251","29 Apr 2023 02:48","3764","1:02:44","Team A","Execration","Sven  Kunkka  Enchantress  Rubick  Earth Spirit","Team Liquid","Crystal Maiden  Medusa  Skywrath Mage  Ember Spirit  Underlord","Team B"
"7130844154","15251","29 Apr 2023 03:42","2176","36:16","Team B","TSM","Bloodseeker  Storm Spirit  Alchemist  Rubick  Keeper of the Light","PSG.LGD","Beastmaster  Medusa  Elder Titan  Pangolier  Hoodwink","Team B"
"7131067725","15251","29 Apr 2023 05:39","1286","21:26","Team B","Shopify Rebellion","Tiny  Doom  Undying  Keeper of the Light  Arc Warden","Talon","Pugna  Medusa  Techies  Underlord  Void Spirit","Team B"
"7131069049","15251","29 Apr 2023 05:39","1570","26:10","Team B","Xtreme Gaming","Storm Spirit  Doom  Ursa  Rubick  Io","Tundra Esports","Crystal Maiden  Dark Seer  Bounty Hunter  Alchemist  Medusa","Team B"
"7131292702","15251","29 Apr 2023 08:04","2279","37:59","Team B","beastcoast","Bloodseeker  Crystal Maiden  Slark  Skywrath Mage  Underlord","Tundra Esports","Pugna  Batrider  Ursa  Keeper of the Light  Medusa","Team B"
"7131404269","15251","29 Apr 2023 09:22","2362","39:22","Team B","Shopify Rebellion","Anti-Mage  Beastmaster  Silencer  Rubick  Void Spirit","OG","Storm Spirit  Slardar  Undying  Io  Medusa","Team B"
"7132282315","15251","30 Apr 2023 12:59","1551","25:51","Team A","TSM","Anti-Mage  Earthshaker  Broodmother  Chen  Rubick","Gaimin Gladiators","Bounty Hunter  Meepo  Keeper of the Light  Medusa  Ember Spirit","Team B"
"7132302119","15251","30 Apr 2023 01:08","2134","35:34","Team A","Evil Geniuses","Crystal Maiden  Queen of Pain  Brewmaster  Rubick  Terrorblade","Team Liquid","Storm Spirit  Beastmaster  Clockwerk  Silencer  Medusa","Team B"
"7132447081","15251","30 Apr 2023 02:45","1711","28:31","Team B","Team SMG","Luna  Rubick  Slark  Ember Spirit  Grimstroke","Tundra Esports","Venomancer  Bounty Hunter  Naga Siren  Medusa  Pangolier","Team B"
"7132545885","15251","30 Apr 2023 03:41","3717","1:01:57","Team A","Xtreme Gaming","Anti-Mage  Lich  Doom  Dark Willow  Pangolier","Shopify Rebellion","Crystal Maiden  Bounty Hunter  Alchemist  Medusa  Hoodwink","Team A"
"7132920181","15251","30 Apr 2023 07:15","2083","34:43","Team A","BetBoom Team","Pudge  Storm Spirit  Ursa  Undying  Snapfire","Team Aster","Crystal Maiden  Windranger  Keeper of the Light  Medusa  Underlord","Team B"
"7133841296","15251","01 May 2023 11:00","1848","30:48","Team B","Team Spirit","Storm Spirit  Sven  Dark Seer  Alchemist  Keeper of the Light","Gaimin Gladiators","Crystal Maiden  Medusa  Skywrath Mage  Underlord  Pangolier","Team B"
