"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7117225221","15126","21 Apr 2023 01:00","2239","37:19","Team B","UD VESSUWAN","Mirana  Silencer  Lycan  Ember Spirit  Monkey King","Team Tough","Crystal Maiden  Bounty Hunter  Rubick  Dawnbreaker  Primal Beast","Team A"
"7117458330","15088","21 Apr 2023 02:59","3444","57:24","Team A","Ancient Tribe","Mirana  Phantom Lancer  Puck  Doom  Disruptor","Alliance","Bane  Death Prophet  Luna  Rubick  Pangolier","Team A"
"7117906782","15088","21 Apr 2023 06:08","2499","41:39","Team B","ITB.Shuffle","Mirana  Clockwerk  Ancient Apparition  Terrorblade  Primal Beast","IVY","Morphling  Windranger  Queen of Pain  Enchantress  Doom","Team A"
"7118080222","15088","21 Apr 2023 07:26","3670","1:01:10","Team A","ITB.Shuffle","Mirana  Leshrac  Doom  Slark  Legion Commander","IVY","Phantom Lancer  Sniper  Enchantress  Snapfire  Dawnbreaker","Team A"
"7118295482","15088","21 Apr 2023 09:18","3411","56:51","Team A","Old G","Mirana  Leshrac  Bounty Hunter  Naga Siren  Timbersaw","Luna Galaxy","Clockwerk  Outworld Devourer  Rubick  Legion Commander  Terrorblade","Team A"
"7118527355","15088","22 Apr 2023 12:17","3407","56:47","Team B","Luna Galaxy","Mirana  Death Prophet  Clockwerk  Doom  Terrorblade","Old G","Faceless Void  Dragon Knight  Enchantress  Monkey King  Snapfire","Team A"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team A","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","Team A"
"7119033460","15141","22 Apr 2023 09:20","1797","29:57","Team B","Piggy Killer","Bane  Mirana  Luna  Dragon Knight  Outworld Devourer","Holy Grail","Templar Assassin  Keeper of the Light  Timbersaw  Abaddon  Ember Spirit","Team A"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team A","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","Team B"
"7119259890","15141","22 Apr 2023 12:01","1896","31:36","Team B","Team Bright","Mirana  Beastmaster  Clockwerk  Slark  Legion Commander","Big brain","Puck  Templar Assassin  Bounty Hunter  Monkey King  Snapfire","Team B"
"7119375495","15141","22 Apr 2023 12:59","2489","41:29","Team A","Big brain","Mirana  Doom  Ember Spirit  Monkey King  Muerta","Team Bright","Drow Ranger  Clockwerk  Chen  Void Spirit  Primal Beast","Team A"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team A","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","Team A"
"7119695715","15196","22 Apr 2023 03:52","3429","57:09","Team B","Shopify Rebellion","Mirana  Puck  Alchemist  Legion Commander  Earth Spirit","Tundra Esports","Doom  Disruptor  Naga Siren  Techies  Monkey King","Team B"
