"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7117225221","15126","21 Apr 2023 01:00","2239","37:19","Team A","Team Tough","Crystal Maiden  Bounty Hunter  Rubick  Dawnbreaker  Primal Beast","UD VESSUWAN","Mirana  Silencer  Lycan  Ember Spirit  Monkey King","Team B"
"7117458330","15088","21 Apr 2023 02:59","3444","57:24","Team B","Alliance","Bane  Death Prophet  Luna  Rubick  Pangolier","Ancient Tribe","Mirana  Phantom Lancer  Puck  Doom  Disruptor","Team B"
"7117906782","15088","21 Apr 2023 06:08","2499","41:39","Team A","IVY","Morphling  Windranger  Queen of Pain  Enchantress  Doom","ITB.Shuffle","Mirana  Clockwerk  Ancient Apparition  Terrorblade  Primal Beast","Team B"
"7118080222","15088","21 Apr 2023 07:26","3670","1:01:10","Team B","IVY","Phantom Lancer  Sniper  Enchantress  Snapfire  Dawnbreaker","ITB.Shuffle","Mirana  Leshrac  Doom  Slark  Legion Commander","Team B"
"7118295482","15088","21 Apr 2023 09:18","3411","56:51","Team B","Luna Galaxy","Clockwerk  Outworld Devourer  Rubick  Legion Commander  Terrorblade","Old G","Mirana  Leshrac  Bounty Hunter  Naga Siren  Timbersaw","Team B"
"7118527355","15088","22 Apr 2023 12:17","3407","56:47","Team A","Old G","Faceless Void  Dragon Knight  Enchantress  Monkey King  Snapfire","Luna Galaxy","Mirana  Death Prophet  Clockwerk  Doom  Terrorblade","Team B"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team B","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","Team B"
"7119033460","15141","22 Apr 2023 09:20","1797","29:57","Team A","Holy Grail","Templar Assassin  Keeper of the Light  Timbersaw  Abaddon  Ember Spirit","Piggy Killer","Bane  Mirana  Luna  Dragon Knight  Outworld Devourer","Team B"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team B","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Team A"
"7119259890","15141","22 Apr 2023 12:01","1896","31:36","Team A","Big brain","Puck  Templar Assassin  Bounty Hunter  Monkey King  Snapfire","Team Bright","Mirana  Beastmaster  Clockwerk  Slark  Legion Commander","Team A"
"7119375495","15141","22 Apr 2023 12:59","2489","41:29","Team B","Team Bright","Drow Ranger  Clockwerk  Chen  Void Spirit  Primal Beast","Big brain","Mirana  Doom  Ember Spirit  Monkey King  Muerta","Team B"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team B","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","Team B"
"7119695715","15196","22 Apr 2023 03:52","3429","57:09","Team A","Tundra Esports","Doom  Disruptor  Naga Siren  Techies  Monkey King","Shopify Rebellion","Mirana  Puck  Alchemist  Legion Commander  Earth Spirit","Team A"
"7119765928","15138","22 Apr 2023 04:18","1991","33:11","Team B","UALEIKUMNIHAO","Puck  Jakiro  Doom  Rubick  Troll Warlord","NAVI Junior","Mirana  Beastmaster  Templar Assassin  Bounty Hunter  Slark","Team A"
"7119885413","15196","22 Apr 2023 05:22","3604","1:00:04","Team A","Tundra Esports","Bounty Hunter  Abaddon  Legion Commander  Techies  Terrorblade","Shopify Rebellion","Mirana  Enigma  Batrider  Spirit Breaker  Muerta","Team B"
"7120410176","15136","22 Apr 2023 10:20","2593","43:13","Team A","NoLimitsGaming","Dragon Knight  Batrider  Disruptor  Tusk  Marci","x5 Gaming","Mirana  Puck  Weaver  Alchemist  Dawnbreaker","Team B"
