"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7117225221","15126","21 Apr 2023 01:00","2239","37:19","Team B","UD VESSUWAN","Mirana  Silencer  Lycan  Ember Spirit  Monkey King","Team Tough","Crystal Maiden  Bounty Hunter  Rubick  Dawnbreaker  Primal Beast","Team A"
"7118527355","15088","22 Apr 2023 12:17","3407","56:47","Team A","Old G","Faceless Void  Dragon Knight  Enchantress  Monkey King  Snapfire","Luna Galaxy","Mirana  Death Prophet  Clockwerk  Doom  Terrorblade","Team B"
"7118787769","15141","22 Apr 2023 05:56","1597","26:37","Team B","iG.Vitality","Lion  Alchemist  Abaddon  Monkey King  Pangolier","孤独摇滚","Night Stalker  Batrider  Rubick  Tusk  Muerta","Team A"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team B","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","Team B"
"7118900508","15141","22 Apr 2023 07:43","2822","47:02","Team B","iG.Vitality","Shadow Fiend  Jakiro  Chaos Knight  Monkey King  Pangolier","孤独摇滚","Faceless Void  Clockwerk  Ember Spirit  Oracle  Muerta","Team A"
"7119036519","15128","22 Apr 2023 09:22","2653","44:13","Team B","Outsiders From CN","Queen of Pain  Undying  Rubick  Monkey King  Dawnbreaker","UD VESSUWAN","Lion  Nature's Prophet  Bounty Hunter  Doom  Pangolier","Team A"
"7119197773","14691","22 Apr 2023 11:09","2506","41:46","Team B","HAVU","Crystal Maiden  Dragon Knight  Naga Siren  Timbersaw  Monkey King","Ionut Cercel","Venomancer  Pugna  Clockwerk  Enchantress  Ursa","Team B"
"7119259890","15141","22 Apr 2023 12:01","1896","31:36","Team A","Big brain","Puck  Templar Assassin  Bounty Hunter  Monkey King  Snapfire","Team Bright","Mirana  Beastmaster  Clockwerk  Slark  Legion Commander","Team A"
"7119375495","15141","22 Apr 2023 12:59","2489","41:29","Team A","Big brain","Mirana  Doom  Ember Spirit  Monkey King  Muerta","Team Bright","Drow Ranger  Clockwerk  Chen  Void Spirit  Primal Beast","Team A"
"7119695715","15196","22 Apr 2023 03:52","3429","57:09","Team A","Tundra Esports","Doom  Disruptor  Naga Siren  Techies  Monkey King","Shopify Rebellion","Mirana  Puck  Alchemist  Legion Commander  Earth Spirit","Team A"
"7120085930","15196","22 Apr 2023 07:06","2101","35:01","Team B","Team Liquid","Phantom Lancer  Chen  Nyx Assassin  Skywrath Mage  Monkey King","Gaimin Gladiators","Puck  Pudge  Windranger  Enchantress  Doom","Team A"
"7120502848","15136","22 Apr 2023 11:30","1802","30:02","Team B","NoLimitsGaming","Crystal Maiden  Batrider  Tusk  Underlord  Monkey King","x5 Gaming","Phantom Lancer  Storm Spirit  Skywrath Mage  Legion Commander  Dawnbreaker","Team B"
"7120797930","15141","23 Apr 2023 05:58","2038","33:58","Team A","Holy Grail","Mirana  Storm Spirit  Chen  Monkey King  Primal Beast","Supernova","Sven  Tidehunter  Phoenix  Pangolier  Muerta","Team B"
"7120859470","15141","23 Apr 2023 06:57","1872","31:12","Team A","Supernova","Dragon Knight  Invoker  Disruptor  Phoenix  Monkey King","Holy Grail","Queen of Pain  Dazzle  Bounty Hunter  Doom  Ursa","Team B"
"7121001446","15141","23 Apr 2023 09:14","2494","41:34","Team A","Team Bright","Anti-Mage  Crystal Maiden  Sand King  Leshrac  Monkey King","Team Disillusion","Mirana  Riki  Invoker  Naga Siren  Skywrath Mage","Team A"
"7121327411","14691","23 Apr 2023 01:06","2814","46:54","Team B","Luna Galaxy","Mirana  Necrophos  Weaver  Outworld Devourer  Monkey King","Unity Esports","Death Prophet  Clockwerk  Enchantress  Alchemist  Ember Spirit","Team A"
"7121345114","15141","23 Apr 2023 01:08","2238","37:18","Team B","Big brain","Mirana  Templar Assassin  Centaur Warrunner  Underlord  Monkey King","Piggy Killer","Riki  Venomancer  Phantom Assassin  Chen  Rubick","Team A"
"7121445429","15126","23 Apr 2023 02:05","1919","31:59","Team A","SPAWN Team","Death Prophet  Clockwerk  Huskar  Monkey King  Hoodwink","Team Tough","Dragon Knight  Bounty Hunter  Ursa  Ember Spirit  Phoenix","Team A"
"7121524512","15088","23 Apr 2023 02:55","1617","26:57","Team A","Team Secret","Beastmaster  Centaur Warrunner  Skywrath Mage  Monkey King  Snapfire","IVY","Phantom Assassin  Leshrac  Jakiro  Doom  Rubick","Team A"
"7121689345","14691","23 Apr 2023 04:02","2462","41:02","Team A","Unity Esports","Puck  Sven  Doom  Monkey King  Hoodwink","Ionut Cercel","Mirana  Queen of Pain  Rubick  Naga Siren  Primal Beast","Team A"
"7122060059","14691","23 Apr 2023 07:13","1434","23:54","Team A","IVY","Mirana  Templar Assassin  Ancient Apparition  Alchemist  Monkey King","Ionut Cercel","Shadow Shaman  Riki  Io  Legion Commander  Muerta","Team B"
"7122123248","15088","23 Apr 2023 07:54","3553","59:13","Team B","Ancient Tribe","Mirana  Dazzle  Alchemist  Visage  Monkey King","Luna Galaxy","Puck  Sven  Doom  Rubick  Skywrath Mage","Team A"
"7122163122","15196","23 Apr 2023 08:29","1705","28:25","Team B","Gaimin Gladiators","Queen of Pain  Disruptor  Centaur Warrunner  Monkey King  Dark Willow","Team Liquid","Crystal Maiden  Storm Spirit  Sven  Rubick  Underlord","Team B"
"7122413888","15088","23 Apr 2023 11:38","4077","1:07:57","Team B","ITB.Shuffle","Death Prophet  Rubick  Ember Spirit  Terrorblade  Monkey King","Old G","Viper  Alchemist  Disruptor  Keeper of the Light  Legion Commander","Team B"
"7122430711","15087","23 Apr 2023 11:56","2088","34:48","Team B","TiltedBoys","Axe  Necrophos  Enchantress  Rubick  Monkey King","CDUB Esports","Anti-Mage  Templar Assassin  Chen  Alchemist  Techies","Team B"
"7122593344","15267","24 Apr 2023 04:11","1903","31:43","Team A","Thunder Awaken","Storm Spirit  Disruptor  Bristleback  Earth Spirit  Monkey King","Mad Kings Esports","Beastmaster  Jakiro  Alchemist  Rubick  Muerta","Team A"
"7122638320","15141","24 Apr 2023 05:09","1312","21:52","Team A","Team Disillusion","Crystal Maiden  Pudge  Sven  Enchantress  Monkey King","Holy Grail","Windranger  Chen  Doom  Medusa  Earth Spirit","Team A"
"7122717247","15141","24 Apr 2023 07:14","1707","28:27","Team A","Team Bright","Mirana  Lich  Riki  Leshrac  Monkey King","Supernova","Chen  Ursa  Rubick  Void Spirit  Snapfire","Team A"
"7122764667","15141","24 Apr 2023 08:14","2715","45:15","Team A","Big brain","Tidehunter  Bounty Hunter  Disruptor  Slark  Monkey King","Supernova","Mirana  Venomancer  Templar Assassin  Ember Spirit  Dark Willow","Team B"
"7122812986","15128","24 Apr 2023 09:06","1466","24:26","Team B","Dino Esports","Crystal Maiden  Beastmaster  Luna  Rubick  Monkey King","UD VESSUWAN","Leshrac  Bounty Hunter  Chen  Lone Druid  Ember Spirit","Team A"
"7122859797","15128","24 Apr 2023 10:02","2264","37:44","Team B","Manta Esports","Tiny  Beastmaster  Bounty Hunter  Rubick  Monkey King","UD VESSUWAN","Morphling  Puck  Chen  Timbersaw  Tusk","Team B"
"7123333836","15138","24 Apr 2023 03:55","1753","29:13","Team A","Team Sexy","Lich  Enigma  Death Prophet  Alchemist  Monkey King","No Sorry","Bloodseeker  Zeus  Beastmaster  Jakiro  Techies","Team A"
"7123556694","14691","24 Apr 2023 05:46","1317","21:57","Team B","KZ TEAM","Rubick  Nyx Assassin  Monkey King  Pangolier  Snapfire","IVY","Dark Seer  Bounty Hunter  Ancient Apparition  Alchemist  Void Spirit","Team B"
"7123844647","15087","24 Apr 2023 08:57","1682","28:02","Team B","Ravens","Sand King  Undying  Ember Spirit  Monkey King  Snapfire","TiltedBoys","Phantom Lancer  Dragon Knight  Chen  Centaur Warrunner  Skywrath Mage","Team A"
"7123937766","15267","24 Apr 2023 10:00","3663","1:01:03","Team A","Infamous Gaming","Mirana  Storm Spirit  Dark Seer  Nyx Assassin  Monkey King","Ravens","Shadow Fiend  Tiny  Clockwerk  Doom  Rubick","Team A"
"7124115083","15267","25 Apr 2023 01:39","2199","36:39","Team A","Mad Kings Esports","Crystal Maiden  Weaver  Tusk  Ember Spirit  Monkey King","Hokori","Bloodseeker  Mirana  Beastmaster  Batrider  Disruptor","Team A"
"7124647148","14691","25 Apr 2023 01:06","1514","25:14","Team A","KZ TEAM","Enchantress  Earth Spirit  Underlord  Monkey King  Void Spirit","Ancient Tribe","Crystal Maiden  Slark  Ember Spirit  Snapfire  Primal Beast","Team B"
"7124698067","14691","25 Apr 2023 02:15","1448","24:08","Team B","KZ TEAM","Pugna  Dark Seer  Chen  Nyx Assassin  Monkey King","Ancient Tribe","Crystal Maiden  Mirana  Tiny  Alchemist  Timbersaw","Team A"
"7124774067","14691","25 Apr 2023 03:05","3209","53:29","Team B","Ancient Tribe","Crystal Maiden  Death Prophet  Visage  Terrorblade  Monkey King","KZ TEAM","Mirana  Shadow Fiend  Viper  Rubick  Centaur Warrunner","Team A"
"7125209990","15136","25 Apr 2023 07:03","2989","49:49","Team A","Mad Kings Esports","Crystal Maiden  Dragon Knight  Monkey King  Void Spirit  Snapfire","Lava Esports","Sven  Beastmaster  Rubick  Disruptor  Pangolier","Team A"
"7125327787","15136","25 Apr 2023 08:19","1481","24:41","Team B","Mad Kings Esports","Crystal Maiden  Kunkka  Weaver  Earth Spirit  Monkey King","Lava Esports","Bloodseeker  Lich  Beastmaster  Rubick  Pangolier","Team B"
"7125355254","14691","25 Apr 2023 08:43","1881","31:21","Team B","KZ TEAM","Tinker  Doom  Skywrath Mage  Monkey King  Muerta","Ionut Cercel","Shadow Shaman  Beastmaster  Queen of Pain  Spectre  Io","Team A"
"7125742750","15128","26 Apr 2023 05:08","1060","17:40","Team A","Outsiders From CN","Juggernaut  Vengeful Spirit  Enchantress  Oracle  Monkey King","MIRACLE ESPORT","Clockwerk  Bounty Hunter  Arc Warden  Hoodwink  Void Spirit","Team A"
"7126027509","15126","26 Apr 2023 11:30","2013","33:33","Team B","IHC","Broodmother  Undying  Rubick  Ember Spirit  Monkey King","Myth Avenue Gaming","Crystal Maiden  Sven  Magnus  Skywrath Mage  Primal Beast","Team B"
"7126226626","15251","26 Apr 2023 02:30","1916","31:56","Team B","Team Liquid","Night Stalker  Batrider  Disruptor  Nyx Assassin  Monkey King","Team Aster","Storm Spirit  Beastmaster  Pugna  Clockwerk  Terrorblade","Team B"
"7126240927","15251","26 Apr 2023 02:44","1828","30:28","Team A","Evil Geniuses","Dark Seer  Enchantress  Nyx Assassin  Slark  Monkey King","Execration","Mirana  Shadow Fiend  Kunkka  Doom  Rubick","Team A"
"7126320840","15251","26 Apr 2023 03:32","1924","32:04","Team A","Team Liquid","Bloodseeker  Crystal Maiden  Io  Monkey King  Void Spirit","Team Aster","Leshrac  Alchemist  Disruptor  Troll Warlord  Techies","Team A"
"7126332974","15251","26 Apr 2023 03:45","2234","37:14","Team A","Evil Geniuses","Faceless Void  Disruptor  Legion Commander  Monkey King  Snapfire","Execration","Clockwerk  Batrider  Rubick  Underlord  Muerta","Team A"
"7126414257","15138","26 Apr 2023 04:22","1526","25:26","Team A","No Sorry","Phantom Lancer  Enchantress  Underlord  Winter Wyvern  Monkey King","cybercats","Puck  Beastmaster  Lifestealer  Chen  Skywrath Mage","Team B"
