"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116809609","15126","21 Apr 2023 08:12","1820","30:20","Team B","Made in Philippines","Morphling  Clockwerk  Doom  Rubick  Earth Spirit","SPAWN Team","Crystal Maiden  Templar Assassin  Brewmaster  Tusk  Primal Beast","Team A"
"7117681788","15088","21 Apr 2023 04:27","3604","1:00:04","Team A","Alliance","Morphling  Zeus  Jakiro  Rubick  Centaur Warrunner","Ancient Tribe","Viper  Chen  Slark  Snapfire  Primal Beast","Team B"
"7117906782","15088","21 Apr 2023 06:08","2499","41:39","Team A","IVY","Morphling  Windranger  Queen of Pain  Enchantress  Doom","ITB.Shuffle","Mirana  Clockwerk  Ancient Apparition  Terrorblade  Primal Beast","Team B"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team B","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Team A"
"7119155871","15128","22 Apr 2023 10:42","2915","48:35","Team B","UD VESSUWAN","Morphling  Bounty Hunter  Doom  Disruptor  Pangolier","Hashtag.Reaper","Lion  Queen of Pain  Enchantress  Slark  Legion Commander","Team A"
"7120859639","15126","23 Apr 2023 07:00","1430","23:50","Team A","IHC","Morphling  Nature's Prophet  Batrider  Tusk  Skywrath Mage","Made in Philippines","Luna  Bounty Hunter  Doom  Ember Spirit  Oracle","Team B"
"7121126014","15128","23 Apr 2023 10:44","2164","36:04","Team B","We Own","Morphling  Clockwerk  Slark  Snapfire  Primal Beast","UD VESSUWAN","Anti-Mage  Mirana  Enchantress  Lycan  Ember Spirit","Team A"
"7121313738","15196","23 Apr 2023 12:55","1921","32:01","Team B","Shopify Rebellion","Morphling  Riki  Death Prophet  Chen  Underlord","Gaimin Gladiators","Dragon Knight  Enchantress  Ursa  Rubick  Centaur Warrunner","Team B"
"7122859797","15128","24 Apr 2023 10:02","2264","37:44","Team A","UD VESSUWAN","Morphling  Puck  Chen  Timbersaw  Tusk","Manta Esports","Tiny  Beastmaster  Bounty Hunter  Rubick  Monkey King","Team A"
"7125130908","14691","25 Apr 2023 06:11","2294","38:14","Team A","Luna Galaxy","Mirana  Morphling  Bounty Hunter  Doom  Nyx Assassin","Please dont gank my carry","Alchemist  Timbersaw  Techies  Phoenix  Pangolier","Team B"
"7126512031","15251","26 Apr 2023 05:21","2085","34:45","Team A","Team SMG","Morphling  Leshrac  Undying  Rubick  Muerta","OG","Beastmaster  Venomancer  Slark  Phoenix  Void Spirit","Team B"
"7126848955","15251","26 Apr 2023 09:19","2148","35:48","Team A","INVICTUS GAMING","Morphling  Shadow Fiend  Nyx Assassin  Io  Primal Beast","Tundra Esports","Storm Spirit  Bounty Hunter  Keeper of the Light  Underlord  Terrorblade","Team B"
"7127545248","14691","27 Apr 2023 01:04","1989","33:09","Team B","KZ TEAM","Morphling  Storm Spirit  Beastmaster  Clockwerk  Nyx Assassin","Luna Galaxy","Lich  Bounty Hunter  Slark  Timbersaw  Void Spirit","Team B"
"7128195080","15251","27 Apr 2023 08:15","2485","41:25","Team A","Team SMG","Crystal Maiden  Mirana  Morphling  Kunkka  Centaur Warrunner","Xtreme Gaming","Storm Spirit  Pugna  Alchemist  Brewmaster  Phoenix","Team B"
"7129384529","15251","28 Apr 2023 05:27","1656","27:36","Team A","INVICTUS GAMING","Morphling  Tiny  Chen  Timbersaw  Ember Spirit","OG","Crystal Maiden  Necrophos  Ursa  Alchemist  Keeper of the Light","Team B"
"7129627261","15251","28 Apr 2023 07:57","1546","25:46","Team A","Team SMG","Morphling  Tiny  Doom  Rubick  Skywrath Mage","Talon","Dark Seer  Alchemist  Disruptor  Naga Siren  Techies","Team B"
"7130539747","15251","29 Apr 2023 12:00","2517","41:57","Team B","Team Liquid","Morphling  Enchantress  Rubick  Underlord  Monkey King","PSG.LGD","Beastmaster  Alchemist  Medusa  Elder Titan  Hoodwink","Team B"
"7130614400","15251","29 Apr 2023 01:06","2398","39:58","Team B","Evil Geniuses","Morphling  Kunkka  Clockwerk  Enchantress  Doom","9Pandas","Crystal Maiden  Riki  Templar Assassin  Rubick  Underlord","Team B"
"7142123827","15251","06 May 2023 08:35","1987","33:07","Team A","Evil Geniuses","Crystal Maiden  Morphling  Storm Spirit  Pugna  Underlord","Team Liquid","Mirana  Beastmaster  Luna  Ember Spirit  Oracle","Team B"
"7144158066","15268","07 May 2023 11:19","1131","18:51","Team A","Mad Kings Esports","Morphling  Dragon Knight  Disruptor  Keeper of the Light  Ember Spirit","Vivo Keyd Stars","Storm Spirit  Pugna  Techies  Underlord  Monkey King","Team B"
