"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7117458330","15088","21 Apr 2023 02:59","3444","57:24","Team B","Alliance","Bane  Death Prophet  Luna  Rubick  Pangolier","Ancient Tribe","Mirana  Phantom Lancer  Puck  Doom  Disruptor","Team B"
"7118787769","15141","22 Apr 2023 05:56","1597","26:37","Team B","iG.Vitality","Lion  Alchemist  Abaddon  Monkey King  Pangolier","孤独摇滚","Night Stalker  Batrider  Rubick  Tusk  Muerta","Team A"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team B","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","Team B"
"7118900508","15141","22 Apr 2023 07:43","2822","47:02","Team B","iG.Vitality","Shadow Fiend  Jakiro  Chaos Knight  Monkey King  Pangolier","孤独摇滚","Faceless Void  Clockwerk  Ember Spirit  Oracle  Muerta","Team A"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team B","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","Team A"
"7119036519","15128","22 Apr 2023 09:22","2653","44:13","Team A","UD VESSUWAN","Lion  Nature's Prophet  Bounty Hunter  Doom  Pangolier","Outsiders From CN","Queen of Pain  Undying  Rubick  Monkey King  Dawnbreaker","Team B"
"7119155871","15128","22 Apr 2023 10:42","2915","48:35","Team B","UD VESSUWAN","Morphling  Bounty Hunter  Doom  Disruptor  Pangolier","Hashtag.Reaper","Lion  Queen of Pain  Enchantress  Slark  Legion Commander","Team A"
"7119260537","15128","22 Apr 2023 11:48","2216","36:56","Team A","UD VESSUWAN","Bounty Hunter  Chen  Lone Druid  Tusk  Pangolier","Hashtag.Reaper","Phantom Lancer  Storm Spirit  Vengeful Spirit  Skywrath Mage  Legion Commander","Team A"
"7119915183","15138","22 Apr 2023 05:24","2876","47:56","Team A","NAVI Junior","Lifestealer  Ancient Apparition  Rubick  Magnus  Pangolier","UALEIKUMNIHAO","Enigma  Death Prophet  Jakiro  Spectre  Treant Protector","Team B"
"7120797930","15141","23 Apr 2023 05:58","2038","33:58","Team B","Supernova","Sven  Tidehunter  Phoenix  Pangolier  Muerta","Holy Grail","Mirana  Storm Spirit  Chen  Monkey King  Primal Beast","Team A"
"7120906564","15126","23 Apr 2023 07:51","1821","30:21","Team A","Made in Philippines","Luna  Dragon Knight  Brewmaster  Phoenix  Pangolier","IHC","Bloodseeker  Death Prophet  Chen  Legion Commander  Hoodwink","Team B"
"7121224967","15128","23 Apr 2023 11:53","1921","32:01","Team B","UD VESSUWAN","Viper  Enchantress  Lone Druid  Tusk  Pangolier","We Own","Storm Spirit  Templar Assassin  Chen  Doom  Earth Spirit","Team A"
"7121331915","15126","23 Apr 2023 01:02","2329","38:49","Team B","SPAWN Team","Kunkka  Rubick  Naga Siren  Pangolier  Muerta","Team Tough","Mirana  Lion  Riki  Queen of Pain  Timbersaw","Team A"
"7122028845","15196","23 Apr 2023 07:01","3420","57:00","Team B","Team Liquid","Riki  Chen  Slark  Phoenix  Pangolier","Gaimin Gladiators","Puck  Rubick  Disruptor  Underlord  Muerta","Team B"
"7122920185","15128","24 Apr 2023 11:04","2960","49:20","Team A","UD VESSUWAN","Clockwerk  Centaur Warrunner  Oracle  Pangolier  Muerta","Manta Esports","Templar Assassin  Bounty Hunter  Silencer  Rubick  Primal Beast","Team A"
"7123556694","14691","24 Apr 2023 05:46","1317","21:57","Team B","KZ TEAM","Rubick  Nyx Assassin  Monkey King  Pangolier  Snapfire","IVY","Dark Seer  Bounty Hunter  Ancient Apparition  Alchemist  Void Spirit","Team B"
