"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7117458330","15088","21 Apr 2023 02:59","3444","57:24","Team A","Ancient Tribe","Mirana  Phantom Lancer  Puck  Doom  Disruptor","Alliance","Bane  Death Prophet  Luna  Rubick  Pangolier","Team A"
"7118787769","15141","22 Apr 2023 05:56","1597","26:37","Team A","孤独摇滚","Night Stalker  Batrider  Rubick  Tusk  Muerta","iG.Vitality","Lion  Alchemist  Abaddon  Monkey King  Pangolier","Team B"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team A","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","Team A"
"7118900508","15141","22 Apr 2023 07:43","2822","47:02","Team A","孤独摇滚","Faceless Void  Clockwerk  Ember Spirit  Oracle  Muerta","iG.Vitality","Shadow Fiend  Jakiro  Chaos Knight  Monkey King  Pangolier","Team B"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team A","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Team B"
"7119036519","15128","22 Apr 2023 09:22","2653","44:13","Team B","Outsiders From CN","Queen of Pain  Undying  Rubick  Monkey King  Dawnbreaker","UD VESSUWAN","Lion  Nature's Prophet  Bounty Hunter  Doom  Pangolier","Team A"
"7119155871","15128","22 Apr 2023 10:42","2915","48:35","Team A","Hashtag.Reaper","Lion  Queen of Pain  Enchantress  Slark  Legion Commander","UD VESSUWAN","Morphling  Bounty Hunter  Doom  Disruptor  Pangolier","Team B"
"7119260537","15128","22 Apr 2023 11:48","2216","36:56","Team B","Hashtag.Reaper","Phantom Lancer  Storm Spirit  Vengeful Spirit  Skywrath Mage  Legion Commander","UD VESSUWAN","Bounty Hunter  Chen  Lone Druid  Tusk  Pangolier","Team B"
"7119915183","15138","22 Apr 2023 05:24","2876","47:56","Team B","UALEIKUMNIHAO","Enigma  Death Prophet  Jakiro  Spectre  Treant Protector","NAVI Junior","Lifestealer  Ancient Apparition  Rubick  Magnus  Pangolier","Team A"
"7120797930","15141","23 Apr 2023 05:58","2038","33:58","Team A","Holy Grail","Mirana  Storm Spirit  Chen  Monkey King  Primal Beast","Supernova","Sven  Tidehunter  Phoenix  Pangolier  Muerta","Team B"
"7120906564","15126","23 Apr 2023 07:51","1821","30:21","Team B","IHC","Bloodseeker  Death Prophet  Chen  Legion Commander  Hoodwink","Made in Philippines","Luna  Dragon Knight  Brewmaster  Phoenix  Pangolier","Team A"
"7121224967","15128","23 Apr 2023 11:53","1921","32:01","Team A","We Own","Storm Spirit  Templar Assassin  Chen  Doom  Earth Spirit","UD VESSUWAN","Viper  Enchantress  Lone Druid  Tusk  Pangolier","Team B"
"7121331915","15126","23 Apr 2023 01:02","2329","38:49","Team A","Team Tough","Mirana  Lion  Riki  Queen of Pain  Timbersaw","SPAWN Team","Kunkka  Rubick  Naga Siren  Pangolier  Muerta","Team B"
"7122028845","15196","23 Apr 2023 07:01","3420","57:00","Team A","Gaimin Gladiators","Puck  Rubick  Disruptor  Underlord  Muerta","Team Liquid","Riki  Chen  Slark  Phoenix  Pangolier","Team A"
"7122920185","15128","24 Apr 2023 11:04","2960","49:20","Team B","Manta Esports","Templar Assassin  Bounty Hunter  Silencer  Rubick  Primal Beast","UD VESSUWAN","Clockwerk  Centaur Warrunner  Oracle  Pangolier  Muerta","Team B"
"7123556694","14691","24 Apr 2023 05:46","1317","21:57","Team A","IVY","Dark Seer  Bounty Hunter  Ancient Apparition  Alchemist  Void Spirit","KZ TEAM","Rubick  Nyx Assassin  Monkey King  Pangolier  Snapfire","Team A"
"7124037387","15267","24 Apr 2023 11:38","2416","40:16","Team B","Ravens","Templar Assassin  Rubick  Disruptor  Underlord  Void Spirit","Infamous Gaming","Mirana  Alchemist  Centaur Warrunner  Skywrath Mage  Pangolier","Team A"
"7124148968","15267","25 Apr 2023 02:44","2068","34:28","Team A","Hokori","Tidehunter  Huskar  Disruptor  Naga Siren  Hoodwink","Mad Kings Esports","Beastmaster  Enchantress  Bounty Hunter  Slark  Pangolier","Team A"
"7124245416","15128","25 Apr 2023 05:19","2221","37:01","Team B","Dino Esports","Shadow Fiend  Puck  Bounty Hunter  Rubick  Dawnbreaker","Team Virgo","Tiny  Necrophos  Spectre  Disruptor  Pangolier","Team B"
"7124399402","15128","25 Apr 2023 08:53","1800","30:00","Team B","MIRACLE ESPORT","Mirana  Phantom Lancer  Ember Spirit  Hoodwink  Dawnbreaker","UD VESSUWAN","Tiny  Enigma  Nyx Assassin  Pangolier  Muerta","Team A"
