"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7119197773","14691","22 Apr 2023 11:09","2506","41:46","Team A","Ionut Cercel","Venomancer  Pugna  Clockwerk  Enchantress  Ursa","HAVU","Crystal Maiden  Dragon Knight  Naga Siren  Timbersaw  Monkey King","Team A"
"7122632975","15128","24 Apr 2023 04:59","1374","22:54","Team A","MIRACLE ESPORT","Crystal Maiden  Beastmaster  Pugna  Leshrac  Bounty Hunter","Team Virgo","Sniper  Phantom Assassin  Clockwerk  Snapfire  Mars","Team B"
"7123695093","14691","24 Apr 2023 07:10","3364","56:04","Team A","Ionut Cercel","Shadow Shaman  Faceless Void  Pugna  Underlord  Void Spirit","HF","Beastmaster  Enchantress  Alchemist  Nyx Assassin  Keeper of the Light","Team A"
"7124698067","14691","25 Apr 2023 02:15","1448","24:08","Team B","KZ TEAM","Pugna  Dark Seer  Chen  Nyx Assassin  Monkey King","Ancient Tribe","Crystal Maiden  Mirana  Tiny  Alchemist  Timbersaw","Team A"
"7126142185","15251","26 Apr 2023 01:20","1467","24:27","Team B","BetBoom Team","Crystal Maiden  Phantom Lancer  Storm Spirit  Pugna  Dawnbreaker","Team Aster","Riki  Enchantress  Doom  Alchemist  Rubick","Team A"
"7126226626","15251","26 Apr 2023 02:30","1916","31:56","Team A","Team Aster","Storm Spirit  Beastmaster  Pugna  Clockwerk  Terrorblade","Team Liquid","Night Stalker  Batrider  Disruptor  Nyx Assassin  Monkey King","Team A"
"7126640287","15251","26 Apr 2023 06:40","3014","50:14","Team A","INVICTUS GAMING","Storm Spirit  Pugna  Luna  Visage  Monkey King","Shopify Rebellion","Leshrac  Doom  Io  Skywrath Mage  Terrorblade","Team B"
"7126704159","15136","26 Apr 2023 07:33","1311","21:51","Team B","NoPing Esports","Riki  Death Prophet  Pugna  Bounty Hunter  Medusa","noMERCY","Phantom Lancer  Batrider  Doom  Disruptor  Skywrath Mage","Team A"
"7127035759","15087","27 Apr 2023 12:47","2562","42:42","Team B","The Oversight","Mirana  Riki  Venomancer  Pugna  Void Spirit","The Cut","Storm Spirit  Rubick  Io  Terrorblade  Primal Beast","Team B"
"7127475361","15251","27 Apr 2023 12:00","3149","52:29","Team B","Team Aster","Mirana  Storm Spirit  Pugna  Monkey King  Dawnbreaker","Execration","Lich  Enchantress  Batrider  Doom  Slark","Team A"
"7127481717","15251","27 Apr 2023 12:00","2700","45:00","Team B","BetBoom Team","Storm Spirit  Beastmaster  Pugna  Undying  Terrorblade","Gaimin Gladiators","Drow Ranger  Dragon Knight  Enchantress  Doom  Skywrath Mage","Team A"
"7127549430","15251","27 Apr 2023 01:10","1726","28:46","Team B","Team Liquid","Storm Spirit  Sven  Pugna  Doom  Oracle","9Pandas","Beastmaster  Enchantress  Disruptor  Medusa  Ember Spirit","Team A"
"7127553026","15251","27 Apr 2023 01:15","2237","37:17","Team A","BetBoom Team","Mirana  Storm Spirit  Pugna  Slark  Magnus","Gaimin Gladiators","Alchemist  Silencer  Rubick  Underlord  Pangolier","Team B"
"7127656604","15251","27 Apr 2023 02:33","2601","43:21","Team B","TSM","Storm Spirit  Riki  Pugna  Broodmother  Disruptor","Evil Geniuses","Anti-Mage  Dark Seer  Silencer  Rubick  Nyx Assassin","Team A"
"7127748000","15251","27 Apr 2023 03:32","2847","47:27","Team A","9Pandas","Tiny  Pugna  Doom  Alchemist  Skywrath Mage","Team Aster","Storm Spirit  Clockwerk  Naga Siren  Keeper of the Light  Underlord","Team A"
"7127927613","15251","27 Apr 2023 05:15","3993","1:06:33","Team B","Xtreme Gaming","Sven  Pugna  Dragon Knight  Rubick  Underlord","Talon","Bloodseeker  Batrider  Alchemist  Disruptor  Nyx Assassin","Team A"
"7127927995","15251","27 Apr 2023 05:16","1617","26:57","Team A","Shopify Rebellion","Storm Spirit  Sven  Pugna  Doom  Nyx Assassin","Tundra Esports","Crystal Maiden  Wraith King  Alchemist  Keeper of the Light  Underlord","Team B"
"7128195080","15251","27 Apr 2023 08:15","2485","41:25","Team B","Xtreme Gaming","Storm Spirit  Pugna  Alchemist  Brewmaster  Phoenix","Team SMG","Crystal Maiden  Mirana  Morphling  Kunkka  Centaur Warrunner","Team A"
"7129089019","15251","28 Apr 2023 02:31","2406","40:06","Team B","BetBoom Team","Tiny  Tidehunter  Pugna  Chen  Ursa","9Pandas","Sand King  Storm Spirit  Slardar  Bounty Hunter  Io","Team B"
"7129092037","15251","28 Apr 2023 02:30","1615","26:55","Team B","Team Liquid","Storm Spirit  Sven  Pugna  Rubick  Nyx Assassin","Gaimin Gladiators","Beastmaster  Enchantress  Keeper of the Light  Medusa  Ember Spirit","Team B"
"7129213537","15251","28 Apr 2023 03:48","2148","35:48","Team A","Team Aster","Queen of Pain  Pugna  Doom  Rubick  Terrorblade","PSG.LGD","Beastmaster  Clockwerk  Keeper of the Light  Primal Beast  Muerta","Team B"
"7129488931","15251","28 Apr 2023 06:26","2961","49:21","Team B","INVICTUS GAMING","Storm Spirit  Pugna  Disruptor  Timbersaw  Monkey King","OG","Phantom Lancer  Silencer  Nyx Assassin  Keeper of the Light  Ember Spirit","Team A"
"7130158541","15128","29 Apr 2023 05:41","1403","23:23","Team B","Outsiders From CN","Pugna  Alchemist  Underlord  Phoenix  Void Spirit","EV GaminG","Ursa  Nyx Assassin  Timbersaw  Snapfire  Muerta","Team A"
"7131067725","15251","29 Apr 2023 05:39","1286","21:26","Team A","Talon","Pugna  Medusa  Techies  Underlord  Void Spirit","Shopify Rebellion","Tiny  Doom  Undying  Keeper of the Light  Arc Warden","Team A"
"7131292702","15251","29 Apr 2023 08:04","2279","37:59","Team A","Tundra Esports","Pugna  Batrider  Ursa  Keeper of the Light  Medusa","beastcoast","Bloodseeker  Crystal Maiden  Slark  Skywrath Mage  Underlord","Team A"
"7131295748","15251","29 Apr 2023 08:07","3110","51:50","Team B","Xtreme Gaming","Crystal Maiden  Storm Spirit  Pugna  Bounty Hunter  Ursa","Team Spirit","Riki  Enchantress  Ogre Magi  Skywrath Mage  Muerta","Team B"
"7131300970","15251","29 Apr 2023 08:07","1245","20:45","Team A","Talon","Sven  Pugna  Techies  Underlord  Void Spirit","INVICTUS GAMING","Crystal Maiden  Juggernaut  Doom  Keeper of the Light  Pangolier","Team A"
"7131369885","15251","29 Apr 2023 08:58","2867","47:47","Team A","INVICTUS GAMING","Crystal Maiden  Storm Spirit  Pugna  Lifestealer  Omniknight","Talon","Sven  Dragon Knight  Silencer  Keeper of the Light  Underlord","Team B"
"7131939577","15128","30 Apr 2023 07:59","893","14:53","Team B","EV GaminG","Bloodseeker  Pudge  Pugna  Monkey King  Primal Beast","Team Tough","Riki  Chen  Alchemist  Lone Druid  Hoodwink","Team A"
"7132583835","15251","30 Apr 2023 04:03","1984","33:04","Team A","Talon","Pugna  Keeper of the Light  Underlord  Terrorblade  Void Spirit","Team Spirit","Crystal Maiden  Venomancer  Doom  Pangolier  Muerta","Team A"
