"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7119197773","14691","22 Apr 2023 11:09","2506","41:46","Team B","HAVU","Crystal Maiden  Dragon Knight  Naga Siren  Timbersaw  Monkey King","Ionut Cercel","Venomancer  Pugna  Clockwerk  Enchantress  Ursa","Team B"
"7122632975","15128","24 Apr 2023 04:59","1374","22:54","Team B","Team Virgo","Sniper  Phantom Assassin  Clockwerk  Snapfire  Mars","MIRACLE ESPORT","Crystal Maiden  Beastmaster  Pugna  Leshrac  Bounty Hunter","Team A"
"7123695093","14691","24 Apr 2023 07:10","3364","56:04","Team B","HF","Beastmaster  Enchantress  Alchemist  Nyx Assassin  Keeper of the Light","Ionut Cercel","Shadow Shaman  Faceless Void  Pugna  Underlord  Void Spirit","Team B"
"7124698067","14691","25 Apr 2023 02:15","1448","24:08","Team A","Ancient Tribe","Crystal Maiden  Mirana  Tiny  Alchemist  Timbersaw","KZ TEAM","Pugna  Dark Seer  Chen  Nyx Assassin  Monkey King","Team B"
"7126142185","15251","26 Apr 2023 01:20","1467","24:27","Team A","Team Aster","Riki  Enchantress  Doom  Alchemist  Rubick","BetBoom Team","Crystal Maiden  Phantom Lancer  Storm Spirit  Pugna  Dawnbreaker","Team B"
"7126226626","15251","26 Apr 2023 02:30","1916","31:56","Team B","Team Liquid","Night Stalker  Batrider  Disruptor  Nyx Assassin  Monkey King","Team Aster","Storm Spirit  Beastmaster  Pugna  Clockwerk  Terrorblade","Team B"
"7126640287","15251","26 Apr 2023 06:40","3014","50:14","Team B","Shopify Rebellion","Leshrac  Doom  Io  Skywrath Mage  Terrorblade","INVICTUS GAMING","Storm Spirit  Pugna  Luna  Visage  Monkey King","Team A"
"7126704159","15136","26 Apr 2023 07:33","1311","21:51","Team A","noMERCY","Phantom Lancer  Batrider  Doom  Disruptor  Skywrath Mage","NoPing Esports","Riki  Death Prophet  Pugna  Bounty Hunter  Medusa","Team B"
"7127035759","15087","27 Apr 2023 12:47","2562","42:42","Team A","The Cut","Storm Spirit  Rubick  Io  Terrorblade  Primal Beast","The Oversight","Mirana  Riki  Venomancer  Pugna  Void Spirit","Team A"
"7127475361","15251","27 Apr 2023 12:00","3149","52:29","Team A","Execration","Lich  Enchantress  Batrider  Doom  Slark","Team Aster","Mirana  Storm Spirit  Pugna  Monkey King  Dawnbreaker","Team B"
"7127481717","15251","27 Apr 2023 12:00","2700","45:00","Team A","Gaimin Gladiators","Drow Ranger  Dragon Knight  Enchantress  Doom  Skywrath Mage","BetBoom Team","Storm Spirit  Beastmaster  Pugna  Undying  Terrorblade","Team B"
"7127549430","15251","27 Apr 2023 01:10","1726","28:46","Team A","9Pandas","Beastmaster  Enchantress  Disruptor  Medusa  Ember Spirit","Team Liquid","Storm Spirit  Sven  Pugna  Doom  Oracle","Team B"
"7127553026","15251","27 Apr 2023 01:15","2237","37:17","Team B","Gaimin Gladiators","Alchemist  Silencer  Rubick  Underlord  Pangolier","BetBoom Team","Mirana  Storm Spirit  Pugna  Slark  Magnus","Team A"
"7127656604","15251","27 Apr 2023 02:33","2601","43:21","Team A","Evil Geniuses","Anti-Mage  Dark Seer  Silencer  Rubick  Nyx Assassin","TSM","Storm Spirit  Riki  Pugna  Broodmother  Disruptor","Team B"
"7127748000","15251","27 Apr 2023 03:32","2847","47:27","Team B","Team Aster","Storm Spirit  Clockwerk  Naga Siren  Keeper of the Light  Underlord","9Pandas","Tiny  Pugna  Doom  Alchemist  Skywrath Mage","Team B"
"7127927613","15251","27 Apr 2023 05:15","3993","1:06:33","Team A","Talon","Bloodseeker  Batrider  Alchemist  Disruptor  Nyx Assassin","Xtreme Gaming","Sven  Pugna  Dragon Knight  Rubick  Underlord","Team B"
"7127927995","15251","27 Apr 2023 05:16","1617","26:57","Team B","Tundra Esports","Crystal Maiden  Wraith King  Alchemist  Keeper of the Light  Underlord","Shopify Rebellion","Storm Spirit  Sven  Pugna  Doom  Nyx Assassin","Team A"
"7128195080","15251","27 Apr 2023 08:15","2485","41:25","Team A","Team SMG","Crystal Maiden  Mirana  Morphling  Kunkka  Centaur Warrunner","Xtreme Gaming","Storm Spirit  Pugna  Alchemist  Brewmaster  Phoenix","Team B"
"7129089019","15251","28 Apr 2023 02:31","2406","40:06","Team A","9Pandas","Sand King  Storm Spirit  Slardar  Bounty Hunter  Io","BetBoom Team","Tiny  Tidehunter  Pugna  Chen  Ursa","Team A"
"7129092037","15251","28 Apr 2023 02:30","1615","26:55","Team A","Gaimin Gladiators","Beastmaster  Enchantress  Keeper of the Light  Medusa  Ember Spirit","Team Liquid","Storm Spirit  Sven  Pugna  Rubick  Nyx Assassin","Team A"
"7129213537","15251","28 Apr 2023 03:48","2148","35:48","Team B","PSG.LGD","Beastmaster  Clockwerk  Keeper of the Light  Primal Beast  Muerta","Team Aster","Queen of Pain  Pugna  Doom  Rubick  Terrorblade","Team A"
"7129488931","15251","28 Apr 2023 06:26","2961","49:21","Team A","OG","Phantom Lancer  Silencer  Nyx Assassin  Keeper of the Light  Ember Spirit","INVICTUS GAMING","Storm Spirit  Pugna  Disruptor  Timbersaw  Monkey King","Team B"
"7130158541","15128","29 Apr 2023 05:41","1403","23:23","Team A","EV GaminG","Ursa  Nyx Assassin  Timbersaw  Snapfire  Muerta","Outsiders From CN","Pugna  Alchemist  Underlord  Phoenix  Void Spirit","Team B"
"7131067725","15251","29 Apr 2023 05:39","1286","21:26","Team B","Shopify Rebellion","Tiny  Doom  Undying  Keeper of the Light  Arc Warden","Talon","Pugna  Medusa  Techies  Underlord  Void Spirit","Team B"
"7131292702","15251","29 Apr 2023 08:04","2279","37:59","Team B","beastcoast","Bloodseeker  Crystal Maiden  Slark  Skywrath Mage  Underlord","Tundra Esports","Pugna  Batrider  Ursa  Keeper of the Light  Medusa","Team B"
"7131295748","15251","29 Apr 2023 08:07","3110","51:50","Team A","Team Spirit","Riki  Enchantress  Ogre Magi  Skywrath Mage  Muerta","Xtreme Gaming","Crystal Maiden  Storm Spirit  Pugna  Bounty Hunter  Ursa","Team A"
"7131300970","15251","29 Apr 2023 08:07","1245","20:45","Team B","INVICTUS GAMING","Crystal Maiden  Juggernaut  Doom  Keeper of the Light  Pangolier","Talon","Sven  Pugna  Techies  Underlord  Void Spirit","Team B"
"7131369885","15251","29 Apr 2023 08:58","2867","47:47","Team B","Talon","Sven  Dragon Knight  Silencer  Keeper of the Light  Underlord","INVICTUS GAMING","Crystal Maiden  Storm Spirit  Pugna  Lifestealer  Omniknight","Team A"
"7131939577","15128","30 Apr 2023 07:59","893","14:53","Team A","Team Tough","Riki  Chen  Alchemist  Lone Druid  Hoodwink","EV GaminG","Bloodseeker  Pudge  Pugna  Monkey King  Primal Beast","Team B"
"7132583835","15251","30 Apr 2023 04:03","1984","33:04","Team B","Team Spirit","Crystal Maiden  Venomancer  Doom  Pangolier  Muerta","Talon","Pugna  Keeper of the Light  Underlord  Terrorblade  Void Spirit","Team B"
"7132789617","15251","30 Apr 2023 05:55","2740","45:40","Team B","Evil Geniuses","Bloodseeker  Crystal Maiden  Batrider  Keeper of the Light  Monkey King","Team Aster","Shadow Fiend  Pugna  Alchemist  Disruptor  Mars","Team B"
"7133019590","15251","30 Apr 2023 08:19","4262","1:11:02","Team B","Evil Geniuses","Storm Spirit  Bounty Hunter  Disruptor  Keeper of the Light  Slark","BetBoom Team","Crystal Maiden  Tiny  Pugna  Doom  Muerta","Team A"
"7136002887","15251","02 May 2023 05:58","2471","41:11","Team A","Team Liquid","Mirana  Luna  Dragon Knight  Keeper of the Light  Ember Spirit","Xtreme Gaming","Storm Spirit  Lion  Tidehunter  Pugna  Marci","Team A"
"7137569836","15251","03 May 2023 07:05","1990","33:10","Team A","Tundra Esports","Crystal Maiden  Windranger  Wraith King  Timbersaw  Underlord","9Pandas","Tiny  Pugna  Chen  Doom  Alchemist","Team B"
"7138147108","15128","04 May 2023 07:51","2084","34:44","Team A","Dino Esports","Riki  Rubick  Magnus  Oracle  Monkey King","Team Tough","Pugna  Templar Assassin  Clockwerk  Underlord  Pangolier","Team A"
