"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116809609","15126","21 Apr 2023 08:12","1820","30:20","Team B","Made in Philippines","Morphling  Clockwerk  Doom  Rubick  Earth Spirit","SPAWN Team","Crystal Maiden  Templar Assassin  Brewmaster  Tusk  Primal Beast","Team A"
"7117225221","15126","21 Apr 2023 01:00","2239","37:19","Team A","Team Tough","Crystal Maiden  Bounty Hunter  Rubick  Dawnbreaker  Primal Beast","UD VESSUWAN","Mirana  Silencer  Lycan  Ember Spirit  Monkey King","Team B"
"7117458330","15088","21 Apr 2023 02:59","3444","57:24","Team B","Alliance","Bane  Death Prophet  Luna  Rubick  Pangolier","Ancient Tribe","Mirana  Phantom Lancer  Puck  Doom  Disruptor","Team B"
"7117681788","15088","21 Apr 2023 04:27","3604","1:00:04","Team A","Alliance","Morphling  Zeus  Jakiro  Rubick  Centaur Warrunner","Ancient Tribe","Viper  Chen  Slark  Snapfire  Primal Beast","Team B"
"7118295482","15088","21 Apr 2023 09:18","3411","56:51","Team B","Luna Galaxy","Clockwerk  Outworld Devourer  Rubick  Legion Commander  Terrorblade","Old G","Mirana  Leshrac  Bounty Hunter  Naga Siren  Timbersaw","Team B"
"7118748043","15128","22 Apr 2023 05:04","1655","27:35","Team A","We Own","Templar Assassin  Bounty Hunter  Ancient Apparition  Rubick  Dawnbreaker","Outsiders From CN","Storm Spirit  Death Prophet  Clockwerk  Disruptor  Naga Siren","Team B"
"7118787769","15141","22 Apr 2023 05:56","1597","26:37","Team A","孤独摇滚","Night Stalker  Batrider  Rubick  Tusk  Muerta","iG.Vitality","Lion  Alchemist  Abaddon  Monkey King  Pangolier","Team B"
"7118795304","15128","22 Apr 2023 05:54","1343","22:23","Team A","Outsiders From CN","Shadow Fiend  Tiny  Ogre Magi  Rubick  Timbersaw","We Own","Anti-Mage  Beastmaster  Queen of Pain  Disruptor  Hoodwink","Team A"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team A","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Team B"
"7119036519","15128","22 Apr 2023 09:22","2653","44:13","Team B","Outsiders From CN","Queen of Pain  Undying  Rubick  Monkey King  Dawnbreaker","UD VESSUWAN","Lion  Nature's Prophet  Bounty Hunter  Doom  Pangolier","Team A"
"7119094414","14691","22 Apr 2023 10:03","2188","36:28","Team B","Ionut Cercel","Morphling  Necrophos  Beastmaster  Rubick  Io","HAVU","Mirana  Phantom Lancer  Lich  Night Stalker  Ember Spirit","Team A"
"7119269951","15138","22 Apr 2023 12:06","2513","41:53","Team A","Nemiga Gaming","Razor  Dragon Knight  Jakiro  Rubick  Underlord","cybercats","Sand King  Io  Techies  Ember Spirit  Muerta","Team A"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team B","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","Team B"
"7119765928","15138","22 Apr 2023 04:18","1991","33:11","Team B","UALEIKUMNIHAO","Puck  Jakiro  Doom  Rubick  Troll Warlord","NAVI Junior","Mirana  Beastmaster  Templar Assassin  Bounty Hunter  Slark","Team A"
"7119915183","15138","22 Apr 2023 05:24","2876","47:56","Team A","NAVI Junior","Lifestealer  Ancient Apparition  Rubick  Magnus  Pangolier","UALEIKUMNIHAO","Enigma  Death Prophet  Jakiro  Spectre  Treant Protector","Team B"
"7120935668","15128","23 Apr 2023 08:10","2702","45:02","Team A","EV GaminG","Clockwerk  Rubick  Ember Spirit  Dawnbreaker  Muerta","UD VESSUWAN","Huskar  Spectre  Doom  Silencer  Hoodwink","Team A"
"7120965232","15126","23 Apr 2023 08:46","2125","35:25","Team B","Made in Philippines","Batrider  Undying  Rubick  Troll Warlord  Dawnbreaker","IHC","Death Prophet  Enchantress  Tusk  Legion Commander  Muerta","Team A"
"7121006041","15128","23 Apr 2023 09:12","3354","55:54","Team A","UD VESSUWAN","Mirana  Lifestealer  Rubick  Tusk  Dawnbreaker","EV GaminG","Clockwerk  Legion Commander  Ember Spirit  Primal Beast  Muerta","Team B"
"7121313738","15196","23 Apr 2023 12:55","1921","32:01","Team A","Gaimin Gladiators","Dragon Knight  Enchantress  Ursa  Rubick  Centaur Warrunner","Shopify Rebellion","Morphling  Riki  Death Prophet  Chen  Underlord","Team A"
