"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116526799","15136","21 Apr 2023 04:02","1849","30:49","Team B","x5 Gaming","Nature's Prophet  Visage  Ember Spirit  Snapfire  Dawnbreaker","noMERCY","Leshrac  Doom  Spirit Breaker  Slark  Skywrath Mage","Team A"
"7119885413","15196","22 Apr 2023 05:22","3604","1:00:04","Team A","Tundra Esports","Bounty Hunter  Abaddon  Legion Commander  Techies  Terrorblade","Shopify Rebellion","Mirana  Enigma  Batrider  Spirit Breaker  Muerta","Team B"
"7121482769","14691","23 Apr 2023 02:23","2274","37:54","Team A","Luna Galaxy","Sven  Lycan  Rubick  Dark Willow  Void Spirit","Unity Esports","Mirana  Phantom Lancer  Death Prophet  Spirit Breaker  Timbersaw","Team A"
"7129187672","15251","28 Apr 2023 03:29","1693","28:13","Team A","Team Liquid","Shadow Fiend  Chen  Alchemist  Skywrath Mage  Pangolier","Gaimin Gladiators","Bloodseeker  Leshrac  Spirit Breaker  Io  Terrorblade","Team B"
"7150402114","15128","12 May 2023 06:03","1442","24:02","Team B","MIRACLE ESPORT","Puck  Warlock  Omniknight  Slark  Tusk","Outsider From CN","Dark Seer  Spirit Breaker  Nyx Assassin  Troll Warlord  Pangolier","Team B"
"7155639303","15333","15 May 2023 01:03","1870","31:10","Team A","FireBloom","Tiny  Doom  Rubick  Oracle  Void Spirit","Pavaga Gaming BY","Crystal Maiden  Juggernaut  Spirit Breaker  Techies  Ember Spirit","Team B"
"7155641532","15333","15 May 2023 01:05","2025","33:45","Team B","Anime Enjoyers","Storm Spirit  Rubick  Disruptor  Underlord  Monkey King","Reverse Measurement","Leshrac  Dark Seer  Spirit Breaker  Undying  Slark","Team A"
"7155642648","15333","15 May 2023 01:06","1305","21:45","Team B","Triseum","Crystal Maiden  Tiny  Beastmaster  Dragon Knight  Enchantress","DELTA-X","Riki  Ancient Apparition  Spirit Breaker  Medusa  Void Spirit","Team A"
"7155714856","15333","15 May 2023 02:08","2224","37:04","Team A","Not one step back gaming","Axe  Leshrac  Alchemist  Medusa  Dark Willow","Pavaga Gaming BY","Jakiro  Spirit Breaker  Slark  Techies  Pangolier","Team A"
"7155956387","15347","15 May 2023 04:43","2263","37:43","Team A","Gen of Miracles","Storm Spirit  Lifestealer  Doom  Grimstroke  Snapfire","HAVU","Beastmaster  Venomancer  Batrider  Spirit Breaker  Monkey King","Team B"
