"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7117225221","15126","21 Apr 2023 01:00","2239","37:19","Team A","Team Tough","Crystal Maiden  Bounty Hunter  Rubick  Dawnbreaker  Primal Beast","UD VESSUWAN","Mirana  Silencer  Lycan  Ember Spirit  Monkey King","Team B"
"7118627962","15087","22 Apr 2023 02:31","1345","22:25","Team B","The Cut","Broodmother  Io  Troll Warlord  Ember Spirit  Hoodwink","Ravens","Templar Assassin  Nature's Prophet  Batrider  Silencer  Earth Spirit","Team B"
"7120935668","15128","23 Apr 2023 08:10","2702","45:02","Team A","EV GaminG","Clockwerk  Rubick  Ember Spirit  Dawnbreaker  Muerta","UD VESSUWAN","Huskar  Spectre  Doom  Silencer  Hoodwink","Team A"
"7121657776","15088","23 Apr 2023 03:52","4677","1:17:57","Team A","IVY","Drow Ranger  Mirana  Dark Seer  Ember Spirit  Snapfire","Team Secret","Beastmaster  Death Prophet  Silencer  Rubick  Terrorblade","Team A"
"7122587236","15141","24 Apr 2023 03:59","2641","44:01","Team A","Team Disillusion","Doom  Rubick  Tusk  Void Spirit  Muerta","Holy Grail","Death Prophet  Clockwerk  Spectre  Silencer  Primal Beast","Team B"
"7122855349","14691","24 Apr 2023 10:05","2563","42:43","Team B","Luna Galaxy","Bane  Bounty Hunter  Alchemist  Lycan  Timbersaw","IVY","Mirana  Silencer  Centaur Warrunner  Ember Spirit  Muerta","Team A"
"7122920185","15128","24 Apr 2023 11:04","2960","49:20","Team A","UD VESSUWAN","Clockwerk  Centaur Warrunner  Oracle  Pangolier  Muerta","Manta Esports","Templar Assassin  Bounty Hunter  Silencer  Rubick  Primal Beast","Team A"
"7123439106","14691","24 Apr 2023 04:58","1358","22:38","Team B","KZ TEAM","Anti-Mage  Clockwerk  Timbersaw  Tusk  Skywrath Mage","IVY","Beastmaster  Alchemist  Silencer  Rubick  Void Spirit","Team B"
"7125236705","14691","25 Apr 2023 07:21","3113","51:53","Team B","Please dont gank my carry","Templar Assassin  Nature's Prophet  Doom  Rubick  Phoenix","Luna Galaxy","Beastmaster  Viper  Bounty Hunter  Alchemist  Silencer","Team A"
"7125457650","15088","25 Apr 2023 09:59","2686","44:46","Team A","Old G","Omniknight  Ursa  Alchemist  Rubick  Phoenix","Alliance","Crystal Maiden  Silencer  Centaur Warrunner  Terrorblade  Void Spirit","Team B"
