"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team A","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","Team A"
"7116526799","15136","21 Apr 2023 04:02","1849","30:49","Team A","noMERCY","Leshrac  Doom  Spirit Breaker  Slark  Skywrath Mage","x5 Gaming","Nature's Prophet  Visage  Ember Spirit  Snapfire  Dawnbreaker","Team B"
"7118503468","15087","21 Apr 2023 11:57","1939","32:19","Team B","The Cut","Sand King  Spectre  Ancient Apparition  Skywrath Mage  Ember Spirit","Ravens","Tiny  Leshrac  Enchantress  Doom  Ursa","Team A"
"7118661066","15087","22 Apr 2023 03:25","2448","40:48","Team B","SAND KING GÓMEZ","Phantom Assassin  Ogre Magi  Skywrath Mage  Void Spirit  Mars","ALPHA","Bloodseeker  Riki  Batrider  Meepo  Disruptor","Team B"
"7119260537","15128","22 Apr 2023 11:48","2216","36:56","Team B","Hashtag.Reaper","Phantom Lancer  Storm Spirit  Vengeful Spirit  Skywrath Mage  Legion Commander","UD VESSUWAN","Bounty Hunter  Chen  Lone Druid  Tusk  Pangolier","Team B"
"7119577917","15196","22 Apr 2023 02:55","1503","25:03","Team B","Tundra Esports","Bounty Hunter  Doom  Chaos Knight  Skywrath Mage  Phoenix","Shopify Rebellion","Death Prophet  Chen  Ursa  Earth Spirit  Underlord","Team B"
"7120085930","15196","22 Apr 2023 07:06","2101","35:01","Team B","Team Liquid","Phantom Lancer  Chen  Nyx Assassin  Skywrath Mage  Monkey King","Gaimin Gladiators","Puck  Pudge  Windranger  Enchantress  Doom","Team A"
"7120502848","15136","22 Apr 2023 11:30","1802","30:02","Team A","x5 Gaming","Phantom Lancer  Storm Spirit  Skywrath Mage  Legion Commander  Dawnbreaker","NoLimitsGaming","Crystal Maiden  Batrider  Tusk  Underlord  Monkey King","Team A"
"7120859639","15126","23 Apr 2023 07:00","1430","23:50","Team A","IHC","Morphling  Nature's Prophet  Batrider  Tusk  Skywrath Mage","Made in Philippines","Luna  Bounty Hunter  Doom  Ember Spirit  Oracle","Team B"
"7121001446","15141","23 Apr 2023 09:14","2494","41:34","Team B","Team Disillusion","Mirana  Riki  Invoker  Naga Siren  Skywrath Mage","Team Bright","Anti-Mage  Crystal Maiden  Sand King  Leshrac  Monkey King","Team B"
"7121524512","15088","23 Apr 2023 02:55","1617","26:57","Team A","Team Secret","Beastmaster  Centaur Warrunner  Skywrath Mage  Monkey King  Snapfire","IVY","Phantom Assassin  Leshrac  Jakiro  Doom  Rubick","Team A"
"7122123248","15088","23 Apr 2023 07:54","3553","59:13","Team A","Luna Galaxy","Puck  Sven  Doom  Rubick  Skywrath Mage","Ancient Tribe","Mirana  Dazzle  Alchemist  Visage  Monkey King","Team B"
"7122259749","15196","23 Apr 2023 09:31","2460","41:00","Team A","Gaimin Gladiators","Crystal Maiden  Templar Assassin  Doom  Slark  Skywrath Mage","Team Liquid","Shadow Fiend  Keeper of the Light  Bristleback  Underlord  Hoodwink","Team A"
"7122404291","15267","23 Apr 2023 11:20","3152","52:32","Team A","Balrogs Esports™","Puck  Skywrath Mage  Earth Spirit  Underlord  Muerta","Hokori","Riki  Beastmaster  Undying  Rubick  Slark","Team B"
"7122567425","15267","24 Apr 2023 03:18","1490","24:50","Team A","Thunder Awaken","Bounty Hunter  Chen  Alchemist  Tusk  Skywrath Mage","Mad Kings Esports","Earthshaker  Phantom Lancer  Enchantress  Weaver  Ember Spirit","Team B"
"7122667422","15141","24 Apr 2023 05:54","2766","46:06","Team B","Holy Grail","Templar Assassin  Clockwerk  Doom  Skywrath Mage  Void Spirit","Team Disillusion","Bane  Pudge  Meepo  Rubick  Centaur Warrunner","Team B"
"7123030776","15138","24 Apr 2023 12:59","1567","26:07","Team B","YNT","Crystal Maiden  Phantom Lancer  Storm Spirit  Skywrath Mage  Primal Beast","UALEIKUMNIHAO","Necrophos  Warlock  Queen of Pain  Doom  Alchemist","Team B"
"7123439106","14691","24 Apr 2023 04:58","1358","22:38","Team B","KZ TEAM","Anti-Mage  Clockwerk  Timbersaw  Tusk  Skywrath Mage","IVY","Beastmaster  Alchemist  Silencer  Rubick  Void Spirit","Team B"
"7123844647","15087","24 Apr 2023 08:57","1682","28:02","Team A","TiltedBoys","Phantom Lancer  Dragon Knight  Chen  Centaur Warrunner  Skywrath Mage","Ravens","Sand King  Undying  Ember Spirit  Monkey King  Snapfire","Team B"
