"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team B","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","Team B"
"7116526799","15136","21 Apr 2023 04:02","1849","30:49","Team B","x5 Gaming","Nature's Prophet  Visage  Ember Spirit  Snapfire  Dawnbreaker","noMERCY","Leshrac  Doom  Spirit Breaker  Slark  Skywrath Mage","Team A"
"7118503468","15087","21 Apr 2023 11:57","1939","32:19","Team A","Ravens","Tiny  Leshrac  Enchantress  Doom  Ursa","The Cut","Sand King  Spectre  Ancient Apparition  Skywrath Mage  Ember Spirit","Team B"
"7118661066","15087","22 Apr 2023 03:25","2448","40:48","Team A","ALPHA","Bloodseeker  Riki  Batrider  Meepo  Disruptor","SAND KING GÓMEZ","Phantom Assassin  Ogre Magi  Skywrath Mage  Void Spirit  Mars","Team A"
"7119260537","15128","22 Apr 2023 11:48","2216","36:56","Team A","UD VESSUWAN","Bounty Hunter  Chen  Lone Druid  Tusk  Pangolier","Hashtag.Reaper","Phantom Lancer  Storm Spirit  Vengeful Spirit  Skywrath Mage  Legion Commander","Team A"
"7119577917","15196","22 Apr 2023 02:55","1503","25:03","Team A","Shopify Rebellion","Death Prophet  Chen  Ursa  Earth Spirit  Underlord","Tundra Esports","Bounty Hunter  Doom  Chaos Knight  Skywrath Mage  Phoenix","Team A"
"7120085930","15196","22 Apr 2023 07:06","2101","35:01","Team A","Gaimin Gladiators","Puck  Pudge  Windranger  Enchantress  Doom","Team Liquid","Phantom Lancer  Chen  Nyx Assassin  Skywrath Mage  Monkey King","Team B"
"7120502848","15136","22 Apr 2023 11:30","1802","30:02","Team B","NoLimitsGaming","Crystal Maiden  Batrider  Tusk  Underlord  Monkey King","x5 Gaming","Phantom Lancer  Storm Spirit  Skywrath Mage  Legion Commander  Dawnbreaker","Team B"
"7120859639","15126","23 Apr 2023 07:00","1430","23:50","Team B","Made in Philippines","Luna  Bounty Hunter  Doom  Ember Spirit  Oracle","IHC","Morphling  Nature's Prophet  Batrider  Tusk  Skywrath Mage","Team A"
"7121001446","15141","23 Apr 2023 09:14","2494","41:34","Team A","Team Bright","Anti-Mage  Crystal Maiden  Sand King  Leshrac  Monkey King","Team Disillusion","Mirana  Riki  Invoker  Naga Siren  Skywrath Mage","Team A"
"7121524512","15088","23 Apr 2023 02:55","1617","26:57","Team B","IVY","Phantom Assassin  Leshrac  Jakiro  Doom  Rubick","Team Secret","Beastmaster  Centaur Warrunner  Skywrath Mage  Monkey King  Snapfire","Team B"
"7122123248","15088","23 Apr 2023 07:54","3553","59:13","Team B","Ancient Tribe","Mirana  Dazzle  Alchemist  Visage  Monkey King","Luna Galaxy","Puck  Sven  Doom  Rubick  Skywrath Mage","Team A"
"7122259749","15196","23 Apr 2023 09:31","2460","41:00","Team B","Team Liquid","Shadow Fiend  Keeper of the Light  Bristleback  Underlord  Hoodwink","Gaimin Gladiators","Crystal Maiden  Templar Assassin  Doom  Slark  Skywrath Mage","Team B"
"7122404291","15267","23 Apr 2023 11:20","3152","52:32","Team B","Hokori","Riki  Beastmaster  Undying  Rubick  Slark","Balrogs Esports™","Puck  Skywrath Mage  Earth Spirit  Underlord  Muerta","Team A"
"7122567425","15267","24 Apr 2023 03:18","1490","24:50","Team B","Mad Kings Esports","Earthshaker  Phantom Lancer  Enchantress  Weaver  Ember Spirit","Thunder Awaken","Bounty Hunter  Chen  Alchemist  Tusk  Skywrath Mage","Team A"
"7122667422","15141","24 Apr 2023 05:54","2766","46:06","Team A","Team Disillusion","Bane  Pudge  Meepo  Rubick  Centaur Warrunner","Holy Grail","Templar Assassin  Clockwerk  Doom  Skywrath Mage  Void Spirit","Team A"
"7123030776","15138","24 Apr 2023 12:59","1567","26:07","Team A","UALEIKUMNIHAO","Necrophos  Warlock  Queen of Pain  Doom  Alchemist","YNT","Crystal Maiden  Phantom Lancer  Storm Spirit  Skywrath Mage  Primal Beast","Team A"
"7123439106","14691","24 Apr 2023 04:58","1358","22:38","Team A","IVY","Beastmaster  Alchemist  Silencer  Rubick  Void Spirit","KZ TEAM","Anti-Mage  Clockwerk  Timbersaw  Tusk  Skywrath Mage","Team A"
"7123844647","15087","24 Apr 2023 08:57","1682","28:02","Team B","Ravens","Sand King  Undying  Ember Spirit  Monkey King  Snapfire","TiltedBoys","Phantom Lancer  Dragon Knight  Chen  Centaur Warrunner  Skywrath Mage","Team A"
"7124037387","15267","24 Apr 2023 11:38","2416","40:16","Team B","Ravens","Templar Assassin  Rubick  Disruptor  Underlord  Void Spirit","Infamous Gaming","Mirana  Alchemist  Centaur Warrunner  Skywrath Mage  Pangolier","Team A"
"7125355254","14691","25 Apr 2023 08:43","1881","31:21","Team A","Ionut Cercel","Shadow Shaman  Beastmaster  Queen of Pain  Spectre  Io","KZ TEAM","Tinker  Doom  Skywrath Mage  Monkey King  Muerta","Team B"
"7125633102","15267","26 Apr 2023 02:05","3361","56:01","Team A","Infamous Gaming","Mirana  Wraith King  Gyrocopter  Void Spirit  Dawnbreaker","Acatsuki","Bloodseeker  Templar Assassin  Enchantress  Centaur Warrunner  Skywrath Mage","Team B"
"7125771403","15128","26 Apr 2023 05:52","1791","29:51","Team A","MIRACLE ESPORT","Omniknight  Jakiro  Tusk  Legion Commander  Muerta","Outsiders From CN","Storm Spirit  Riki  Bounty Hunter  Slark  Skywrath Mage","Team B"
"7125860523","15128","26 Apr 2023 08:03","677","11:17","Team B","EV GaminG","Rubick  Disruptor  Naga Siren  Ember Spirit  Dawnbreaker","We Own","Shadow Fiend  Sven  Beastmaster  Ogre Magi  Skywrath Mage","Team A"
"7126027509","15126","26 Apr 2023 11:30","2013","33:33","Team B","IHC","Broodmother  Undying  Rubick  Ember Spirit  Monkey King","Myth Avenue Gaming","Crystal Maiden  Sven  Magnus  Skywrath Mage  Primal Beast","Team B"
"7126118055","15126","26 Apr 2023 01:00","1781","29:41","Team B","Vision","Omniknight  Undying  Rubick  Tusk  Arc Warden","Myth Avenue Gaming","Crystal Maiden  Sven  Leshrac  Doom  Skywrath Mage","Team A"
"7126125913","15251","26 Apr 2023 01:10","2654","44:14","Team B","TSM","Enchantress  Ancient Apparition  Medusa  Pangolier  Primal Beast","9Pandas","Bloodseeker  Tiny  Chen  Alchemist  Skywrath Mage","Team B"
"7126205270","15138","26 Apr 2023 02:13","2322","38:42","Team A","Moneymakers","Bloodseeker  Beastmaster  Dazzle  Alchemist  Rubick","NAVI Junior","Mirana  Dragon Knight  Naga Siren  Timbersaw  Skywrath Mage","Team B"
"7126358534","15251","26 Apr 2023 03:52","1819","30:19","Team B","BetBoom Team","Phantom Lancer  Chen  Rubick  Underlord  Primal Beast","TSM","Templar Assassin  Alchemist  Keeper of the Light  Skywrath Mage  Void Spirit","Team A"
"7126414257","15138","26 Apr 2023 04:22","1526","25:26","Team A","No Sorry","Phantom Lancer  Enchantress  Underlord  Winter Wyvern  Monkey King","cybercats","Puck  Beastmaster  Lifestealer  Chen  Skywrath Mage","Team B"
"7126640287","15251","26 Apr 2023 06:40","3014","50:14","Team A","INVICTUS GAMING","Storm Spirit  Pugna  Luna  Visage  Monkey King","Shopify Rebellion","Leshrac  Doom  Io  Skywrath Mage  Terrorblade","Team B"
"7126704159","15136","26 Apr 2023 07:33","1311","21:51","Team B","NoPing Esports","Riki  Death Prophet  Pugna  Bounty Hunter  Medusa","noMERCY","Phantom Lancer  Batrider  Doom  Disruptor  Skywrath Mage","Team A"
"7126861027","15251","26 Apr 2023 09:27","2464","41:04","Team B","Shopify Rebellion","Crystal Maiden  Phantom Assassin  Leshrac  Techies  Underlord","Team Spirit","Riki  Chen  Slark  Magnus  Skywrath Mage","Team B"
"7126982132","15267","26 Apr 2023 11:24","2981","49:41","Team A","Vivo Keyd Stars","Enigma  Enchantress  Batrider  Slark  Earth Spirit","Infamous Gaming","Puck  Disruptor  Naga Siren  Skywrath Mage  Underlord","Team B"
"7126995270","15087","26 Apr 2023 11:47","1761","29:21","Team A","Ravens","Templar Assassin  Doom  Disruptor  Timbersaw  Earth Spirit","CDUB Esports","Wraith King  Alchemist  Skywrath Mage  Legion Commander  Dawnbreaker","Team B"
