"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7117336146","15126","21 Apr 2023 02:04","2462","41:02","Team B","UD VESSUWAN","Crystal Maiden  Storm Spirit  Lifestealer  Bounty Hunter  Marci","Team Tough","Death Prophet  Templar Assassin  Enchantress  Earth Spirit  Primal Beast","Team A"
"7118748043","15128","22 Apr 2023 05:04","1655","27:35","Team B","Outsiders From CN","Storm Spirit  Death Prophet  Clockwerk  Disruptor  Naga Siren","We Own","Templar Assassin  Bounty Hunter  Ancient Apparition  Rubick  Dawnbreaker","Team A"
"7119260537","15128","22 Apr 2023 11:48","2216","36:56","Team B","Hashtag.Reaper","Phantom Lancer  Storm Spirit  Vengeful Spirit  Skywrath Mage  Legion Commander","UD VESSUWAN","Bounty Hunter  Chen  Lone Druid  Tusk  Pangolier","Team B"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team B","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","Team B"
"7120502848","15136","22 Apr 2023 11:30","1802","30:02","Team A","x5 Gaming","Phantom Lancer  Storm Spirit  Skywrath Mage  Legion Commander  Dawnbreaker","NoLimitsGaming","Crystal Maiden  Batrider  Tusk  Underlord  Monkey King","Team A"
"7120769506","15128","23 Apr 2023 05:11","1395","23:15","Team B","Dino Esports","Bloodseeker  Storm Spirit  Bounty Hunter  Disruptor  Primal Beast","MIRACLE ESPORT","Crystal Maiden  Nature's Prophet  Night Stalker  Hoodwink  Snapfire","Team A"
"7120797930","15141","23 Apr 2023 05:58","2038","33:58","Team A","Holy Grail","Mirana  Storm Spirit  Chen  Monkey King  Primal Beast","Supernova","Sven  Tidehunter  Phoenix  Pangolier  Muerta","Team B"
"7121224967","15128","23 Apr 2023 11:53","1921","32:01","Team A","We Own","Storm Spirit  Templar Assassin  Chen  Doom  Earth Spirit","UD VESSUWAN","Viper  Enchantress  Lone Druid  Tusk  Pangolier","Team B"
"7121841047","14691","23 Apr 2023 05:10","1685","28:05","Team B","Ionut Cercel","Storm Spirit  Riki  Clockwerk  Io  Slark","Unity Esports","Tiny  Broodmother  Bounty Hunter  Rubick  Terrorblade","Team B"
"7122163122","15196","23 Apr 2023 08:29","1705","28:25","Team A","Team Liquid","Crystal Maiden  Storm Spirit  Sven  Rubick  Underlord","Gaimin Gladiators","Queen of Pain  Disruptor  Centaur Warrunner  Monkey King  Dark Willow","Team A"
"7122467503","15267","24 Apr 2023 12:50","2801","46:41","Team A","Balrogs Esports™","Crystal Maiden  Storm Spirit  Templar Assassin  Underlord  Primal Beast","Hokori","Batrider  Disruptor  Tusk  Terrorblade  Muerta","Team A"
"7122476857","15087","24 Apr 2023 12:56","1789","29:49","Team A","TiltedBoys","Storm Spirit  Doom  Ursa  Disruptor  Hoodwink","CDUB Esports","Wraith King  Clockwerk  Ancient Apparition  Legion Commander  Muerta","Team B"
"7122593344","15267","24 Apr 2023 04:11","1903","31:43","Team A","Thunder Awaken","Storm Spirit  Disruptor  Bristleback  Earth Spirit  Monkey King","Mad Kings Esports","Beastmaster  Jakiro  Alchemist  Rubick  Muerta","Team A"
