"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7117336146","15126","21 Apr 2023 02:04","2462","41:02","Team A","Team Tough","Death Prophet  Templar Assassin  Enchantress  Earth Spirit  Primal Beast","UD VESSUWAN","Crystal Maiden  Storm Spirit  Lifestealer  Bounty Hunter  Marci","Team B"
"7118748043","15128","22 Apr 2023 05:04","1655","27:35","Team A","We Own","Templar Assassin  Bounty Hunter  Ancient Apparition  Rubick  Dawnbreaker","Outsiders From CN","Storm Spirit  Death Prophet  Clockwerk  Disruptor  Naga Siren","Team B"
"7119260537","15128","22 Apr 2023 11:48","2216","36:56","Team A","UD VESSUWAN","Bounty Hunter  Chen  Lone Druid  Tusk  Pangolier","Hashtag.Reaper","Phantom Lancer  Storm Spirit  Vengeful Spirit  Skywrath Mage  Legion Commander","Team A"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team A","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","Team A"
"7120502848","15136","22 Apr 2023 11:30","1802","30:02","Team B","NoLimitsGaming","Crystal Maiden  Batrider  Tusk  Underlord  Monkey King","x5 Gaming","Phantom Lancer  Storm Spirit  Skywrath Mage  Legion Commander  Dawnbreaker","Team B"
"7120769506","15128","23 Apr 2023 05:11","1395","23:15","Team A","MIRACLE ESPORT","Crystal Maiden  Nature's Prophet  Night Stalker  Hoodwink  Snapfire","Dino Esports","Bloodseeker  Storm Spirit  Bounty Hunter  Disruptor  Primal Beast","Team B"
"7120797930","15141","23 Apr 2023 05:58","2038","33:58","Team B","Supernova","Sven  Tidehunter  Phoenix  Pangolier  Muerta","Holy Grail","Mirana  Storm Spirit  Chen  Monkey King  Primal Beast","Team A"
"7121224967","15128","23 Apr 2023 11:53","1921","32:01","Team B","UD VESSUWAN","Viper  Enchantress  Lone Druid  Tusk  Pangolier","We Own","Storm Spirit  Templar Assassin  Chen  Doom  Earth Spirit","Team A"
"7121841047","14691","23 Apr 2023 05:10","1685","28:05","Team A","Unity Esports","Tiny  Broodmother  Bounty Hunter  Rubick  Terrorblade","Ionut Cercel","Storm Spirit  Riki  Clockwerk  Io  Slark","Team A"
"7122163122","15196","23 Apr 2023 08:29","1705","28:25","Team B","Gaimin Gladiators","Queen of Pain  Disruptor  Centaur Warrunner  Monkey King  Dark Willow","Team Liquid","Crystal Maiden  Storm Spirit  Sven  Rubick  Underlord","Team B"
"7122467503","15267","24 Apr 2023 12:50","2801","46:41","Team B","Hokori","Batrider  Disruptor  Tusk  Terrorblade  Muerta","Balrogs Esports™","Crystal Maiden  Storm Spirit  Templar Assassin  Underlord  Primal Beast","Team B"
"7122476857","15087","24 Apr 2023 12:56","1789","29:49","Team B","CDUB Esports","Wraith King  Clockwerk  Ancient Apparition  Legion Commander  Muerta","TiltedBoys","Storm Spirit  Doom  Ursa  Disruptor  Hoodwink","Team A"
"7122593344","15267","24 Apr 2023 04:11","1903","31:43","Team B","Mad Kings Esports","Beastmaster  Jakiro  Alchemist  Rubick  Muerta","Thunder Awaken","Storm Spirit  Disruptor  Bristleback  Earth Spirit  Monkey King","Team B"
"7122935447","14691","24 Apr 2023 11:19","1784","29:44","Team A","IVY","Anti-Mage  Enchantress  Alchemist  Rubick  Void Spirit","Luna Galaxy","Mirana  Storm Spirit  Ancient Apparition  Doom  Meepo","Team B"
"7123030776","15138","24 Apr 2023 12:59","1567","26:07","Team A","UALEIKUMNIHAO","Necrophos  Warlock  Queen of Pain  Doom  Alchemist","YNT","Crystal Maiden  Phantom Lancer  Storm Spirit  Skywrath Mage  Primal Beast","Team A"
"7123923335","15087","24 Apr 2023 09:53","4441","1:14:01","Team B","TiltedBoys","Phantom Lancer  Beastmaster  Disruptor  Ember Spirit  Snapfire","Ravens","Storm Spirit  Templar Assassin  Nature's Prophet  Undying  Earth Spirit","Team B"
"7123937766","15267","24 Apr 2023 10:00","3663","1:01:03","Team B","Ravens","Shadow Fiend  Tiny  Clockwerk  Doom  Rubick","Infamous Gaming","Mirana  Storm Spirit  Dark Seer  Nyx Assassin  Monkey King","Team B"
"7124188537","15267","25 Apr 2023 03:51","2162","36:02","Team A","Mad Kings Esports","Enchantress  Legion Commander  Ember Spirit  Terrorblade  Snapfire","Hokori","Storm Spirit  Tidehunter  Disruptor  Slark  Hoodwink","Team A"
"7124892177","15138","25 Apr 2023 04:08","2736","45:36","Team A","UALEIKUMNIHAO","Windranger  Viper  Jakiro  Alchemist  Treant Protector","cybercats","Bloodseeker  Storm Spirit  Lich  Rubick  Underlord","Team A"
"7125171264","15138","25 Apr 2023 06:41","1494","24:54","Team A","NAVI Junior","Mirana  Phantom Lancer  Riki  Jakiro  Underlord","Team Sexy","Crystal Maiden  Storm Spirit  Beastmaster  Keeper of the Light  Bristleback","Team B"
"7125372580","15088","25 Apr 2023 08:55","1996","33:16","Team A","Old G","Lifestealer  Enchantress  Nyx Assassin  Void Spirit  Snapfire","Alliance","Crystal Maiden  Storm Spirit  Rubick  Underlord  Terrorblade","Team B"
"7125542217","15267","25 Apr 2023 11:24","2919","48:39","Team B","Hokori","Drow Ranger  Beastmaster  Undying  Tusk  Techies","Thunder Awaken","Bloodseeker  Storm Spirit  Rubick  Disruptor  Underlord","Team A"
"7125771403","15128","26 Apr 2023 05:52","1791","29:51","Team A","MIRACLE ESPORT","Omniknight  Jakiro  Tusk  Legion Commander  Muerta","Outsiders From CN","Storm Spirit  Riki  Bounty Hunter  Slark  Skywrath Mage","Team B"
"7125857500","15126","26 Apr 2023 08:00","1653","27:33","Team B","BOOM Esports","Puck  Enchantress  Bounty Hunter  Disruptor  Muerta","UD VESSUWAN","Crystal Maiden  Storm Spirit  Lifestealer  Tusk  Dawnbreaker","Team A"
"7126054805","15251","26 Apr 2023 12:00","1946","32:26","Team B","BetBoom Team","Crystal Maiden  Death Prophet  Dragon Knight  Bounty Hunter  Ursa","Team Aster","Bloodseeker  Storm Spirit  Rubick  Io  Underlord","Team B"
"7126132755","15251","26 Apr 2023 01:17","2786","46:26","Team B","Execration","Crystal Maiden  Mirana  Templar Assassin  Ember Spirit  Underlord","PSG.LGD","Storm Spirit  Chen  Ursa  Rubick  Pangolier","Team B"
