"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116943970","15126","21 Apr 2023 10:00","1223","20:23","Team B","Vision","Disruptor  Visage  Terrorblade  Marci  Primal Beast","BOOM Esports","Earthshaker  Beastmaster  Templar Assassin  Enchantress  Bounty Hunter","Team B"
"7117906782","15088","21 Apr 2023 06:08","2499","41:39","Team B","ITB.Shuffle","Mirana  Clockwerk  Ancient Apparition  Terrorblade  Primal Beast","IVY","Morphling  Windranger  Queen of Pain  Enchantress  Doom","Team A"
"7118295482","15088","21 Apr 2023 09:18","3411","56:51","Team B","Luna Galaxy","Clockwerk  Outworld Devourer  Rubick  Legion Commander  Terrorblade","Old G","Mirana  Leshrac  Bounty Hunter  Naga Siren  Timbersaw","Team B"
"7118527355","15088","22 Apr 2023 12:17","3407","56:47","Team B","Luna Galaxy","Mirana  Death Prophet  Clockwerk  Doom  Terrorblade","Old G","Faceless Void  Dragon Knight  Enchantress  Monkey King  Snapfire","Team A"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team A","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","Team A"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team A","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Team B"
"7119100049","15141","22 Apr 2023 10:13","2048","34:08","Team A","Piggy Killer","Venomancer  Enchantress  Doom  Terrorblade  Dark Willow","Holy Grail","Bane  Sand King  Wraith King  Death Prophet  Earth Spirit","Team A"
"7119885413","15196","22 Apr 2023 05:22","3604","1:00:04","Team A","Tundra Esports","Bounty Hunter  Abaddon  Legion Commander  Techies  Terrorblade","Shopify Rebellion","Mirana  Enigma  Batrider  Spirit Breaker  Muerta","Team B"
"7120196116","15196","22 Apr 2023 08:12","4600","1:16:40","Team B","Gaimin Gladiators","Templar Assassin  Enchantress  Doom  Disruptor  Terrorblade","Team Liquid","Necrophos  Chen  Dark Willow  Void Spirit  Muerta","Team B"
"7121064365","15126","23 Apr 2023 10:00","2499","41:39","Team A","Myth Avenue Gaming","Riki  Clockwerk  Jakiro  Keeper of the Light  Terrorblade","Vision","Batrider  Undying  Earth Spirit  Arc Warden  Snapfire","Team B"
"7121657776","15088","23 Apr 2023 03:52","4677","1:17:57","Team B","Team Secret","Beastmaster  Death Prophet  Silencer  Rubick  Terrorblade","IVY","Drow Ranger  Mirana  Dark Seer  Ember Spirit  Snapfire","Team B"
"7121841047","14691","23 Apr 2023 05:10","1685","28:05","Team A","Unity Esports","Tiny  Broodmother  Bounty Hunter  Rubick  Terrorblade","Ionut Cercel","Storm Spirit  Riki  Clockwerk  Io  Slark","Team A"
"7121895328","15196","23 Apr 2023 05:52","2147","35:47","Team B","Gaimin Gladiators","Mirana  Sniper  Dragon Knight  Undying  Terrorblade","Team Liquid","Sven  Necrophos  Chen  Rubick  Underlord","Team B"
"7122001867","15088","23 Apr 2023 06:46","2285","38:05","Team A","Luna Galaxy","Kunkka  Enchantress  Magnus  Terrorblade  Oracle","Ancient Tribe","Mirana  Viper  Alchemist  Shadow Demon  Primal Beast","Team B"
"7122413888","15088","23 Apr 2023 11:38","4077","1:07:57","Team B","ITB.Shuffle","Death Prophet  Rubick  Ember Spirit  Terrorblade  Monkey King","Old G","Viper  Alchemist  Disruptor  Keeper of the Light  Legion Commander","Team B"
"7122467503","15267","24 Apr 2023 12:50","2801","46:41","Team B","Hokori","Batrider  Disruptor  Tusk  Terrorblade  Muerta","Balrogs Esports™","Crystal Maiden  Storm Spirit  Templar Assassin  Underlord  Primal Beast","Team B"
