"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116943970","15126","21 Apr 2023 10:00","1223","20:23","Team A","BOOM Esports","Earthshaker  Beastmaster  Templar Assassin  Enchantress  Bounty Hunter","Vision","Disruptor  Visage  Terrorblade  Marci  Primal Beast","Team A"
"7117906782","15088","21 Apr 2023 06:08","2499","41:39","Team A","IVY","Morphling  Windranger  Queen of Pain  Enchantress  Doom","ITB.Shuffle","Mirana  Clockwerk  Ancient Apparition  Terrorblade  Primal Beast","Team B"
"7118295482","15088","21 Apr 2023 09:18","3411","56:51","Team A","Old G","Mirana  Leshrac  Bounty Hunter  Naga Siren  Timbersaw","Luna Galaxy","Clockwerk  Outworld Devourer  Rubick  Legion Commander  Terrorblade","Team A"
"7118527355","15088","22 Apr 2023 12:17","3407","56:47","Team A","Old G","Faceless Void  Dragon Knight  Enchantress  Monkey King  Snapfire","Luna Galaxy","Mirana  Death Prophet  Clockwerk  Doom  Terrorblade","Team B"
"7118839686","15141","22 Apr 2023 06:44","1997","33:17","Team B","iG.Vitality","Dazzle  Alchemist  Monkey King  Pangolier  Snapfire","孤独摇滚","Mirana  Weaver  Tusk  Ember Spirit  Terrorblade","Team B"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team B","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","Team A"
"7119100049","15141","22 Apr 2023 10:13","2048","34:08","Team B","Holy Grail","Bane  Sand King  Wraith King  Death Prophet  Earth Spirit","Piggy Killer","Venomancer  Enchantress  Doom  Terrorblade  Dark Willow","Team B"
"7119885413","15196","22 Apr 2023 05:22","3604","1:00:04","Team B","Shopify Rebellion","Mirana  Enigma  Batrider  Spirit Breaker  Muerta","Tundra Esports","Bounty Hunter  Abaddon  Legion Commander  Techies  Terrorblade","Team A"
"7120196116","15196","22 Apr 2023 08:12","4600","1:16:40","Team A","Team Liquid","Necrophos  Chen  Dark Willow  Void Spirit  Muerta","Gaimin Gladiators","Templar Assassin  Enchantress  Doom  Disruptor  Terrorblade","Team A"
"7121064365","15126","23 Apr 2023 10:00","2499","41:39","Team B","Vision","Batrider  Undying  Earth Spirit  Arc Warden  Snapfire","Myth Avenue Gaming","Riki  Clockwerk  Jakiro  Keeper of the Light  Terrorblade","Team A"
"7121657776","15088","23 Apr 2023 03:52","4677","1:17:57","Team A","IVY","Drow Ranger  Mirana  Dark Seer  Ember Spirit  Snapfire","Team Secret","Beastmaster  Death Prophet  Silencer  Rubick  Terrorblade","Team A"
"7121841047","14691","23 Apr 2023 05:10","1685","28:05","Team B","Ionut Cercel","Storm Spirit  Riki  Clockwerk  Io  Slark","Unity Esports","Tiny  Broodmother  Bounty Hunter  Rubick  Terrorblade","Team B"
"7121895328","15196","23 Apr 2023 05:52","2147","35:47","Team A","Team Liquid","Sven  Necrophos  Chen  Rubick  Underlord","Gaimin Gladiators","Mirana  Sniper  Dragon Knight  Undying  Terrorblade","Team A"
"7122001867","15088","23 Apr 2023 06:46","2285","38:05","Team B","Ancient Tribe","Mirana  Viper  Alchemist  Shadow Demon  Primal Beast","Luna Galaxy","Kunkka  Enchantress  Magnus  Terrorblade  Oracle","Team A"
"7122413888","15088","23 Apr 2023 11:38","4077","1:07:57","Team A","Old G","Viper  Alchemist  Disruptor  Keeper of the Light  Legion Commander","ITB.Shuffle","Death Prophet  Rubick  Ember Spirit  Terrorblade  Monkey King","Team A"
"7122467503","15267","24 Apr 2023 12:50","2801","46:41","Team A","Balrogs Esports™","Crystal Maiden  Storm Spirit  Templar Assassin  Underlord  Primal Beast","Hokori","Batrider  Disruptor  Tusk  Terrorblade  Muerta","Team A"
"7122834589","15141","24 Apr 2023 09:34","5068","1:24:28","Team A","Big brain","Mirana  Spectre  Doom  Ogre Magi  Void Spirit","Team Bright","Clockwerk  Leshrac  Weaver  Brewmaster  Terrorblade","Team B"
"7124188537","15267","25 Apr 2023 03:51","2162","36:02","Team B","Hokori","Storm Spirit  Tidehunter  Disruptor  Slark  Hoodwink","Mad Kings Esports","Enchantress  Legion Commander  Ember Spirit  Terrorblade  Snapfire","Team B"
"7124774067","14691","25 Apr 2023 03:05","3209","53:29","Team A","KZ TEAM","Mirana  Shadow Fiend  Viper  Rubick  Centaur Warrunner","Ancient Tribe","Crystal Maiden  Death Prophet  Visage  Terrorblade  Monkey King","Team B"
"7124965163","14691","25 Apr 2023 04:42","3596","59:56","Team B","Luna Galaxy","Bane  Mirana  Phantom Lancer  Riki  Doom","Please dont gank my carry","Puck  Disruptor  Timbersaw  Terrorblade  Oracle","Team A"
"7125372580","15088","25 Apr 2023 08:55","1996","33:16","Team A","Old G","Lifestealer  Enchantress  Nyx Assassin  Void Spirit  Snapfire","Alliance","Crystal Maiden  Storm Spirit  Rubick  Underlord  Terrorblade","Team B"
"7125457650","15088","25 Apr 2023 09:59","2686","44:46","Team A","Old G","Omniknight  Ursa  Alchemist  Rubick  Phoenix","Alliance","Crystal Maiden  Silencer  Centaur Warrunner  Terrorblade  Void Spirit","Team B"
"7126048768","15251","26 Apr 2023 12:00","2360","39:20","Team A","9Pandas","Puck  Doom  Alchemist  Techies  Phoenix","TSM","Dazzle  Nyx Assassin  Underlord  Terrorblade  Void Spirit","Team A"
"7126057061","15138","26 Apr 2023 12:02","2150","35:50","Team A","Moneymakers","Puck  Doom  Slark  Techies  Phoenix","NAVI Junior","Riki  Beastmaster  Rubick  Terrorblade  Oracle","Team B"
"7126226626","15251","26 Apr 2023 02:30","1916","31:56","Team B","Team Liquid","Night Stalker  Batrider  Disruptor  Nyx Assassin  Monkey King","Team Aster","Storm Spirit  Beastmaster  Pugna  Clockwerk  Terrorblade","Team B"
"7126493702","14691","26 Apr 2023 05:05","2864","47:44","Team B","Ancient Tribe","Mirana  Alchemist  Keeper of the Light  Medusa  Primal Beast","Please dont gank my carry","Windranger  Doom  Rubick  Terrorblade  Mars","Team B"
"7126508226","15251","26 Apr 2023 05:16","2085","34:45","Team A","Team Spirit","Leshrac  Night Stalker  Rubick  Io  Magnus","Tundra Esports","Crystal Maiden  Beastmaster  Keeper of the Light  Terrorblade  Pangolier","Team B"
"7126640287","15251","26 Apr 2023 06:40","3014","50:14","Team A","INVICTUS GAMING","Storm Spirit  Pugna  Luna  Visage  Monkey King","Shopify Rebellion","Leshrac  Doom  Io  Skywrath Mage  Terrorblade","Team B"
"7126848955","15251","26 Apr 2023 09:19","2148","35:48","Team A","INVICTUS GAMING","Morphling  Shadow Fiend  Nyx Assassin  Io  Primal Beast","Tundra Esports","Storm Spirit  Bounty Hunter  Keeper of the Light  Underlord  Terrorblade","Team B"
"7126899831","15136","26 Apr 2023 10:02","3228","53:48","Team B","Lava Esports","Silencer  Rubick  Monkey King  Pangolier  Void Spirit","x5 Gaming","Puck  Lion  Bounty Hunter  Doom  Terrorblade","Team A"
"7127035759","15087","27 Apr 2023 12:47","2562","42:42","Team B","The Oversight","Mirana  Riki  Venomancer  Pugna  Void Spirit","The Cut","Storm Spirit  Rubick  Io  Terrorblade  Primal Beast","Team B"
"7127293328","15128","27 Apr 2023 08:06","2214","36:54","Team A","Manta Esports","Puck  Templar Assassin  Doom  Silencer  Tusk","Outsiders From CN","Meepo  Rubick  Disruptor  Terrorblade  Dawnbreaker","Team B"
"7127481717","15251","27 Apr 2023 12:00","2700","45:00","Team A","Gaimin Gladiators","Drow Ranger  Dragon Knight  Enchantress  Doom  Skywrath Mage","BetBoom Team","Storm Spirit  Beastmaster  Pugna  Undying  Terrorblade","Team B"
"7127536763","15251","27 Apr 2023 01:00","2183","36:23","Team A","Evil Geniuses","Luna  Disruptor  Skywrath Mage  Legion Commander  Mars","PSG.LGD","Alchemist  Brewmaster  Undying  Rubick  Terrorblade","Team B"
"7127562163","15251","27 Apr 2023 01:25","1550","25:50","Team B","Execration","Kunkka  Undying  Disruptor  Underlord  Muerta","Team Aster","Bloodseeker  Storm Spirit  Rubick  Io  Terrorblade","Team B"
"7127659623","15251","27 Apr 2023 02:33","1885","31:25","Team B","Team Liquid","Dark Seer  Doom  Alchemist  Slark  Skywrath Mage","BetBoom Team","Pudge  Necrophos  Venomancer  Undying  Terrorblade","Team A"
"7128263914","15251","27 Apr 2023 09:11","991","16:31","Team A","beastcoast","Alchemist  Disruptor  Troll Warlord  Earth Spirit  Snapfire","Shopify Rebellion","Crystal Maiden  Rubick  Timbersaw  Underlord  Terrorblade","Team B"
"7128898528","15251","28 Apr 2023 12:00","1710","28:30","Team B","Team Aster","Crystal Maiden  Queen of Pain  Io  Legion Commander  Monkey King","Gaimin Gladiators","Doom  Rubick  Keeper of the Light  Ember Spirit  Terrorblade","Team B"
"7129095661","15251","28 Apr 2023 02:30","2830","47:10","Team B","PSG.LGD","Clockwerk  Batrider  Disruptor  Magnus  Muerta","Team Aster","Doom  Rubick  Keeper of the Light  Ember Spirit  Terrorblade","Team B"
"7129187672","15251","28 Apr 2023 03:29","1693","28:13","Team A","Team Liquid","Shadow Fiend  Chen  Alchemist  Skywrath Mage  Pangolier","Gaimin Gladiators","Bloodseeker  Leshrac  Spirit Breaker  Io  Terrorblade","Team B"
"7129213537","15251","28 Apr 2023 03:48","2148","35:48","Team B","PSG.LGD","Beastmaster  Clockwerk  Keeper of the Light  Primal Beast  Muerta","Team Aster","Queen of Pain  Pugna  Doom  Rubick  Terrorblade","Team A"
"7129400559","15251","28 Apr 2023 05:29","1226","20:26","Team A","Shopify Rebellion","Crystal Maiden  Templar Assassin  Rubick  Ember Spirit  Underlord","Team SMG","Storm Spirit  Vengeful Spirit  Beastmaster  Keeper of the Light  Terrorblade","Team A"
"7129470801","15251","28 Apr 2023 06:18","1265","21:05","Team B","Team SMG","Death Prophet  Disruptor  Slark  Earth Spirit  Muerta","Shopify Rebellion","Beastmaster  Rubick  Keeper of the Light  Terrorblade  Pangolier","Team B"
"7129509548","15251","28 Apr 2023 06:38","2056","34:16","Team B","Xtreme Gaming","Alchemist  Brewmaster  Disruptor  Tusk  Muerta","beastcoast","Tiny  Lich  Doom  Keeper of the Light  Terrorblade","Team B"
"7129627498","15251","28 Apr 2023 07:55","2230","37:10","Team A","INVICTUS GAMING","Crystal Maiden  Ursa  Alchemist  Keeper of the Light  Ember Spirit","Xtreme Gaming","Tiny  Rubick  Underlord  Terrorblade  Phoenix","Team A"
"7129627620","15251","28 Apr 2023 07:55","1805","30:05","Team B","beastcoast","Anti-Mage  Crystal Maiden  Tiny  Dragon Knight  Keeper of the Light","Team Spirit","Storm Spirit  Enchantress  Ogre Magi  Skywrath Mage  Terrorblade","Team B"
"7130540882","15251","29 Apr 2023 12:00","3403","56:43","Team B","Execration","Sven  Enchantress  Doom  Disruptor  Void Spirit","BetBoom Team","Crystal Maiden  Pudge  Riki  Venomancer  Terrorblade","Team A"
"7130634268","15251","29 Apr 2023 01:12","2623","43:43","Team B","PSG.LGD","Faceless Void  Alchemist  Brewmaster  Rubick  Disruptor","Team Liquid","Crystal Maiden  Clockwerk  Dark Seer  Terrorblade  Void Spirit","Team B"
"7130760263","15251","29 Apr 2023 02:48","2228","37:08","Team B","9Pandas","Riki  Alchemist  Brewmaster  Rubick  Phoenix","Gaimin Gladiators","Doom  Silencer  Terrorblade  Pangolier  Snapfire","Team B"
"7130880883","15251","29 Apr 2023 03:57","2528","42:08","Team A","9Pandas","Axe  Storm Spirit  Chen  Alchemist  Skywrath Mage","Gaimin Gladiators","Enchantress  Keeper of the Light  Bristleback  Terrorblade  Pangolier","Team A"
"7131794070","15128","30 Apr 2023 05:02","1933","32:13","Team A","Manta Esports","Venomancer  Bounty Hunter  Disruptor  Monkey King  Primal Beast","EV GaminG","Crystal Maiden  Beastmaster  Terrorblade  Hoodwink  Void Spirit","Team B"
"7132302119","15251","30 Apr 2023 01:08","2134","35:34","Team B","Team Liquid","Storm Spirit  Beastmaster  Clockwerk  Silencer  Medusa","Evil Geniuses","Crystal Maiden  Queen of Pain  Brewmaster  Rubick  Terrorblade","Team A"
"7132446244","15251","30 Apr 2023 02:45","2333","38:53","Team B","INVICTUS GAMING","Queen of Pain  Doom  Disruptor  Elder Titan  Muerta","beastcoast","Lich  Beastmaster  Keeper of the Light  Terrorblade  Mars","Team B"
"7132583835","15251","30 Apr 2023 04:03","1984","33:04","Team B","Team Spirit","Crystal Maiden  Venomancer  Doom  Pangolier  Muerta","Talon","Pugna  Keeper of the Light  Underlord  Terrorblade  Void Spirit","Team B"
"7134272701","15251","01 May 2023 03:51","2110","35:10","Team A","Team Liquid","Witch Doctor  Alchemist  Skywrath Mage  Underlord  Muerta","OG","Tidehunter  Undying  Keeper of the Light  Terrorblade  Void Spirit","Team B"
"7135771657","15251","02 May 2023 03:35","3213","53:33","Team A","Xtreme Gaming","Drow Ranger  Lion  Lich  Doom  Ember Spirit","Team Liquid","Enchantress  Keeper of the Light  Magnus  Terrorblade  Pangolier","Team A"
"7136973650","15251","03 May 2023 12:00","1625","27:05","Team A","PSG.LGD","Tinker  Alchemist  Brewmaster  Skywrath Mage  Abaddon","Talon","Dragon Knight  Disruptor  Keeper of the Light  Magnus  Terrorblade","Team B"
"7137241978","15251","03 May 2023 03:35","2866","47:46","Team A","OG","Crystal Maiden  Windranger  Doom  Timbersaw  Techies","Gaimin Gladiators","Mirana  Beastmaster  Enchantress  Ember Spirit  Terrorblade","Team B"
"7137382709","15251","03 May 2023 04:56","1496","24:56","Team B","OG","Phantom Lancer  Dark Seer  Alchemist  Nyx Assassin  Io","Gaimin Gladiators","Crystal Maiden  Doom  Terrorblade  Oracle  Pangolier","Team B"
"7137723266","15251","03 May 2023 09:05","2821","47:01","Team B","9Pandas","Tinker  Enchantress  Bounty Hunter  Batrider  Monkey King","Tundra Esports","Crystal Maiden  Windranger  Venomancer  Underlord  Terrorblade","Team A"
"7137946329","15267","04 May 2023 01:55","2110","35:10","Team B","Infamous Gaming","Enchantress  Alchemist  Rubick  Legion Commander  Monkey King","Thunder Awaken","Disruptor  Keeper of the Light  Ember Spirit  Terrorblade  Dawnbreaker","Team B"
