"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team A","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","Team A"
"7118719303","15087","22 Apr 2023 04:37","2377","39:37","Team A","SAND KING GÓMEZ","Phantom Lancer  Gyrocopter  Legion Commander  Techies  Void Spirit","ALPHA","Crystal Maiden  Leshrac  Nyx Assassin  Slark  Ember Spirit","Team B"
"7119269951","15138","22 Apr 2023 12:06","2513","41:53","Team B","cybercats","Sand King  Io  Techies  Ember Spirit  Muerta","Nemiga Gaming","Razor  Dragon Knight  Jakiro  Rubick  Underlord","Team B"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team A","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","Team A"
"7119695715","15196","22 Apr 2023 03:52","3429","57:09","Team A","Tundra Esports","Doom  Disruptor  Naga Siren  Techies  Monkey King","Shopify Rebellion","Mirana  Puck  Alchemist  Legion Commander  Earth Spirit","Team A"
"7119885413","15196","22 Apr 2023 05:22","3604","1:00:04","Team A","Tundra Esports","Bounty Hunter  Abaddon  Legion Commander  Techies  Terrorblade","Shopify Rebellion","Mirana  Enigma  Batrider  Spirit Breaker  Muerta","Team B"
"7122346594","15088","23 Apr 2023 10:36","1921","32:01","Team B","ITB.Shuffle","Death Prophet  Clockwerk  Techies  Underlord  Dawnbreaker","Old G","Disruptor  Keeper of the Light  Legion Commander  Ember Spirit  Muerta","Team B"
"7122430711","15087","23 Apr 2023 11:56","2088","34:48","Team A","CDUB Esports","Anti-Mage  Templar Assassin  Chen  Alchemist  Techies","TiltedBoys","Axe  Necrophos  Enchantress  Rubick  Monkey King","Team A"
"7123227632","15138","24 Apr 2023 03:02","1585","26:25","Team A","No Sorry","Lich  Riki  Death Prophet  Legion Commander  Techies","Team Sexy","Windranger  Beastmaster  Viper  Luna  Chen","Team B"
"7123266745","14691","24 Apr 2023 03:30","3026","50:26","Team A","HF","Riki  Faceless Void  Enchantress  Techies  Void Spirit","Ancient Tribe","Mirana  Tiny  Jakiro  Alchemist  Primal Beast","Team B"
"7123333836","15138","24 Apr 2023 03:55","1753","29:13","Team B","No Sorry","Bloodseeker  Zeus  Beastmaster  Jakiro  Techies","Team Sexy","Lich  Enigma  Death Prophet  Alchemist  Monkey King","Team B"
