"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team B","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","Team B"
"7118719303","15087","22 Apr 2023 04:37","2377","39:37","Team B","ALPHA","Crystal Maiden  Leshrac  Nyx Assassin  Slark  Ember Spirit","SAND KING GÓMEZ","Phantom Lancer  Gyrocopter  Legion Commander  Techies  Void Spirit","Team A"
"7119269951","15138","22 Apr 2023 12:06","2513","41:53","Team A","Nemiga Gaming","Razor  Dragon Knight  Jakiro  Rubick  Underlord","cybercats","Sand King  Io  Techies  Ember Spirit  Muerta","Team A"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team B","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","Team B"
"7119695715","15196","22 Apr 2023 03:52","3429","57:09","Team B","Shopify Rebellion","Mirana  Puck  Alchemist  Legion Commander  Earth Spirit","Tundra Esports","Doom  Disruptor  Naga Siren  Techies  Monkey King","Team B"
"7119885413","15196","22 Apr 2023 05:22","3604","1:00:04","Team B","Shopify Rebellion","Mirana  Enigma  Batrider  Spirit Breaker  Muerta","Tundra Esports","Bounty Hunter  Abaddon  Legion Commander  Techies  Terrorblade","Team A"
"7122346594","15088","23 Apr 2023 10:36","1921","32:01","Team A","Old G","Disruptor  Keeper of the Light  Legion Commander  Ember Spirit  Muerta","ITB.Shuffle","Death Prophet  Clockwerk  Techies  Underlord  Dawnbreaker","Team A"
"7122430711","15087","23 Apr 2023 11:56","2088","34:48","Team B","TiltedBoys","Axe  Necrophos  Enchantress  Rubick  Monkey King","CDUB Esports","Anti-Mage  Templar Assassin  Chen  Alchemist  Techies","Team B"
"7123227632","15138","24 Apr 2023 03:02","1585","26:25","Team B","Team Sexy","Windranger  Beastmaster  Viper  Luna  Chen","No Sorry","Lich  Riki  Death Prophet  Legion Commander  Techies","Team A"
"7123266745","14691","24 Apr 2023 03:30","3026","50:26","Team B","Ancient Tribe","Mirana  Tiny  Jakiro  Alchemist  Primal Beast","HF","Riki  Faceless Void  Enchantress  Techies  Void Spirit","Team A"
"7123333836","15138","24 Apr 2023 03:55","1753","29:13","Team A","Team Sexy","Lich  Enigma  Death Prophet  Alchemist  Monkey King","No Sorry","Bloodseeker  Zeus  Beastmaster  Jakiro  Techies","Team A"
"7123686861","15138","24 Apr 2023 07:10","2598","43:18","Team A","Moneymakers","Mirana  Puck  Doom  Dark Willow  Muerta","Nemiga Gaming","Juggernaut  Lich  Riki  Techies  Primal Beast","Team A"
"7125130908","14691","25 Apr 2023 06:11","2294","38:14","Team A","Luna Galaxy","Mirana  Morphling  Bounty Hunter  Doom  Nyx Assassin","Please dont gank my carry","Alchemist  Timbersaw  Techies  Phoenix  Pangolier","Team B"
