"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team B","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","Team B"
"7117011841","15126","21 Apr 2023 10:44","1654","27:34","Team A","Vision","Crystal Maiden  Shadow Shaman  Venomancer  Timbersaw  Muerta","BOOM Esports","Shadow Fiend  Death Prophet  Bounty Hunter  Ogre Magi  Oracle","Team B"
"7118295482","15088","21 Apr 2023 09:18","3411","56:51","Team A","Old G","Mirana  Leshrac  Bounty Hunter  Naga Siren  Timbersaw","Luna Galaxy","Clockwerk  Outworld Devourer  Rubick  Legion Commander  Terrorblade","Team A"
"7118424970","15088","21 Apr 2023 10:48","3659","1:00:59","Team A","Old G","Riki  Leshrac  Ancient Apparition  Naga Siren  Timbersaw","Luna Galaxy","Bane  Sven  Tiny  Death Prophet  Underlord","Team B"
"7118795304","15128","22 Apr 2023 05:54","1343","22:23","Team A","Outsiders From CN","Shadow Fiend  Tiny  Ogre Magi  Rubick  Timbersaw","We Own","Anti-Mage  Beastmaster  Queen of Pain  Disruptor  Hoodwink","Team A"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team A","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Team B"
"7119033460","15141","22 Apr 2023 09:20","1797","29:57","Team A","Holy Grail","Templar Assassin  Keeper of the Light  Timbersaw  Abaddon  Ember Spirit","Piggy Killer","Bane  Mirana  Luna  Dragon Knight  Outworld Devourer","Team B"
"7119197773","14691","22 Apr 2023 11:09","2506","41:46","Team B","HAVU","Crystal Maiden  Dragon Knight  Naga Siren  Timbersaw  Monkey King","Ionut Cercel","Venomancer  Pugna  Clockwerk  Enchantress  Ursa","Team B"
"7119394028","15138","22 Apr 2023 01:17","1942","32:22","Team B","Nemiga Gaming","Phantom Lancer  Sand King  Chen  Timbersaw  Snapfire","cybercats","Axe  Zeus  Clockwerk  Phoenix  Muerta","Team A"
"7121331915","15126","23 Apr 2023 01:02","2329","38:49","Team A","Team Tough","Mirana  Lion  Riki  Queen of Pain  Timbersaw","SPAWN Team","Kunkka  Rubick  Naga Siren  Pangolier  Muerta","Team B"
"7121482769","14691","23 Apr 2023 02:23","2274","37:54","Team B","Unity Esports","Mirana  Phantom Lancer  Death Prophet  Spirit Breaker  Timbersaw","Luna Galaxy","Sven  Lycan  Rubick  Dark Willow  Void Spirit","Team B"
"7121740499","15196","23 Apr 2023 04:26","3134","52:14","Team B","Team Liquid","Crystal Maiden  Lich  Timbersaw  Primal Beast  Muerta","Gaimin Gladiators","Puck  Chen  Doom  Slark  Snapfire","Team B"
"7122660772","15128","24 Apr 2023 05:41","1453","24:13","Team B","MIRACLE ESPORT","Mirana  Lifestealer  Undying  Timbersaw  Ember Spirit","Team Virgo","Riki  Dragon Knight  Enchantress  Snapfire  Primal Beast","Team B"
"7122771341","15128","24 Apr 2023 08:14","2009","33:29","Team B","UD VESSUWAN","Dragon Knight  Clockwerk  Timbersaw  Snapfire  Muerta","Dino Esports","Riki  Rubick  Naga Siren  Ember Spirit  Hoodwink","Team B"
"7122855349","14691","24 Apr 2023 10:05","2563","42:43","Team B","Luna Galaxy","Bane  Bounty Hunter  Alchemist  Lycan  Timbersaw","IVY","Mirana  Silencer  Centaur Warrunner  Ember Spirit  Muerta","Team A"
"7122859797","15128","24 Apr 2023 10:02","2264","37:44","Team A","UD VESSUWAN","Morphling  Puck  Chen  Timbersaw  Tusk","Manta Esports","Tiny  Beastmaster  Bounty Hunter  Rubick  Monkey King","Team A"
"7123059679","14691","24 Apr 2023 01:21","2193","36:33","Team B","HF","Phantom Lancer  Enchantress  Gyrocopter  Centaur Warrunner  Timbersaw","Ancient Tribe","Crystal Maiden  Mirana  Necrophos  Dragon Knight  Underlord","Team B"
"7123163670","14691","24 Apr 2023 02:18","2282","38:02","Team B","Ancient Tribe","Bane  Beastmaster  Rubick  Timbersaw  Muerta","HF","Mirana  Riki  Doom  Ember Spirit  Hoodwink","Team B"
"7123439106","14691","24 Apr 2023 04:58","1358","22:38","Team B","KZ TEAM","Anti-Mage  Clockwerk  Timbersaw  Tusk  Skywrath Mage","IVY","Beastmaster  Alchemist  Silencer  Rubick  Void Spirit","Team B"
"7123587850","15138","24 Apr 2023 06:04","2353","39:13","Team B","Moneymakers","Invoker  Disruptor  Naga Siren  Timbersaw  Primal Beast","Nemiga Gaming","Death Prophet  Clockwerk  Dark Seer  Bounty Hunter  Muerta","Team B"
"7124467022","15128","25 Apr 2023 10:10","1788","29:48","Team B","UD VESSUWAN","Rubick  Slark  Timbersaw  Ember Spirit  Hoodwink","Team Virgo","Mirana  Luna  Dragon Knight  Clockwerk  Muerta","Team A"
"7124513799","15128","25 Apr 2023 10:58","1418","23:38","Team A","UD VESSUWAN","Enchantress  Jakiro  Lycan  Timbersaw  Ember Spirit","Team Virgo","Mirana  Razor  Dragon Knight  Tusk  Dawnbreaker","Team A"
"7124698067","14691","25 Apr 2023 02:15","1448","24:08","Team A","Ancient Tribe","Crystal Maiden  Mirana  Tiny  Alchemist  Timbersaw","KZ TEAM","Pugna  Dark Seer  Chen  Nyx Assassin  Monkey King","Team B"
"7124965163","14691","25 Apr 2023 04:42","3596","59:56","Team A","Please dont gank my carry","Puck  Disruptor  Timbersaw  Terrorblade  Oracle","Luna Galaxy","Bane  Mirana  Phantom Lancer  Riki  Doom","Team B"
"7125130908","14691","25 Apr 2023 06:11","2294","38:14","Team B","Please dont gank my carry","Alchemist  Timbersaw  Techies  Phoenix  Pangolier","Luna Galaxy","Mirana  Morphling  Bounty Hunter  Doom  Nyx Assassin","Team A"
"7125434145","14691","25 Apr 2023 09:39","2157","35:57","Team A","Ionut Cercel","Crystal Maiden  Clockwerk  Naga Siren  Timbersaw  Muerta","KZ TEAM","Shadow Fiend  Enigma  Gyrocopter  Slark  Primal Beast","Team A"
"7125908839","15128","26 Apr 2023 09:09","1363","22:43","Team A","EV GaminG","Pudge  Dragon Knight  Enchantress  Meepo  Timbersaw","We Own","Tiny  Necrophos  Chen  Outworld Devourer  Muerta","Team A"
"7126205270","15138","26 Apr 2023 02:13","2322","38:42","Team B","NAVI Junior","Mirana  Dragon Knight  Naga Siren  Timbersaw  Skywrath Mage","Moneymakers","Bloodseeker  Beastmaster  Dazzle  Alchemist  Rubick","Team A"
"7126249762","15251","26 Apr 2023 02:44","2200","36:40","Team B","TSM","Crystal Maiden  Sven  Chen  Timbersaw  Void Spirit","BetBoom Team","Phantom Lancer  Pudge  Enchantress  Jakiro  Ember Spirit","Team B"
"7126500262","15251","26 Apr 2023 05:15","1967","32:47","Team B","INVICTUS GAMING","Nyx Assassin  Troll Warlord  Timbersaw  Ember Spirit  Snapfire","Shopify Rebellion","Storm Spirit  Luna  Brewmaster  Disruptor  Io","Team B"
"7126722114","15251","26 Apr 2023 07:51","2651","44:11","Team B","Xtreme Gaming","Storm Spirit  Sven  Lion  Io  Timbersaw","OG","Templar Assassin  Disruptor  Underlord  Dark Willow  Void Spirit","Team B"
"7126734257","15251","26 Apr 2023 07:51","2166","36:06","Team B","Team SMG","Mirana  Kunkka  Venomancer  Luna  Timbersaw","beastcoast","Viper  Dragon Knight  Nyx Assassin  Naga Siren  Oracle","Team A"
"7126995270","15087","26 Apr 2023 11:47","1761","29:21","Team A","Ravens","Templar Assassin  Doom  Disruptor  Timbersaw  Earth Spirit","CDUB Esports","Wraith King  Alchemist  Skywrath Mage  Legion Commander  Dawnbreaker","Team B"
"7127545248","14691","27 Apr 2023 01:04","1989","33:09","Team A","Luna Galaxy","Lich  Bounty Hunter  Slark  Timbersaw  Void Spirit","KZ TEAM","Morphling  Storm Spirit  Beastmaster  Clockwerk  Nyx Assassin","Team A"
"7128062737","15251","27 Apr 2023 06:42","2163","36:03","Team B","Team SMG","Crystal Maiden  Mirana  Kunkka  Slark  Timbersaw","INVICTUS GAMING","Phantom Lancer  Disruptor  Keeper of the Light  Ember Spirit  Underlord","Team A"
"7128263914","15251","27 Apr 2023 09:11","991","16:31","Team B","Shopify Rebellion","Crystal Maiden  Rubick  Timbersaw  Underlord  Terrorblade","beastcoast","Alchemist  Disruptor  Troll Warlord  Earth Spirit  Snapfire","Team A"
"7128280383","15251","27 Apr 2023 09:25","2285","38:05","Team A","OG","Crystal Maiden  Phantom Assassin  Leshrac  Io  Timbersaw","Talon","Beastmaster  Omniknight  Enchantress  Alchemist  Silencer","Team A"
"7129243307","14691","28 Apr 2023 04:02","2398","39:58","Team A","Luna Galaxy","Mirana  Silencer  Meepo  Timbersaw  Void Spirit","Please dont gank my carry","Storm Spirit  Tidehunter  Luna  Io  Techies","Team A"
"7129384529","15251","28 Apr 2023 05:27","1656","27:36","Team A","INVICTUS GAMING","Morphling  Tiny  Chen  Timbersaw  Ember Spirit","OG","Crystal Maiden  Necrophos  Ursa  Alchemist  Keeper of the Light","Team B"
"7129488931","15251","28 Apr 2023 06:26","2961","49:21","Team B","INVICTUS GAMING","Storm Spirit  Pugna  Disruptor  Timbersaw  Monkey King","OG","Phantom Lancer  Silencer  Nyx Assassin  Keeper of the Light  Ember Spirit","Team A"
"7129558832","14691","28 Apr 2023 07:07","2984","49:44","Team A","Please dont gank my carry","Alchemist  Undying  Disruptor  Timbersaw  Pangolier","Luna Galaxy","Sven  Death Prophet  Silencer  Nyx Assassin  Underlord","Team A"
"7129645840","15251","28 Apr 2023 08:04","2950","49:10","Team A","OG","Earthshaker  Weaver  Doom  Timbersaw  Techies","Tundra Esports","Beastmaster  Dragon Knight  Enchantress  Keeper of the Light  Medusa","Team B"
"7129716105","15251","28 Apr 2023 09:02","2528","42:08","Team A","INVICTUS GAMING","Anti-Mage  Death Prophet  Disruptor  Keeper of the Light  Timbersaw","Xtreme Gaming","Mirana  Storm Spirit  Slardar  Alchemist  Phoenix","Team B"
"7129716226","15251","28 Apr 2023 08:59","2032","33:52","Team A","beastcoast","Crystal Maiden  Rubick  Troll Warlord  Timbersaw  Tusk","Team Spirit","Axe  Phantom Lancer  Riki  Chen  Disruptor","Team B"
"7130158541","15128","29 Apr 2023 05:41","1403","23:23","Team A","EV GaminG","Ursa  Nyx Assassin  Timbersaw  Snapfire  Muerta","Outsiders From CN","Pugna  Alchemist  Underlord  Phoenix  Void Spirit","Team B"
"7131053213","15251","29 Apr 2023 05:39","1784","29:44","Team B","Team SMG","Crystal Maiden  Mirana  Templar Assassin  Dragon Knight  Timbersaw","Team Spirit","Tiny  Doom  Shadow Demon  Slark  Skywrath Mage","Team B"
"7131889760","15128","30 Apr 2023 07:04","1837","30:37","Team A","EV GaminG","Storm Spirit  Bounty Hunter  Rubick  Naga Siren  Timbersaw","Team Tough","Alchemist  Keeper of the Light  Techies  Underlord  Pangolier","Team A"
"7137034774","15251","03 May 2023 12:58","4400","1:13:20","Team B","PSG.LGD","Sven  Ogre Magi  Keeper of the Light  Magnus  Timbersaw","Talon","Venomancer  Disruptor  Naga Siren  Techies  Underlord","Team B"
"7137241978","15251","03 May 2023 03:35","2866","47:46","Team A","OG","Crystal Maiden  Windranger  Doom  Timbersaw  Techies","Gaimin Gladiators","Mirana  Beastmaster  Enchantress  Ember Spirit  Terrorblade","Team B"
"7137569836","15251","03 May 2023 07:05","1990","33:10","Team A","Tundra Esports","Crystal Maiden  Windranger  Wraith King  Timbersaw  Underlord","9Pandas","Tiny  Pugna  Chen  Doom  Alchemist","Team B"
"7138247568","15128","04 May 2023 10:07","3281","54:41","Team B","Team Tough","Sniper  Venomancer  Bounty Hunter  Doom  Timbersaw","Hashtag.Reaper","Crystal Maiden  Rubick  Medusa  Underlord  Void Spirit","Team B"
"7140987553","15128","06 May 2023 07:14","1343","22:23","Team A","We Own","Sven  Lich  Queen of Pain  Rubick  Timbersaw","MIRACLE ESPORT","Mirana  Necrophos  Enchantress  Slark  Monkey King","Team B"
"7146177711","15128","09 May 2023 09:18","1615","26:55","Team A","EV GaminG","Bloodseeker  Storm Spirit  Pugna  Bounty Hunter  Timbersaw","UD VESSUWAN","Tiny  Ursa  Rubick  Keeper of the Light  Underlord","Team A"
"7147262259","15268","09 May 2023 10:00","2232","37:12","Team B","Acatsuki","Drow Ranger  Doom  Ogre Magi  Disruptor  Timbersaw","Thunder Awaken","Lich  Beastmaster  Keeper of the Light  Tusk  Terrorblade","Team A"
"7147531390","15128","10 May 2023 05:09","2574","42:54","Team B","MIRACLE ESPORT","Bloodseeker  Storm Spirit  Pugna  Timbersaw  Hoodwink","Hashtag.Reaper","Crystal Maiden  Wraith King  Rubick  Underlord  Primal Beast","Team B"
"7147685941","15128","10 May 2023 09:02","3388","56:28","Team A","UD VESSUWAN","Crystal Maiden  Storm Spirit  Bounty Hunter  Medusa  Timbersaw","Manta Esports","Riki  Doom  Rubick  Terrorblade  Oracle","Team A"
"7151729097","15268","13 May 2023 12:44","1682","28:02","Team B","Universitario eSports","Phantom Lancer  Pugna  Rubick  Timbersaw  Underlord","Balrogs Esports™","Kunkka  Beastmaster  Enchantress  Keeper of the Light  Medusa","Team B"
"7154585505","15335","14 May 2023 05:07","2425","40:25","Team B","One Move","Crystal Maiden  Mirana  Doom  Slark  Timbersaw","UALEIKUMNIHAO","Enigma  Jakiro  Alchemist  Undying  Underlord","Team A"
"7155389773","15374","15 May 2023 08:03","4082","1:08:02","Team A","Team SMG","Crystal Maiden  Timbersaw  Techies  Earth Spirit  Terrorblade","Talon","Phantom Lancer  Windranger  Pugna  Underlord  Pangolier","Team B"
"7155641766","15333","15 May 2023 01:05","1294","21:34","Team B","Just_a_number","Chen  Timbersaw  Legion Commander  Ember Spirit  Oracle","Hot Headed Gaming","Crystal Maiden  Doom  Alchemist  Rubick  Void Spirit","Team B"
"7155645244","15333","15 May 2023 01:09","1594","26:34","Team B","Matreshka","Crystal Maiden  Templar Assassin  Timbersaw  Skywrath Mage  Pangolier","AlexFamily","Beastmaster  Bounty Hunter  Rubick  Ember Spirit  Muerta","Team A"
"7155663675","15374","15 May 2023 01:27","2366","39:26","Team B","BOOM Esports","Templar Assassin  Batrider  Disruptor  Timbersaw  Skywrath Mage","Blacklist Rivalry","Rubick  Keeper of the Light  Medusa  Magnus  Pangolier","Team B"
"7155889374","15347","15 May 2023 04:03","1453","24:13","Team B","Partizan","Crystal Maiden  Outworld Devourer  Rubick  Slark  Timbersaw","Trouble Makers Reborn","Bane  Magnus  Skywrath Mage  Ember Spirit  Monkey King","Team B"
"7156260357","15351","15 May 2023 08:22","1889","31:29","Team B","Quest Esports","Drow Ranger  Death Prophet  Undying  Rubick  Timbersaw","Gaimin Gladiators","Sven  Beastmaster  Silencer  Techies  Pangolier","Team B"
"7156473920","15350","15 May 2023 11:55","1814","30:14","Team A","nouns","Witch Doctor  Venomancer  Bounty Hunter  Ursa  Timbersaw","B8","Crystal Maiden  Alchemist  Rubick  Magnus  Ember Spirit","Team A"
"7156507204","15350","16 May 2023 12:50","1589","26:29","Team A","nouns","Enchantress  Visage  Timbersaw  Earth Spirit  Monkey King","B8","Crystal Maiden  Doom  Ursa  Rubick  Pangolier","Team A"
"7156567868","15350","16 May 2023 03:01","1998","33:18","Team B","TSM","Alchemist  Silencer  Keeper of the Light  Timbersaw  Void Spirit","Shopify Rebellion","Mirana  Beastmaster  Ancient Apparition  Ember Spirit  Terrorblade","Team B"
"7156998596","15335","16 May 2023 01:01","2188","36:28","Team B","HYDRA","Crystal Maiden  Alchemist  Timbersaw  Techies  Monkey King","One Move","Lich  Beastmaster  Skywrath Mage  Ember Spirit  Terrorblade","Team A"
"7157016890","15333","16 May 2023 01:12","2018","33:38","Team B","Not one step back gaming","Windranger  Nyx Assassin  Timbersaw  Dark Willow  Pangolier","Storm Strikers","Vengeful Spirit  Keeper of the Light  Medusa  Underlord  Void Spirit","Team A"
"7157264395","15347","16 May 2023 04:04","1585","26:25","Team A","HAVU","Magnus  Timbersaw  Elder Titan  Oracle  Monkey King","RAM SQUAD","Spirit Breaker  Shadow Demon  Medusa  Legion Commander  Ember Spirit","Team B"
"7157345247","15347","16 May 2023 04:52","2122","35:22","Team B","RAM SQUAD","Sven  Clockwerk  Shadow Demon  Visage  Timbersaw","HAVU","Tiny  Beastmaster  Spirit Breaker  Disruptor  Naga Siren","Team A"
"7157368865","15333","16 May 2023 05:06","2668","44:28","Team B","Not one step back gaming","Windranger  Enchantress  Rubick  Timbersaw  Abaddon","Triseum","Clockwerk  Io  Skywrath Mage  Legion Commander  Muerta","Team A"
"7157954533","15365","17 May 2023 03:16","3977","1:06:17","Team B","beastcoast","Pugna  Clockwerk  Alchemist  Chaos Knight  Timbersaw","Infamous Gaming","Treant Protector  Magnus  Skywrath Mage  Void Spirit  Muerta","Team A"
"7158350435","15374","17 May 2023 12:30","3085","51:25","Team B","Team SMG","Clinkz  Medusa  Timbersaw  Techies  Ember Spirit","BLEED","Enchantress  Alchemist  Silencer  Underlord  Void Spirit","Team B"
"7158411627","15333","17 May 2023 01:19","873","14:33","Team A","Matreshka","Enchantress  Alchemist  Ogre Magi  Timbersaw  Pangolier","4-19 Prospects","Axe  Drow Ranger  Mirana  Queen of Pain  Rubick","Team A"
"7158445247","15374","17 May 2023 02:01","2496","41:36","Team A","Blacklist Rivalry","Venomancer  Phantom Assassin  Keeper of the Light  Timbersaw  Pangolier","Talon","Beastmaster  Alchemist  Disruptor  Techies  Ember Spirit","Team B"
"7158813626","15351","17 May 2023 05:54","1558","25:58","Team A","Tundra Esports","Bloodseeker  Spirit Breaker  Visage  Timbersaw  Techies","Entity","Windranger  Beastmaster  Clockwerk  Terrorblade  Winter Wyvern","Team A"
"7159318912","15346","18 May 2023 02:40","1858","30:58","Team B","CAP","Mirana  Storm Spirit  Pugna  Templar Assassin  Timbersaw","For Fun","Doom  Disruptor  Techies  Void Spirit  Muerta","Team B"
"7159507140","15385","18 May 2023 07:59","2978","49:38","Team A","Arcane","Phantom Lancer  Keeper of the Light  Timbersaw  Techies  Ember Spirit","dldfans","Faceless Void  Pugna  Alchemist  Rubick  Legion Commander","Team A"
"7159928958","15333","18 May 2023 03:12","2547","42:27","Team A","Bald Dynasty","Jakiro  Keeper of the Light  Medusa  Timbersaw  Techies","Anime Enjoyers","Dark Seer  Doom  Disruptor  Skywrath Mage  Monkey King","Team A"
"7160110072","15335","18 May 2023 05:08","1988","33:08","Team B","HYDRA","Crystal Maiden  Windranger  Alchemist  Timbersaw  Techies","BetBoom Team","Tidehunter  Enchantress  Undying  Medusa  Void Spirit","Team B"
"7160159708","15347","18 May 2023 05:33","2498","41:38","Team B","KZ TEAM","Phantom Assassin  Bounty Hunter  Invoker  Disruptor  Timbersaw","Trouble Makers Reborn","Anti-Mage  Venomancer  Keeper of the Light  Magnus  Ember Spirit","Team A"
"7160371672","15365","18 May 2023 08:07","2128","35:28","Team A","Infamous Gaming","Crystal Maiden  Mirana  Sven  Timbersaw  Void Spirit","Mad Kings Esports","Alchemist  Silencer  Rubick  Ember Spirit  Dawnbreaker","Team A"
