"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team A","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","Team A"
"7117011841","15126","21 Apr 2023 10:44","1654","27:34","Team B","BOOM Esports","Shadow Fiend  Death Prophet  Bounty Hunter  Ogre Magi  Oracle","Vision","Crystal Maiden  Shadow Shaman  Venomancer  Timbersaw  Muerta","Team A"
"7118295482","15088","21 Apr 2023 09:18","3411","56:51","Team B","Luna Galaxy","Clockwerk  Outworld Devourer  Rubick  Legion Commander  Terrorblade","Old G","Mirana  Leshrac  Bounty Hunter  Naga Siren  Timbersaw","Team B"
"7118424970","15088","21 Apr 2023 10:48","3659","1:00:59","Team B","Luna Galaxy","Bane  Sven  Tiny  Death Prophet  Underlord","Old G","Riki  Leshrac  Ancient Apparition  Naga Siren  Timbersaw","Team A"
"7118795304","15128","22 Apr 2023 05:54","1343","22:23","Team B","We Own","Anti-Mage  Beastmaster  Queen of Pain  Disruptor  Hoodwink","Outsiders From CN","Shadow Fiend  Tiny  Ogre Magi  Rubick  Timbersaw","Team B"
"7118934075","15128","22 Apr 2023 08:03","3618","1:00:18","Team B","UD VESSUWAN","Bloodseeker  Dark Seer  Enchantress  Tusk  Pangolier","Outsiders From CN","Jakiro  Invoker  Rubick  Timbersaw  Terrorblade","Team A"
"7119033460","15141","22 Apr 2023 09:20","1797","29:57","Team B","Piggy Killer","Bane  Mirana  Luna  Dragon Knight  Outworld Devourer","Holy Grail","Templar Assassin  Keeper of the Light  Timbersaw  Abaddon  Ember Spirit","Team A"
"7119197773","14691","22 Apr 2023 11:09","2506","41:46","Team A","Ionut Cercel","Venomancer  Pugna  Clockwerk  Enchantress  Ursa","HAVU","Crystal Maiden  Dragon Knight  Naga Siren  Timbersaw  Monkey King","Team A"
"7119394028","15138","22 Apr 2023 01:17","1942","32:22","Team A","cybercats","Axe  Zeus  Clockwerk  Phoenix  Muerta","Nemiga Gaming","Phantom Lancer  Sand King  Chen  Timbersaw  Snapfire","Team B"
"7121331915","15126","23 Apr 2023 01:02","2329","38:49","Team B","SPAWN Team","Kunkka  Rubick  Naga Siren  Pangolier  Muerta","Team Tough","Mirana  Lion  Riki  Queen of Pain  Timbersaw","Team A"
"7121482769","14691","23 Apr 2023 02:23","2274","37:54","Team A","Luna Galaxy","Sven  Lycan  Rubick  Dark Willow  Void Spirit","Unity Esports","Mirana  Phantom Lancer  Death Prophet  Spirit Breaker  Timbersaw","Team A"
"7121740499","15196","23 Apr 2023 04:26","3134","52:14","Team A","Gaimin Gladiators","Puck  Chen  Doom  Slark  Snapfire","Team Liquid","Crystal Maiden  Lich  Timbersaw  Primal Beast  Muerta","Team A"
"7122660772","15128","24 Apr 2023 05:41","1453","24:13","Team A","Team Virgo","Riki  Dragon Knight  Enchantress  Snapfire  Primal Beast","MIRACLE ESPORT","Mirana  Lifestealer  Undying  Timbersaw  Ember Spirit","Team A"
"7122771341","15128","24 Apr 2023 08:14","2009","33:29","Team A","Dino Esports","Riki  Rubick  Naga Siren  Ember Spirit  Hoodwink","UD VESSUWAN","Dragon Knight  Clockwerk  Timbersaw  Snapfire  Muerta","Team A"
"7122855349","14691","24 Apr 2023 10:05","2563","42:43","Team A","IVY","Mirana  Silencer  Centaur Warrunner  Ember Spirit  Muerta","Luna Galaxy","Bane  Bounty Hunter  Alchemist  Lycan  Timbersaw","Team B"
