"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7118424970","15088","21 Apr 2023 10:48","3659","1:00:59","Team A","Old G","Riki  Leshrac  Ancient Apparition  Naga Siren  Timbersaw","Luna Galaxy","Bane  Sven  Tiny  Death Prophet  Underlord","Team B"
"7119269951","15138","22 Apr 2023 12:06","2513","41:53","Team B","cybercats","Sand King  Io  Techies  Ember Spirit  Muerta","Nemiga Gaming","Razor  Dragon Knight  Jakiro  Rubick  Underlord","Team B"
"7119577917","15196","22 Apr 2023 02:55","1503","25:03","Team B","Tundra Esports","Bounty Hunter  Doom  Chaos Knight  Skywrath Mage  Phoenix","Shopify Rebellion","Death Prophet  Chen  Ursa  Earth Spirit  Underlord","Team B"
"7120502848","15136","22 Apr 2023 11:30","1802","30:02","Team A","x5 Gaming","Phantom Lancer  Storm Spirit  Skywrath Mage  Legion Commander  Dawnbreaker","NoLimitsGaming","Crystal Maiden  Batrider  Tusk  Underlord  Monkey King","Team A"
"7120913705","15141","23 Apr 2023 07:53","2739","45:39","Team B","Supernova","Mirana  Sven  Tusk  Void Spirit  Muerta","Holy Grail","Doom  Ursa  Undying  Earth Spirit  Underlord","Team A"
"7121313738","15196","23 Apr 2023 12:55","1921","32:01","Team A","Gaimin Gladiators","Dragon Knight  Enchantress  Ursa  Rubick  Centaur Warrunner","Shopify Rebellion","Morphling  Riki  Death Prophet  Chen  Underlord","Team A"
"7121345114","15141","23 Apr 2023 01:08","2238","37:18","Team A","Piggy Killer","Riki  Venomancer  Phantom Assassin  Chen  Rubick","Big brain","Mirana  Templar Assassin  Centaur Warrunner  Underlord  Monkey King","Team B"
"7121895328","15196","23 Apr 2023 05:52","2147","35:47","Team B","Gaimin Gladiators","Mirana  Sniper  Dragon Knight  Undying  Terrorblade","Team Liquid","Sven  Necrophos  Chen  Rubick  Underlord","Team B"
"7122028845","15196","23 Apr 2023 07:01","3420","57:00","Team B","Team Liquid","Riki  Chen  Slark  Phoenix  Pangolier","Gaimin Gladiators","Puck  Rubick  Disruptor  Underlord  Muerta","Team B"
"7122142333","14691","23 Apr 2023 08:01","1820","30:20","Team B","Ionut Cercel","Phantom Lancer  Shadow Shaman  Doom  Undying  Void Spirit","IVY","Mirana  Riki  Enchantress  Alchemist  Underlord","Team A"
"7122163122","15196","23 Apr 2023 08:29","1705","28:25","Team B","Gaimin Gladiators","Queen of Pain  Disruptor  Centaur Warrunner  Monkey King  Dark Willow","Team Liquid","Crystal Maiden  Storm Spirit  Sven  Rubick  Underlord","Team B"
