"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7119036519","15128","22 Apr 2023 09:22","2653","44:13","Team B","Outsiders From CN","Queen of Pain  Undying  Rubick  Monkey King  Dawnbreaker","UD VESSUWAN","Lion  Nature's Prophet  Bounty Hunter  Doom  Pangolier","Team A"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team B","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","Team B"
"7120913705","15141","23 Apr 2023 07:53","2739","45:39","Team A","Holy Grail","Doom  Ursa  Undying  Earth Spirit  Underlord","Supernova","Mirana  Sven  Tusk  Void Spirit  Muerta","Team B"
"7120965232","15126","23 Apr 2023 08:46","2125","35:25","Team B","Made in Philippines","Batrider  Undying  Rubick  Troll Warlord  Dawnbreaker","IHC","Death Prophet  Enchantress  Tusk  Legion Commander  Muerta","Team A"
"7121064365","15126","23 Apr 2023 10:00","2499","41:39","Team B","Vision","Batrider  Undying  Earth Spirit  Arc Warden  Snapfire","Myth Avenue Gaming","Riki  Clockwerk  Jakiro  Keeper of the Light  Terrorblade","Team A"
"7121895328","15196","23 Apr 2023 05:52","2147","35:47","Team B","Gaimin Gladiators","Mirana  Sniper  Dragon Knight  Undying  Terrorblade","Team Liquid","Sven  Necrophos  Chen  Rubick  Underlord","Team B"
"7122142333","14691","23 Apr 2023 08:01","1820","30:20","Team B","Ionut Cercel","Phantom Lancer  Shadow Shaman  Doom  Undying  Void Spirit","IVY","Mirana  Riki  Enchantress  Alchemist  Underlord","Team A"
"7122404291","15267","23 Apr 2023 11:20","3152","52:32","Team B","Hokori","Riki  Beastmaster  Undying  Rubick  Slark","Balrogs Esports™","Puck  Skywrath Mage  Earth Spirit  Underlord  Muerta","Team A"
"7122660772","15128","24 Apr 2023 05:41","1453","24:13","Team B","MIRACLE ESPORT","Mirana  Lifestealer  Undying  Timbersaw  Ember Spirit","Team Virgo","Riki  Dragon Knight  Enchantress  Snapfire  Primal Beast","Team B"
"7123824887","14691","24 Apr 2023 08:35","1677","27:57","Team B","Ionut Cercel","Pudge  Shadow Shaman  Doom  Undying  Muerta","HF","Lich  Dragon Knight  Rubick  Naga Siren  Ember Spirit","Team A"
"7123844647","15087","24 Apr 2023 08:57","1682","28:02","Team B","Ravens","Sand King  Undying  Ember Spirit  Monkey King  Snapfire","TiltedBoys","Phantom Lancer  Dragon Knight  Chen  Centaur Warrunner  Skywrath Mage","Team A"
"7123923335","15087","24 Apr 2023 09:53","4441","1:14:01","Team A","Ravens","Storm Spirit  Templar Assassin  Nature's Prophet  Undying  Earth Spirit","TiltedBoys","Phantom Lancer  Beastmaster  Disruptor  Ember Spirit  Snapfire","Team A"
"7124045912","15087","24 Apr 2023 11:59","2958","49:18","Team A","ALPHA","Beastmaster  Undying  Rubick  Naga Siren  Ember Spirit","The Oversight","Mirana  Venomancer  Bounty Hunter  Alchemist  Nyx Assassin","Team B"
"7125399393","15136","25 Apr 2023 09:11","1348","22:28","Team A","Mad Kings Esports","Night Stalker  Undying  Slark  Ember Spirit  Snapfire","Lava Esports","Sven  Beastmaster  Chen  Tusk  Dark Willow","Team A"
"7125495027","14691","25 Apr 2023 10:36","2191","36:31","Team B","Ionut Cercel","Alchemist  Undying  Rubick  Underlord  Void Spirit","KZ TEAM","Mirana  Chen  Nyx Assassin  Ember Spirit  Muerta","Team B"
"7125542217","15267","25 Apr 2023 11:24","2919","48:39","Team B","Hokori","Drow Ranger  Beastmaster  Undying  Tusk  Techies","Thunder Awaken","Bloodseeker  Storm Spirit  Rubick  Disruptor  Underlord","Team A"
"7125722022","15267","26 Apr 2023 04:45","1903","31:43","Team B","Acatsuki","Mirana  Shadow Fiend  Undying  Centaur Warrunner  Snapfire","Infamous Gaming","Templar Assassin  Rubick  Elder Titan  Ember Spirit  Underlord","Team B"
"7125949168","15126","26 Apr 2023 10:00","1709","28:29","Team A","IHC","Phantom Lancer  Omniknight  Brewmaster  Undying  Rubick","Vision","Bounty Hunter  Disruptor  Visage  Ember Spirit  Muerta","Team A"
"7126027509","15126","26 Apr 2023 11:30","2013","33:33","Team B","IHC","Broodmother  Undying  Rubick  Ember Spirit  Monkey King","Myth Avenue Gaming","Crystal Maiden  Sven  Magnus  Skywrath Mage  Primal Beast","Team B"
"7126118055","15126","26 Apr 2023 01:00","1781","29:41","Team B","Vision","Omniknight  Undying  Rubick  Tusk  Arc Warden","Myth Avenue Gaming","Crystal Maiden  Sven  Leshrac  Doom  Skywrath Mage","Team A"
"7126196223","15126","26 Apr 2023 02:03","2488","41:28","Team B","Vision","Undying  Slark  Tusk  Earth Spirit  Snapfire","IHC","Mirana  Batrider  Alchemist  Pangolier  Marci","Team B"
"7126512031","15251","26 Apr 2023 05:21","2085","34:45","Team A","Team SMG","Morphling  Leshrac  Undying  Rubick  Muerta","OG","Beastmaster  Venomancer  Slark  Phoenix  Void Spirit","Team B"
"7127076062","15087","27 Apr 2023 02:02","2477","41:17","Team A","TiltedBoys","Anti-Mage  Death Prophet  Alchemist  Undying  Techies","The Cut","Queen of Pain  Templar Assassin  Clockwerk  Skywrath Mage  Underlord","Team B"
"7127481717","15251","27 Apr 2023 12:00","2700","45:00","Team B","BetBoom Team","Storm Spirit  Beastmaster  Pugna  Undying  Terrorblade","Gaimin Gladiators","Drow Ranger  Dragon Knight  Enchantress  Doom  Skywrath Mage","Team A"
"7127536763","15251","27 Apr 2023 01:00","2183","36:23","Team B","PSG.LGD","Alchemist  Brewmaster  Undying  Rubick  Terrorblade","Evil Geniuses","Luna  Disruptor  Skywrath Mage  Legion Commander  Mars","Team A"
"7127562163","15251","27 Apr 2023 01:25","1550","25:50","Team B","Execration","Kunkka  Undying  Disruptor  Underlord  Muerta","Team Aster","Bloodseeker  Storm Spirit  Rubick  Io  Terrorblade","Team B"
"7127659623","15251","27 Apr 2023 02:33","1885","31:25","Team A","BetBoom Team","Pudge  Necrophos  Venomancer  Undying  Terrorblade","Team Liquid","Dark Seer  Doom  Alchemist  Slark  Skywrath Mage","Team B"
"7128238477","15251","27 Apr 2023 08:55","1590","26:30","Team A","INVICTUS GAMING","Bloodseeker  Sven  Enchantress  Undying  Void Spirit","Team Spirit","Crystal Maiden  Queen of Pain  Silencer  Slark  Primal Beast","Team B"
"7129558832","14691","28 Apr 2023 07:07","2984","49:44","Team A","Please dont gank my carry","Alchemist  Undying  Disruptor  Timbersaw  Pangolier","Luna Galaxy","Sven  Death Prophet  Silencer  Nyx Assassin  Underlord","Team A"
"7129667054","14691","28 Apr 2023 08:23","2665","44:25","Team B","Please dont gank my carry","Bloodseeker  Tiny  Undying  Rubick  Mars","Luna Galaxy","Anti-Mage  Dark Seer  Bounty Hunter  Silencer  Void Spirit","Team A"
"7130008126","15267","29 Apr 2023 01:56","2890","48:10","Team B","Balrogs Esports™","Riki  Jakiro  Undying  Keeper of the Light  Slark","Mad Kings Esports","Crystal Maiden  Bounty Hunter  Skywrath Mage  Ember Spirit  Monkey King","Team A"
"7131067725","15251","29 Apr 2023 05:39","1286","21:26","Team B","Shopify Rebellion","Tiny  Doom  Undying  Keeper of the Light  Arc Warden","Talon","Pugna  Medusa  Techies  Underlord  Void Spirit","Team B"
"7131394097","15251","29 Apr 2023 09:15","1715","28:35","Team A","beastcoast","Lich  Viper  Doom  Ursa  Undying","Tundra Esports","Crystal Maiden  Windranger  Wraith King  Keeper of the Light  Underlord","Team B"
"7131404269","15251","29 Apr 2023 09:22","2362","39:22","Team A","OG","Storm Spirit  Slardar  Undying  Io  Medusa","Shopify Rebellion","Anti-Mage  Beastmaster  Silencer  Rubick  Void Spirit","Team A"
"7132920181","15251","30 Apr 2023 07:15","2083","34:43","Team A","BetBoom Team","Pudge  Storm Spirit  Ursa  Undying  Snapfire","Team Aster","Crystal Maiden  Windranger  Keeper of the Light  Medusa  Underlord","Team B"
"7134272701","15251","01 May 2023 03:51","2110","35:10","Team B","OG","Tidehunter  Undying  Keeper of the Light  Terrorblade  Void Spirit","Team Liquid","Witch Doctor  Alchemist  Skywrath Mage  Underlord  Muerta","Team A"
"7145678244","15268","08 May 2023 09:59","1902","31:42","Team B","Universitario eSports","Templar Assassin  Doom  Undying  Rubick  Ember Spirit","Mad Kings Esports","Sven  Batrider  Keeper of the Light  Underlord  Oracle","Team A"
"7146039354","15128","09 May 2023 06:12","1734","28:54","Team A","Virgo","Doom  Undying  Keeper of the Light  Medusa  Magnus","MIRACLE ESPORT","Anti-Mage  Axe  Crystal Maiden  Skywrath Mage  Monkey King","Team A"
"7147449612","15268","10 May 2023 02:46","2756","45:56","Team B","Balrogs Esports™","Shadow Fiend  Storm Spirit  Undying  Disruptor  Keeper of the Light","Vivo Keyd Stars","Crystal Maiden  Puck  Nature's Prophet  Bounty Hunter  Doom","Team B"
"7148680651","15268","10 May 2023 10:00","1318","21:58","Team B","Mad Kings Esports","Pugna  Omniknight  Alchemist  Undying  Ember Spirit","Balrogs Esports™","Bloodseeker  Crystal Maiden  Batrider  Rubick  Underlord","Team A"
"7148859820","15268","11 May 2023 02:21","2568","42:48","Team A","Universitario eSports","Queen of Pain  Luna  Doom  Undying  Techies","Vivo Keyd Stars","Venomancer  Ursa  Rubick  Ember Spirit  Underlord","Team A"
"7148953617","15128","11 May 2023 05:12","1578","26:18","Team A","Outsider From CN","Undying  Rubick  Nyx Assassin  Slark  Ember Spirit","Virgo","Bloodseeker  Storm Spirit  Pugna  Clockwerk  Terrorblade","Team B"
"7150150830","15268","11 May 2023 11:00","1777","29:37","Team A","Hokori","Storm Spirit  Beastmaster  Undying  Rubick  Medusa","Thunder Awaken","Anti-Mage  Enchantress  Techies  Ember Spirit  Monkey King","Team B"
"7151598259","15268","12 May 2023 10:15","2436","40:36","Team A","Balrogs Esports™","Faceless Void  Doom  Undying  Skywrath Mage  Ember Spirit","Universitario eSports","Enchantress  Rubick  Slark  Underlord  Void Spirit","Team A"
"7154585505","15335","14 May 2023 05:07","2425","40:25","Team A","UALEIKUMNIHAO","Enigma  Jakiro  Alchemist  Undying  Underlord","One Move","Crystal Maiden  Mirana  Doom  Slark  Timbersaw","Team B"
"7154912193","15365","14 May 2023 08:37","1869","31:09","Team B","Acatsuki","Windranger  Templar Assassin  Undying  Rubick  Underlord","INFINITY","Mirana  Beastmaster  Alchemist  Silencer  Monkey King","Team B"
