"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7119036519","15128","22 Apr 2023 09:22","2653","44:13","Team A","UD VESSUWAN","Lion  Nature's Prophet  Bounty Hunter  Doom  Pangolier","Outsiders From CN","Queen of Pain  Undying  Rubick  Monkey King  Dawnbreaker","Team B"
"7119588186","15138","22 Apr 2023 03:01","2868","47:48","Team A","NAVI Junior","Mirana  Tiny  Tidehunter  Naga Siren  Techies","UALEIKUMNIHAO","Storm Spirit  Beastmaster  Undying  Rubick  Muerta","Team A"
"7120913705","15141","23 Apr 2023 07:53","2739","45:39","Team B","Supernova","Mirana  Sven  Tusk  Void Spirit  Muerta","Holy Grail","Doom  Ursa  Undying  Earth Spirit  Underlord","Team A"
"7120965232","15126","23 Apr 2023 08:46","2125","35:25","Team A","IHC","Death Prophet  Enchantress  Tusk  Legion Commander  Muerta","Made in Philippines","Batrider  Undying  Rubick  Troll Warlord  Dawnbreaker","Team B"
"7121064365","15126","23 Apr 2023 10:00","2499","41:39","Team A","Myth Avenue Gaming","Riki  Clockwerk  Jakiro  Keeper of the Light  Terrorblade","Vision","Batrider  Undying  Earth Spirit  Arc Warden  Snapfire","Team B"
"7121895328","15196","23 Apr 2023 05:52","2147","35:47","Team A","Team Liquid","Sven  Necrophos  Chen  Rubick  Underlord","Gaimin Gladiators","Mirana  Sniper  Dragon Knight  Undying  Terrorblade","Team A"
"7122142333","14691","23 Apr 2023 08:01","1820","30:20","Team A","IVY","Mirana  Riki  Enchantress  Alchemist  Underlord","Ionut Cercel","Phantom Lancer  Shadow Shaman  Doom  Undying  Void Spirit","Team B"
"7122404291","15267","23 Apr 2023 11:20","3152","52:32","Team A","Balrogs Esports™","Puck  Skywrath Mage  Earth Spirit  Underlord  Muerta","Hokori","Riki  Beastmaster  Undying  Rubick  Slark","Team B"
"7122660772","15128","24 Apr 2023 05:41","1453","24:13","Team A","Team Virgo","Riki  Dragon Knight  Enchantress  Snapfire  Primal Beast","MIRACLE ESPORT","Mirana  Lifestealer  Undying  Timbersaw  Ember Spirit","Team A"
"7123824887","14691","24 Apr 2023 08:35","1677","27:57","Team A","HF","Lich  Dragon Knight  Rubick  Naga Siren  Ember Spirit","Ionut Cercel","Pudge  Shadow Shaman  Doom  Undying  Muerta","Team B"
"7123844647","15087","24 Apr 2023 08:57","1682","28:02","Team A","TiltedBoys","Phantom Lancer  Dragon Knight  Chen  Centaur Warrunner  Skywrath Mage","Ravens","Sand King  Undying  Ember Spirit  Monkey King  Snapfire","Team B"
"7123923335","15087","24 Apr 2023 09:53","4441","1:14:01","Team B","TiltedBoys","Phantom Lancer  Beastmaster  Disruptor  Ember Spirit  Snapfire","Ravens","Storm Spirit  Templar Assassin  Nature's Prophet  Undying  Earth Spirit","Team B"
"7124045912","15087","24 Apr 2023 11:59","2958","49:18","Team B","The Oversight","Mirana  Venomancer  Bounty Hunter  Alchemist  Nyx Assassin","ALPHA","Beastmaster  Undying  Rubick  Naga Siren  Ember Spirit","Team A"
"7125399393","15136","25 Apr 2023 09:11","1348","22:28","Team B","Lava Esports","Sven  Beastmaster  Chen  Tusk  Dark Willow","Mad Kings Esports","Night Stalker  Undying  Slark  Ember Spirit  Snapfire","Team B"
"7125495027","14691","25 Apr 2023 10:36","2191","36:31","Team A","KZ TEAM","Mirana  Chen  Nyx Assassin  Ember Spirit  Muerta","Ionut Cercel","Alchemist  Undying  Rubick  Underlord  Void Spirit","Team A"
"7125542217","15267","25 Apr 2023 11:24","2919","48:39","Team A","Thunder Awaken","Bloodseeker  Storm Spirit  Rubick  Disruptor  Underlord","Hokori","Drow Ranger  Beastmaster  Undying  Tusk  Techies","Team B"
"7125722022","15267","26 Apr 2023 04:45","1903","31:43","Team A","Infamous Gaming","Templar Assassin  Rubick  Elder Titan  Ember Spirit  Underlord","Acatsuki","Mirana  Shadow Fiend  Undying  Centaur Warrunner  Snapfire","Team A"
"7125949168","15126","26 Apr 2023 10:00","1709","28:29","Team B","Vision","Bounty Hunter  Disruptor  Visage  Ember Spirit  Muerta","IHC","Phantom Lancer  Omniknight  Brewmaster  Undying  Rubick","Team B"
"7126027509","15126","26 Apr 2023 11:30","2013","33:33","Team A","Myth Avenue Gaming","Crystal Maiden  Sven  Magnus  Skywrath Mage  Primal Beast","IHC","Broodmother  Undying  Rubick  Ember Spirit  Monkey King","Team A"
"7126118055","15126","26 Apr 2023 01:00","1781","29:41","Team A","Myth Avenue Gaming","Crystal Maiden  Sven  Leshrac  Doom  Skywrath Mage","Vision","Omniknight  Undying  Rubick  Tusk  Arc Warden","Team B"
