"Match ID","League","Start Date","Duration (s)","Duration (mm:ss)","Radiant Team","Team A","Team A Heroes","Team B","Team B Heroes","Winner"
"7116420936","15136","21 Apr 2023 02:36","3465","57:45","Team B","x5 Gaming","Puck  Clockwerk  Disruptor  Timbersaw  Abaddon","noMERCY","Medusa  Skywrath Mage  Legion Commander  Techies  Void Spirit","Team B"
"7118560271","15087","22 Apr 2023 12:59","3466","57:46","Team A","Ravens","Templar Assassin  Disruptor  Tusk  Legion Commander  Snapfire","The Cut","Beastmaster  Treant Protector  Troll Warlord  Hoodwink  Void Spirit","Team A"
"7118661066","15087","22 Apr 2023 03:25","2448","40:48","Team A","ALPHA","Bloodseeker  Riki  Batrider  Meepo  Disruptor","SAND KING GÓMEZ","Phantom Assassin  Ogre Magi  Skywrath Mage  Void Spirit  Mars","Team A"
"7118719303","15087","22 Apr 2023 04:37","2377","39:37","Team B","ALPHA","Crystal Maiden  Leshrac  Nyx Assassin  Slark  Ember Spirit","SAND KING GÓMEZ","Phantom Lancer  Gyrocopter  Legion Commander  Techies  Void Spirit","Team A"
"7119375495","15141","22 Apr 2023 12:59","2489","41:29","Team A","Big brain","Mirana  Doom  Ember Spirit  Monkey King  Muerta","Team Bright","Drow Ranger  Clockwerk  Chen  Void Spirit  Primal Beast","Team A"
"7120196116","15196","22 Apr 2023 08:12","4600","1:16:40","Team B","Gaimin Gladiators","Templar Assassin  Enchantress  Doom  Disruptor  Terrorblade","Team Liquid","Necrophos  Chen  Dark Willow  Void Spirit  Muerta","Team B"
"7120913705","15141","23 Apr 2023 07:53","2739","45:39","Team A","Holy Grail","Doom  Ursa  Undying  Earth Spirit  Underlord","Supernova","Mirana  Sven  Tusk  Void Spirit  Muerta","Team B"
"7121091529","15141","23 Apr 2023 10:20","1156","19:16","Team B","Team Disillusion","Bloodseeker  Mirana  Pudge  Templar Assassin  Disruptor","Team Bright","Clockwerk  Weaver  Brewmaster  Void Spirit  Muerta","Team B"
"7121226705","15141","23 Apr 2023 12:00","2641","44:01","Team B","Piggy Killer","Mirana  Death Prophet  Ogre Magi  Slark  Legion Commander","Big brain","Templar Assassin  Enchantress  Doom  Tusk  Void Spirit","Team B"
"7121482769","14691","23 Apr 2023 02:23","2274","37:54","Team B","Unity Esports","Mirana  Phantom Lancer  Death Prophet  Spirit Breaker  Timbersaw","Luna Galaxy","Sven  Lycan  Rubick  Dark Willow  Void Spirit","Team B"
"7122142333","14691","23 Apr 2023 08:01","1820","30:20","Team A","IVY","Mirana  Riki  Enchantress  Alchemist  Underlord","Ionut Cercel","Phantom Lancer  Shadow Shaman  Doom  Undying  Void Spirit","Team B"
"7122587236","15141","24 Apr 2023 03:59","2641","44:01","Team B","Holy Grail","Death Prophet  Clockwerk  Spectre  Silencer  Primal Beast","Team Disillusion","Doom  Rubick  Tusk  Void Spirit  Muerta","Team A"
"7122667422","15141","24 Apr 2023 05:54","2766","46:06","Team A","Team Disillusion","Bane  Pudge  Meepo  Rubick  Centaur Warrunner","Holy Grail","Templar Assassin  Clockwerk  Doom  Skywrath Mage  Void Spirit","Team A"
"7122717247","15141","24 Apr 2023 07:14","1707","28:27","Team A","Team Bright","Mirana  Lich  Riki  Leshrac  Monkey King","Supernova","Chen  Ursa  Rubick  Void Spirit  Snapfire","Team A"
"7122834589","15141","24 Apr 2023 09:34","5068","1:24:28","Team B","Team Bright","Clockwerk  Leshrac  Weaver  Brewmaster  Terrorblade","Big brain","Mirana  Spectre  Doom  Ogre Magi  Void Spirit","Team A"
"7122935447","14691","24 Apr 2023 11:19","1784","29:44","Team B","Luna Galaxy","Mirana  Storm Spirit  Ancient Apparition  Doom  Meepo","IVY","Anti-Mage  Enchantress  Alchemist  Rubick  Void Spirit","Team A"
"7122971716","15138","24 Apr 2023 12:00","1676","27:56","Team A","YNT","Puck  Sand King  Venomancer  Bounty Hunter  Alchemist","UALEIKUMNIHAO","Death Prophet  Jakiro  Doom  Naga Siren  Void Spirit","Team B"
"7123266745","14691","24 Apr 2023 03:30","3026","50:26","Team B","Ancient Tribe","Mirana  Tiny  Jakiro  Alchemist  Primal Beast","HF","Riki  Faceless Void  Enchantress  Techies  Void Spirit","Team A"
"7123439106","14691","24 Apr 2023 04:58","1358","22:38","Team B","KZ TEAM","Anti-Mage  Clockwerk  Timbersaw  Tusk  Skywrath Mage","IVY","Beastmaster  Alchemist  Silencer  Rubick  Void Spirit","Team B"
"7123556694","14691","24 Apr 2023 05:46","1317","21:57","Team B","KZ TEAM","Rubick  Nyx Assassin  Monkey King  Pangolier  Snapfire","IVY","Dark Seer  Bounty Hunter  Ancient Apparition  Alchemist  Void Spirit","Team B"
"7123695093","14691","24 Apr 2023 07:10","3364","56:04","Team B","HF","Beastmaster  Enchantress  Alchemist  Nyx Assassin  Keeper of the Light","Ionut Cercel","Shadow Shaman  Faceless Void  Pugna  Underlord  Void Spirit","Team B"
"7124037387","15267","24 Apr 2023 11:38","2416","40:16","Team A","Infamous Gaming","Mirana  Alchemist  Centaur Warrunner  Skywrath Mage  Pangolier","Ravens","Templar Assassin  Rubick  Disruptor  Underlord  Void Spirit","Team B"
"7124083544","15267","25 Apr 2023 12:51","875","14:35","Team A","Infamous Gaming","Mirana  Beastmaster  Meepo  Treant Protector  Muerta","Ravens","Crystal Maiden  Doom  Disruptor  Slark  Void Spirit","Team B"
"7124103976","15087","25 Apr 2023 01:21","1321","22:01","Team B","ALPHA","Crystal Maiden  Batrider  Meepo  Slark  Earth Spirit","The Oversight","Mirana  Bounty Hunter  Alchemist  Visage  Void Spirit","Team B"
"7124361346","15128","25 Apr 2023 08:05","1872","31:12","Team B","UD VESSUWAN","Lion  Clockwerk  Leshrac  Centaur Warrunner  Muerta","MIRACLE ESPORT","Riki  Rubick  Naga Siren  Hoodwink  Void Spirit","Team B"
"7124647148","14691","25 Apr 2023 01:06","1514","25:14","Team B","Ancient Tribe","Crystal Maiden  Slark  Ember Spirit  Snapfire  Primal Beast","KZ TEAM","Enchantress  Earth Spirit  Underlord  Monkey King  Void Spirit","Team A"
"7125035909","15138","25 Apr 2023 05:20","2582","43:02","Team A","UALEIKUMNIHAO","Enigma  Leshrac  Lifestealer  Chen  Treant Protector","cybercats","Mirana  Enchantress  Naga Siren  Underlord  Void Spirit","Team A"
"7125209990","15136","25 Apr 2023 07:03","2989","49:49","Team B","Lava Esports","Sven  Beastmaster  Rubick  Disruptor  Pangolier","Mad Kings Esports","Crystal Maiden  Dragon Knight  Monkey King  Void Spirit  Snapfire","Team B"
"7125372580","15088","25 Apr 2023 08:55","1996","33:16","Team B","Alliance","Crystal Maiden  Storm Spirit  Rubick  Underlord  Terrorblade","Old G","Lifestealer  Enchantress  Nyx Assassin  Void Spirit  Snapfire","Team A"
"7125457650","15088","25 Apr 2023 09:59","2686","44:46","Team A","Old G","Omniknight  Ursa  Alchemist  Rubick  Phoenix","Alliance","Crystal Maiden  Silencer  Centaur Warrunner  Terrorblade  Void Spirit","Team B"
"7125495027","14691","25 Apr 2023 10:36","2191","36:31","Team A","KZ TEAM","Mirana  Chen  Nyx Assassin  Ember Spirit  Muerta","Ionut Cercel","Alchemist  Undying  Rubick  Underlord  Void Spirit","Team A"
"7125590814","15267","26 Apr 2023 12:54","2444","40:44","Team A","Thunder Awaken","Phantom Lancer  Death Prophet  Batrider  Earth Spirit  Oracle","Hokori","Doom  Disruptor  Abaddon  Dark Willow  Void Spirit","Team A"
