heroId,kda,gpm,xpm,damageDealt,damageTaken,towerDamage,controlDuration,wardPlanted,wardDestroyed
shredder,2.67,561,710,26552,34828,820,6423,0,0
windrunner,4.5,439,468,20677,18645,841,9583,2,0
rubick,2.38,325,420,12191,16213,0,2655,4,0
oracle,3.67,228,330,6245,8046,0,1595,10,2
troll_warlord,2.33,636,834,16512,17895,745,4269,0,0
medusa,19.0,982,906,46374,2767,23447,6511,1,1
magnataur,6.67,432,567,10086,20478,270,3574,0,0
batrider,6.33,556,689,18465,20081,672,2958,1,0
enchantress,2.29,344,518,12074,14717,1079,1861,6,2
tiny,1.22,359,489,8628,24134,945,4618,7,1
medusa,0.2,665,621,24270,4257,374,8238,0,1
void_spirit,4.5,474,565,19319,17846,1610,4625,1,1
dark_seer,1.43,433,445,22421,20907,351,5712,1,1
bounty_hunter,0.4,261,259,5878,25367,0,8197,7,7
undying,0.8,269,280,9197,28286,0,8677,9,1
ember_spirit,30.0,656,818,36996,15193,1919,2766,2,1
faceless_void,26.0,634,740,12884,16898,10124,2505,0,1
shredder,26.0,593,687,22003,19204,2145,1646,0,0
crystal_maiden,3.14,307,463,13430,13000,271,1585,11,4
pudge,4.33,497,657,11350,16790,2622,3822,6,2
pangolier,3.17,599,688,16908,25904,2682,14023,1,1
keeper_of_the_light,2.6,302,484,9745,8336,0,1414,3,3
magnataur,7.5,513,675,10296,19075,1682,5660,0,1
medusa,17.0,867,799,41750,686,26366,12858,0,1
rubick,2.8,340,445,8815,12145,131,5287,14,4
disruptor,2.6,257,297,7105,12730,22,1262,10,7
batrider,1.57,440,487,19202,19234,116,1849,2,0
shredder,2.33,594,614,16372,28615,2215,4577,0,0
skywrath_mage,2.5,236,307,7196,13904,0,879,4,0
templar_assassin,5.0,711,811,16271,13031,7901,2577,1,2
bounty_hunter,3.8,407,482,10946,14127,1313,2919,6,1
templar_assassin,21.0,778,875,34292,4480,9494,1637,1,2
medusa,6.5,700,753,20185,1171,7163,2810,0,3
batrider,5.0,572,671,17807,14024,401,2859,0,2
earthshaker,12.0,331,524,18512,10508,467,1945,7,3
spirit_breaker,1.5,258,258,5903,22265,0,7189,3,1
void_spirit,1.83,423,468,13001,24627,0,5309,2,1
naga_siren,2.33,671,515,10131,22354,2227,6008,0,0
antimage,2.25,367,405,7012,20950,55,9240,0,0
mirana,2.2,292,293,8263,11546,0,4584,10,6
medusa,2.12,761,965,62060,8902,10719,21564,0,0
ember_spirit,6.0,725,962,62203,35891,2992,17243,2,1
magnataur,1.11,541,718,20255,43845,2011,17983,0,0
mirana,2.89,346,478,15715,27379,493,12182,6,3
venomancer,1.41,317,349,28906,26688,721,12173,13,6
arc_warden,4.43,964,838,43631,53954,18521,8920,0,0
void_spirit,32.0,751,958,44697,36402,5271,11471,2,0
earth_spirit,3.6,392,732,18410,33600,449,14291,3,1
batrider,3.09,581,747,21087,45892,68,16660,0,0
silencer,5.83,383,626,14880,19291,84,4741,16,7
medusa,26.0,982,867,62538,3213,29157,11688,0,0
tidehunter,28.0,488,714,17070,21687,1241,2775,0,0
void_spirit,24.0,585,777,28249,24325,6792,10029,3,1
spirit_breaker,4.17,554,774,19757,30870,288,9409,2,2
rattletrap,6.25,343,610,14393,20653,80,4045,14,4
queenofpain,10.0,583,761,37170,34196,974,4910,1,0
shadow_demon,0.92,298,333,14578,25802,20,2390,13,5
doom_bringer,0.7,524,526,17383,41336,164,2489,0,0
techies,0.73,274,307,18527,21788,0,1416,5,2
ursa,1.67,561,767,13090,18885,0,3186,0,1
crystal_maiden,2.8,375,621,6515,13621,544,4171,16,5
lycan,27.0,601,713,13234,20463,7368,5311,0,0
snapfire,8.67,707,817,22718,18278,7256,3852,1,0
techies,6.5,377,569,12695,7049,53,2679,6,7
faceless_void,21.0,715,817,20252,25920,5390,7068,0,2
doom_bringer,1.14,510,478,14427,22427,594,5808,0,1
templar_assassin,0.67,511,611,10028,19235,0,3297,1,0
elder_titan,1.33,207,328,13891,17389,259,992,16,6
medusa,1.17,867,779,31851,5186,178,5312,0,1
rubick,2.2,292,341,15134,11177,139,3108,6,1
enchantress,0.33,195,263,8576,12130,2352,3367,12,3
pangolier,0.67,412,477,14536,18337,74,13727,2,1
techies,0.62,231,337,13256,13753,93,3269,4,3
lycan,1.67,489,327,6304,14323,2015,2199,0,1
phantom_lancer,0.0,493,493,11373,18072,624,1290,0,0
chen,19.0,396,445,7001,5640,1067,1951,4,1
queenofpain,17.0,618,669,32344,13962,1452,1892,2,1
medusa,15.0,788,645,14723,4207,22351,2664,0,0
legion_commander,15.0,481,539,13252,11383,2269,1696,0,0
spirit_breaker,5.0,355,474,9273,18853,571,2485,12,6
medusa,3.0,676,791,20693,2454,3834,3756,0,0
chen,1.75,356,415,6589,18678,941,1671,11,4
ember_spirit,2.12,500,622,29641,24904,597,3697,2,0
dark_seer,4.5,513,560,16609,22035,146,821,0,0
mirana,3.25,323,418,8066,12002,455,793,4,4
pangolier,2.67,586,625,22871,17996,3226,5126,2,0
shadow_demon,3.6,366,480,9278,12232,1652,4609,6,1
beastmaster,7.0,488,628,13884,18687,2171,2264,0,0
techies,2.12,403,507,11103,12591,1399,3821,9,5
faceless_void,22.0,781,935,22937,20092,7823,3929,0,0
bounty_hunter,1.2,275,345,3874,17908,0,2151,8,1
medusa,3.0,719,736,32293,4094,229,5781,0,1
primal_beast,2.0,455,496,14938,34960,641,5881,1,0
queenofpain,2.17,490,555,20923,22291,446,3179,1,1
enchantress,3.5,300,465,9049,14920,525,1327,8,3
pugna,3.29,374,415,17641,14794,4215,5477,14,1
windrunner,6.25,576,695,25510,20423,3830,12267,1,5
rubick,7.33,377,507,15224,9032,310,4269,3,0
shredder,9.5,549,666,18788,21609,1467,4569,0,1
