KDA,ControlDuration,WardPlanted,total
low,low,low,bad
low,low,medium,bad
low,low,high,bad
low,medium,low,bad
low,medium,medium,bad
low,medium,high,decent
low,high,low,bad
low,high,medium,decent
low,high,high,decent
medium,low,low,bad
medium,low,medium,bad
medium,low,high,decent
medium,medium,low,bad
medium,medium,medium,decent
medium,medium,high,decent
medium,high,low,decent
medium,high,medium,decent
medium,high,high,good
high,low,low,bad
high,low,medium,decent
high,low,high,decent
high,medium,low,decent
high,medium,medium,decent
high,medium,high,good
high,high,low,decent
high,high,medium,good
high,high,high,good
